objectid,parentid,title,creator,date,archival date,description,site number,subject,location,latitude,longitude,source,identifier,type,format original,format,language,rights,rightsstatement,finding aid,display_template,filename,object_location,image_small,image_thumb
latahsites0004,,Ridenbaugh Hall,,,,"Constructed in 1902 on a basalt foundation, this is the oldest standing structure on campus. It has an Italian Renaissance revival style. The floral motifs under the wide eaves, the arched windows, and the second floor balcony are notable. It originally served as a women’s dormitory and campus social center.",47,dormitories (buildings); campus,"Moscow, Idaho",46.72448,-117.00897,,,,,,,,,,historic_site,,,,
latahsites0004a,latahsites0004,Ridenbaugh Hall [01],University of Idaho Photographic Services,2021,2021,,47,,,,,"“Seasonal Campus Scenery – Spring,” 2021. . University of Idaho Photographic Services, University of Idaho.",FY21_591763134_jp06_0116,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,ridenbaugh-hall-002.jpg,https://objects.lib.uidaho.edu/latahsites/ridenbaugh-hall-002.jpg,https://objects.lib.uidaho.edu/latahsites/small/ridenbaugh-hall-002_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/ridenbaugh-hall-002_th.jpg
latahsites0004b,latahsites0004,Ridenbaugh Hall [02],,1901,1901,Historic image of Ridenbaugh Hall.,47,,,,,,PG1_58-01,Image;StillImage,sepia tint photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,PG1_58-01.jpg,https://objects.lib.uidaho.edu/latahsites/PG1_58-01.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg1_58-01_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg1_58-01_th.jpg
latahsites0005,,Shattuck Arboretum and Botanical Garden,,,,"A sixty-five acre showplace that features ponds, gardens, and plants and trees from Asia, Europe, and North America. A place of stunning beauty and serenity.",48,botanical gardens; historic sites; nature trails,"Moscow, Idaho",46.72485588,-117.0146979,,,,,,,,,,historic_site,,,,
latahsites0005a,latahsites0005,Shattuck Arboretum and Botanical Garden [01],University of Idaho Photographic Services,2019,2019,,48,,,,,"“Arboretum,” 2019. University of Idaho Photographic Services, University of Idaho.",FY20_403002576_jp05_0011,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,shattuck-arb-001.jpg,https://objects.lib.uidaho.edu/latahsites/shattuck-arb-001.jpg,https://objects.lib.uidaho.edu/latahsites/small/shattuck-arb-001_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/shattuck-arb-001_th.jpg
latahsites0005b,latahsites0005,Shattuck Arboretum and Botanical Garden [02],"Bell, Roy A.",1962,1962,"Panoramic view of Moscow, Idaho looking from I-tower on University of Idaho campus. The empty fields on the left side of the photograph is the area where the new Arboretum would be established in the 1980s.",48,,,,,,pg62-62j,Image;StillImage,black and white photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,pg62-62j.jpg,https://objects.lib.uidaho.edu/latahsites/pg62-62j.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg62-62j_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg62-62j_th.jpg
latahsites0005c,latahsites0005,Shattuck Arboretum and Botanical Garden [03],"Bell, Roy A.",1962,1962,"Panoramic view of Shattuck Arboretum, Neale Stadium, and the Field House (1948-1974) at the University of Idaho.",48,,,,,,pg62-62k,Image;StillImage,black and white photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,pg62-62k.jpg,https://objects.lib.uidaho.edu/latahsites/pg62-62k.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg62-62k_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg62-62k_th.jpg
latahsites0006,,First Methodist Church,,,,"This graceful Gothic church was built in 1904 of cut native basalt from a local quarry. The tall, shingled, buttressed belfry has clocks in its four faces, and the round turret with its cone shaped roof enhances the medieval appearance.",38,church; Gothic; medieval,"Moscow, Idaho",46.7333766,-116.9954328,,,,,,,,,,historic_site,,,,
latahsites0006a,latahsites0006,First Methodist Church [01],"Nielsen, Cameron",2023,2023,,38,,,,,,first-methodist-church-4,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,first-methodist-church-4.jpg,https://objects.lib.uidaho.edu/latahsites/first-methodist-church-4.jpg,https://objects.lib.uidaho.edu/latahsites/small/first-methodist-church-4_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/first-methodist-church-4_th.jpg
latahsites0006b,latahsites0006,First Methodist Church [02],,1950,1950,"The First Methodist Church in Moscow, ID during the 1950s. Later an extension was built on the west end of the church.",38,,,,,"Clifford M. Ott Collection, PG 90, University of Idaho Library Special Collections and Archives",90-09-043,Image;StillImage,black and white photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,90-09-043.jpg,https://objects.lib.uidaho.edu/latahsites/90-09-043.jpg,https://objects.lib.uidaho.edu/latahsites/small/90-09-043_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/90-09-043_th.jpg
latahsites0006c,latahsites0006,First Methodist Church [03],,,undated,Historic image of the First Methodist Church showing people walking into the building.,38,,,,,"Latah County Historical Society, Moscow, ID",01-06-008,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,01-06-008.jpg,https://objects.lib.uidaho.edu/latahsites/01-06-008.jpg,https://objects.lib.uidaho.edu/latahsites/small/01-06-008_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/01-06-008_th.jpg
latahsites0007,,1912 Center ,,,,"The former Moscow High School that was built in 1912, features a classical architecture style prominent during the Progressive School Era. Classic details in brick and white terra cotta add to the unique design. The building was renovated in 1997, with additional renovations ongoing, and is used as a community center.",42,buildings; classical; community center,"Moscow, Idaho",46.73288899588369-116.99641227265026,-116.9964123,,,,,,,,,,historic_site,,,,
latahsites0007a,latahsites0007,1912 Center [01],"Nielsen, Cameron",2023,2023,,42,,,,,,1912-center-4,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,1912-center-4.jpg,https://objects.lib.uidaho.edu/latahsites/1912-center-4.jpg,https://objects.lib.uidaho.edu/latahsites/small/1912-center-4_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/1912-center-4_th.jpg
latahsites0007b,latahsites0007,1912 Center [02],,1912,1912,"Historic image of the 1912 Center, then the Moscow High School.",42,,,,,"Clifford M. Ott Collection, PG 90, University of Idaho Library Special Collections and Archives",90-09-006b,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,90-09-006b.jpg,https://objects.lib.uidaho.edu/latahsites/90-09-006b.jpg,https://objects.lib.uidaho.edu/latahsites/small/90-09-006b_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/90-09-006b_th.jpg
latahsites0008,,Freeze Community Church,,,,"Built in 1889, the church and cemetery were once part of the small-thriving community of Freeze founded in 1877. John Freeze donated the land for the church and the headstones in the cemetery date to 1873. The church is significant for its association with the settlement of Deep Creek Valley, the short-lived town of Freeze, and for its connection with the rural community. The architectural style provides an example of the simple- vernacular construction of a religious building in Idaho.",78,church; rural; cemetery,"Potlatch, Idaho",46.96299885,-116.9496327,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/freeze-church-6_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/freeze-church-6_th.jpg
latahsites0008a,latahsites0008,Freeze Community Church [01],"Nielsen, Cameron",2023,2023,,78,,,,,,freeze-church-6,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,freeze-church-6.jpg,https://objects.lib.uidaho.edu/latahsites/freeze-church-6.jpg,https://objects.lib.uidaho.edu/latahsites/small/freeze-church-6_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/freeze-church-6_th.jpg
latahsites0008b,latahsites0008,Freeze Community Church [02],,,undated,"Exterior view of the Freeze Church in Potlatch, Idaho.",78,,,,,"Idaho photograph collection, PG 006, University of Idaho Library Special Collections and Archives",pg6-026-1,Image;StillImage,black and white photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,pg6-026-1.jpg,https://objects.lib.uidaho.edu/latahsites/pg6-026-1.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg6-026-1_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg6-026-1_th.jpg
latahsites0009,,"White Pine Scenic Byway and Giant White Pine Campground, Nez Perce-Clearwater NF",,,,"Named after an enormous, 600-year-old white pine that has since been cut down due to disease, but still resides in the campground. This campground has 14 developed sites, all resting in a lush, forested setting.",82,campground; hiking trails; camping,"Harvard, Idaho",47.00906993,-116.6773529,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/giant-white-pine-14_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/giant-white-pine-14_th.jpg
latahsites0009a,latahsites0009,"White Pine Scenic Byway and Giant White Pine Campground, Nez Perce-Clearwater NF [01]","Nielsen, Cameron",2023,2023,,82,,,,,,giant-white-pine-14,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,giant-white-pine-14.jpg,https://objects.lib.uidaho.edu/latahsites/giant-white-pine-14.jpg,https://objects.lib.uidaho.edu/latahsites/small/giant-white-pine-14_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/giant-white-pine-14_th.jpg
latahsites0009b,latahsites0009,"White Pine Scenic Byway and Giant White Pine Campground, Nez Perce-Clearwater NF [02]","Nielsen, Cameron",2023,2023,,82,,,,,,giant-white-pine-9,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,giant-white-pine-9.jpg,https://objects.lib.uidaho.edu/latahsites/giant-white-pine-9.jpg,https://objects.lib.uidaho.edu/latahsites/small/giant-white-pine-9_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/giant-white-pine-9_th.jpg
latahsites0009c,latahsites0009,"White Pine Scenic Byway and Giant White Pine Campground, Nez Perce-Clearwater NF [023]","Nielsen, Cameron",2023,2023,,82,,,,,,giant-white-pine-7,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,giant-white-pine-7.jpg,https://objects.lib.uidaho.edu/latahsites/giant-white-pine-7.jpg,https://objects.lib.uidaho.edu/latahsites/small/giant-white-pine-7_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/giant-white-pine-7_th.jpg
latahsites0010,,Laird Park/ Camp Grizzly ,,,," Named in memory of A. W. Laird, a lumberman and early leader of the Potlatch Lumber Co., is a fantastic location for outdoor fun with your family or friends.",80,campground; hiking trails; swimming hole,"Harvard, Idaho",46.94411738,-116.6458604,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/laird-park-6_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/laird-park-6_th.jpg
latahsites0010a,latahsites0010,Laird Park/ Camp Grizzly [01],"Nielsen, Cameron",2023,2023,,80,,,,,,laird-park-6,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,laird-park-6.jpg,https://objects.lib.uidaho.edu/latahsites/laird-park-6.jpg,https://objects.lib.uidaho.edu/latahsites/small/laird-park-6_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/laird-park-6_th.jpg
latahsites0010b,latahsites0010,Laird Park/ Camp Grizzly [02],"Nielsen, Cameron",2023,2023,,80,,,,,,laird-park-13,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,laird-park-13.jpg,https://objects.lib.uidaho.edu/latahsites/laird-park-13.jpg,https://objects.lib.uidaho.edu/latahsites/small/laird-park-13_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/laird-park-13_th.jpg
latahsites0010c,latahsites0010,Laird Park/ Camp Grizzly [03],,1937,1937,Laird Park dedication honoring A. W. Laird,80,,,,,,MG135_A135_094,Image;StillImage,black and white photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,MG135_A135_094.jpg,https://objects.lib.uidaho.edu/latahsites/MG135_A135_094.jpg,https://objects.lib.uidaho.edu/latahsites/small/mg135_a135_094_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/mg135_a135_094_th.jpg
latahsites0010d,latahsites0010,Laird Park/ Camp Grizzly [04],,1937,1936-1939,People standing along the timber edge in Laird Park.,80,,,,,,MG135_A135_098,Image;StillImage,black and white photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,MG135_A135_098.jpg,https://objects.lib.uidaho.edu/latahsites/MG135_A135_098.jpg,https://objects.lib.uidaho.edu/latahsites/small/mg135_a135_098_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/mg135_a135_098_th.jpg
latahsites0012,,Post Office and Courthouse,,,,"Completed in 1911, Moscow’s old post office and courthouse was produced from designs of the United States Treasury Department during the time when James Knox Taylor was supervising architect. It is one of the finest public buildings in the state of Idaho. Ivory terra cotta trims the three-story building and reflects an eclectic style of architecture.",30,buildings; post office; city hall,"Moscow, Idaho",46.73278297,-116.9996595,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/moscow-post-office-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/moscow-post-office-3_th.jpg
latahsites0012a,latahsites0012,Post Office and Courthouse [01],"Nielsen, Cameron",2023,2023,,30,,,,,,moscow-post-office-3,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,moscow-post-office-3.jpg,https://objects.lib.uidaho.edu/latahsites/moscow-post-office-3.jpg,https://objects.lib.uidaho.edu/latahsites/small/moscow-post-office-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/moscow-post-office-3_th.jpg
latahsites0012b,latahsites0012,Post Office and Courthouse [02],,1910,1910,"Historic image of the Moscow Post Office. At this time, the courthouse was located elsewhere.",30,,,,,"Latah County Historical Society, Moscow, ID",01-06-092,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,01-06-092.jpg,https://objects.lib.uidaho.edu/latahsites/01-06-092.jpg,https://objects.lib.uidaho.edu/latahsites/small/01-06-092_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/01-06-092_th.jpg
