objectid,filename,identifier,box number,title,creator,description,date,archivaldate,date is approximate,subject,sensitive,location,idaho_county,latitude,longitude,source,type,format original,digital collection,findingaid,contributing institution,language,rights,rightsstatement,format,display_template,object_location,image_small,image_thumb,relation,notes
tabor0011,pg83-b05-f42-007_001.jpg,pg83-b05-f42-007_001,5,Men and Marching band members gathered together for photo in celebration of Aerie #54. Fraternal Order of Eagles 34th anniversary meeting [03],"Tabor's Photo Service, Wallace Idaho",Men and marching band members gather for a photograph in celebration of Aerie #54 Fraternal Order of Eagles' 34th anniversary meeting. A welcome sign hangs between two American flags in the background.,1936,1936,,men; bands; flags,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-007_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-007_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-007_001_th.jpg,,
tabor0012,pg83-b05-f42-008_001.jpg,pg83-b05-f42-008_001,5,"Fraternal Order of Eagles drill team members standing for group photo (Aerie #54), Wallace","Tabor's Photo Service, Wallace Idaho",Fraternal Order of Eagles Aerie #54  drill team members pose for group photo. Streamers in the background.,1936,1936,,men; bands,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-008_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-008_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-008_001_th.jpg,,
tabor0013,pg83-b05-f42-009_001.jpg,pg83-b05-f42-009_001,5,"Fraternal Order of Eagles Aerie #54 drill team member standing together for group photo, Wallace","Tabor's Photo Service, Wallace Idaho",Fraternal Order of Eagles Aerie #54  drill team members pose for group photo. Streamers in the background.,1936,1936,,men; bands,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-009_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-009_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-009_001_th.jpg,,
tabor0014,pg83-b05-f42-010_001.jpg,pg83-b05-f42-010_001,5,"Fraternal Order of Eagles Aerie #54 State Champion drill team members standing together for group photo, Wallace","Tabor's Photo Service, Wallace Idaho","Fraternal Order of Eagles Aerie #54 State Champion drill team members pose for a group photo in front of a building. A banner flag with the words ""Wallace 54"" and ""F.O.E."" on the right. An American flag on the left.",1936,1936,,men; bands; flags,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-010_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-010_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-010_001_th.jpg,,
tabor0015,pg83-b05-f42-011_001.jpg,pg83-b05-f42-011_001,5,"Men and one woman standing together for Idaho State Probate Judges Convention, Wallace","Tabor's Photo Service, Wallace Idaho","Men and one woman stand in front a brick building for the Idaho State Probate Judges' Convention in Wallace, Idaho.",1938-06-20,20 June 1938,,buildings (structures); men; judges,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-011_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-011_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-011_001_th.jpg,,
tabor0016,pg83-b05-f42-012_001.jpg,pg83-b05-f42-012_001,5,"Men and women gathered around two men holding a check. Previously described as ""Hatchery photo (payment for land)""","Tabor's Photo Service, Wallace Idaho","Men and one woman gathered around two men holding a check. Previously described as ""Hatchery photo (payment for land)."" Photo print for negative is 83-10-9.",,undated,,women; men,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-012_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-012_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-012_001_th.jpg,,
tabor0017,pg83-b05-f42-013_001.jpg,pg83-b05-f42-013_001,5,"O.E.S. (Order of the Eastern Star of Idaho Grand Chapter) women standing together, Wallace [01]","Tabor's Photo Service, Wallace Idaho",O.E.S. (Order of the Eastern Star of Idaho Grand Chapter) women pose for a photo. Two large flower bouquets placed in front.,1942-06-10,10 June 1942,,women,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-013_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-013_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-013_001_th.jpg,,
tabor0018,pg83-b05-f42-014_001.jpg,pg83-b05-f42-014_001,5,"O.E.S. (Order of the Eastern Star of Idaho Grand Chapter) women standing together, Wallace [02]","Tabor's Photo Service, Wallace Idaho",O.E.S. (Order of the Eastern Star of Idaho Grand Chapter) women pose for a photo. The women hold a V-shaped object with ribbons attached to the bottom.,1942-06-10,10 June 1942,,women,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-014_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-014_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-014_001_th.jpg,,
tabor0019,pg83-b05-f42-015_001.jpg,pg83-b05-f42-015_001,5,Theta Rho girls drill team standing together,"Tabor's Photo Service, Wallace Idaho","Theta Rho girl's drill team pose for a photograph, wearing matching uniforms and hats.",,undated,,girls; clubs (associations),,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-015_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-015_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-015_001_th.jpg,,
tabor0020,pg83-b05-f42-016_001.jpg,pg83-b05-f42-016_001,5,Wallace School Board members gathered around a table,,Four male and one female Wallace School Board members sit around a table. Papers are on the table and hang behind them.,,undated,,board of directors,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-016_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-016_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-016_001_th.jpg,,
tabor0021,pg83-b05-f42-017_001.jpg,pg83-b05-f42-017_001,5,Unidentified group of people and children standing in front of a building [01],,"Unidentified men, women, and children in front of building in Wallace, Idaho.",,undated,,buildings (structures); men; women; children; anonymous people,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-017_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-017_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-017_001_th.jpg,,
tabor0022,pg83-b05-f42-018_001.jpg,pg83-b05-f42-018_001,5,Unidentified group of people and children standing in front of a building [02],,"Unidentified men, women, and children in front of building in Wallace, Idaho. The words ""Wallace, Idaho"" are inscribed on the building.",,undated,,buildings (structures); men; women; children; anonymous people,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-018_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-018_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-018_001_th.jpg,,
tabor0023,pg83-b05-f42-019_001.jpg,pg83-b05-f42-019_001,5,"Idaho State Guards members standing together, Wallace [01]","Tabor's Photo Service, Wallace Idaho","Idaho State Guards members pose for a photo outside in front of a building and an automobile. ""CO-L IDAHO STATE GUARDS-WALLACE, IDA  6-23-42"" is written on the bottom of the photograph.",1942-06-23,23 June 1942,,buildings (structures); men; automobiles; military,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-019_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-019_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-019_001_th.jpg,,
tabor0024,pg83-b05-f42-020_001.jpg,pg83-b05-f42-020_001,5,"Idaho State Guards members standing together, Wallace [02]",,"Idaho State Guards members stand together on the steps of a building. ""CO-L IDAHO STATE GUARDS WALLACE, IDA. 6-23-74"" is written on the bottom of the photograph.",1942-06-23,23 June 1942,,buildings (structures); men; automobiles; military,,"Wallace, Idaho",Shoshone County,47.4743398,-115.9201941,"PG 83, George W. Tabor Photographs, 1890-1963",Image;StillImage,Black & white print,George W. Tabor Photographs,https://archiveswest.orbiscascade.org/ark:80444/xv538451,University of Idaho Library Special Collections and Archives,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image/jpeg,image,https://objects.lib.uidaho.edu/tabor/pg83-b05-f42-020_001.jpg,https://objects.lib.uidaho.edu/tabor/small/pg83-b05-f42-020_001_sm.jpg,https://objects.lib.uidaho.edu/tabor/thumbs/pg83-b05-f42-020_001_th.jpg,,
