objectid,filename,title,creator,date,archival date,description,subject,location,latitude,longitude,source,identifier,type,format original,format,finding aid,digital collection,contributing institution,language,rights,rightsstatement,display_template,object_location,image_thumb,image_small,reference_url
jam020,mg400_296_11928-001.jpg,Governor Cecil Andrus letter,"Andrus, Cecil",1974-06-13,,Letter from Governor Cecil D. Andrus to Senator James McClure in reference to a different letter Andrus had sent to Senator Frank Church. The letter discusses Andrus' concerns regarding Hells Canyon and its boundaries.,communication (function); recreation areas; senators; governors (public officers); correspondence,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_296_11928-001,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_296_11928-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_296_11928-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_296_11928-001_sm.jpg,/digital/jam/items/mg400_296_11928-001.jpg
jam021,mg400_299_12042-001.jpg,"Hells Canyon National Recreation Area passes Congress, goes to President Ford","McClure, James",1975-12-19,,News release from Senator McClure's office. Details the status of the legislation to create Hells Canyon National Recreation Area as it travels through legislative process.,communication (function); recreation areas; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_299_12042-001,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_299_12042-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_299_12042-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_299_12042-001_sm.jpg,/digital/jam/items/mg400_299_12042-001.jpg
jam022,mg400_299_12042-002.jpg,Hells Canyon National Recreation Area becomes law -- signed by The President,"McClure, James",1976-01-01,,News release from Senator McClure's office in which it is announced that President Ford had signed the bill to create Hells Canyon National Recreation Area.,communication (function); recreation areas; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_299_12042-002,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_299_12042-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_299_12042-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_299_12042-002_sm.jpg,/digital/jam/items/mg400_299_12042-002.jpg
jam023,mg400_299_12042-003.jpg,Idaho Senators Reintroduce Hells Canyon Measure,"McClure, James",1975-01-23,,News release from Senator McClure's office. Discusses Senators Frank Church and James McClure reintroducting legislation for the creation of Hells Canyon National Recreation Area which was co-sponsored by Oregon Senate delegates.,communication (function); recreation areas; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_299_12042-003,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_299_12042-003.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_299_12042-003_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_299_12042-003_sm.jpg,/digital/jam/items/mg400_299_12042-003.jpg
jam024,mg400_299_12044-001.jpg,Hells Canyon bill passage praised by Gem senators,,1975-06-03,,Newspaper clipping from the Times-News out of Twin Falls by UPI. Includes quotes from Senators Frank Church and James McClure regarding the passage of Hells Canyon Recreation Area legislation in the Senate.,newspaper clippings; senators; communication (function),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_299_12044-001,Text,newspaper clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_299_12044-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_299_12044-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_299_12044-001_sm.jpg,/digital/jam/items/mg400_299_12044-001.jpg
jam025,mg400_570_14799.jpg,James A. McClure with Sears electric car,,1977-06,,"Senator James A. McClure stands with an unknown person next to a car labeled XDH-1 Research Car Sears, Roebuck and Co.",electric vehicles; senators; demonstrations (presentation events),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_570_14799,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_570_14799.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_570_14799_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_570_14799_sm.jpg,/digital/jam/items/mg400_570_14799.jpg
jam026,mg400_570_14802-001.jpg,McClure Announces Electric Vehicle Demonstration,"McClure, James A.",1977-06-24,,A press conference announcement by Senator James A. McClure states that the XDH-1 Experimental Electric Car will be brought to the U.S. Capitol for a demonstration.,electric vehicles; senators; demonstrations (presentation events),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_570_14802-001,Text,announcement,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_570_14802-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_570_14802-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_570_14802-001_sm.jpg,/digital/jam/items/mg400_570_14802-001.jpg
jam027,mg400_644_17458-001.jpg,"James A. McClure, Larry E. Craig, and Steven D. Symms letter to Robert F. Buford","McClure, James A.; Craig, Larry E.; Symms, Steven D.",1986-08-13,,"Letter from US senators James A. McClure, Larry E. Craig, and Steven D. Symm to Bureau of Land Management Director Robert F. Buford in which the senators urge a quick and effective rehabilitation response after wildfires.",fires (events); forest management; land management,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_644_17458-001,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_644_17458-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_644_17458-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_644_17458-001_sm.jpg,/digital/jam/items/mg400_644_17458-001.jpg
jam028,mg400_644_17458-002.jpg,Robert F. Buford letter to James A. McClure about fire rehabilitation,"Buford, Robert F.",1986-08-22,,Letter from Bureau of Land Management Director Robert F. Buford to Senator James A. McClure in which Buford responds to McClure's wish for quick rehabilitation of range and wildlife after wildfires.,fires (events); forest management; land management,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_644_17458-002,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_644_17458-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_644_17458-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_644_17458-002_sm.jpg,/digital/jam/items/mg400_644_17458-002.jpg
jam029,mg400_652_17720-001.jpg,McClure's mountain refuge,"Grote, Tom",1990-01-11,,"An article from the Central Idaho Star-News of McCall, Idaho, describes Senator James A. McClure's family log cabin on Payette Lake.",log cabins (houses); politicians; retirement,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_652_17720-001,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_652_17720-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_652_17720-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_652_17720-001_sm.jpg,/digital/jam/items/mg400_652_17720-001.jpg
jam030,mg400_652_17720-002.jpg,Gentleman Jim,,1990-01-10,,"An editorial from the Press-Tribune of Nampa, Idaho, describes an interaction between Republican James A. McClure and Democrat Bill Dee during their time in the Idaho State Senate in the 1960s.",legislating; retirement; politicians,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_652_17720-002,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_652_17720-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_652_17720-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_652_17720-002_sm.jpg,/digital/jam/items/mg400_652_17720-002.jpg
jam031,mg400_652_17720-003.jpg,Jim McClure will be a hard man to replace,,1990-01-11,,"An article from the Arco Advertiser of Arco, Idaho, praises Senator James A. McClure following his retirement announcement.",retirement; politicians; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_652_17720-003,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_652_17720-003.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_652_17720-003_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_652_17720-003_sm.jpg,/digital/jam/items/mg400_652_17720-003.jpg
jam032,mg400_652_17720-004.jpg,McClure will be missed,,1990-01-10,,"An editorial from The Independent Enterprise of Payette, Idaho, reflects on the career of Senator James A. McClure following his retirement announcement.",retirement; politicians; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_652_17720-004,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_652_17720-004.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_652_17720-004_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_652_17720-004_sm.jpg,/digital/jam/items/mg400_652_17720-004.jpg
jam033,mg400_652_17720-005.jpg,Who can fill Jim McClure's shoes?,"Lee, Brian",1990-01-08,,"An opinion piece from The Morning News of Blackfoot, Idaho, contemplates the challenge of replacing Senator James A. McClure following his retirement announcement.",retirement; politicians; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_652_17720-005,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_652_17720-005.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_652_17720-005_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_652_17720-005_sm.jpg,/digital/jam/items/mg400_652_17720-005.jpg
jam034,mg400_652_17720-006.jpg,Another loss in Northwest clout,,1990-01-11,,An article from the Spokane Daily Chronicle laments the announced retirement of Senator James A. McClure and reflects on his career highlights.,retirement; politicians; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_652_17720-006,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_652_17720-006.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_652_17720-006_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_652_17720-006_sm.jpg,/digital/jam/items/mg400_652_17720-006.jpg
jam035,mg400_652_17720-007.jpg,Rest deserved,,1990-01-08,,"An editorial from the Argus Observer of Ontario, Oregon, reflects on the life and career of Senator James A. McClure following his retirement announcement.",retirement; politicians; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_652_17720-007,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_652_17720-007.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_652_17720-007_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_652_17720-007_sm.jpg,/digital/jam/items/mg400_652_17720-007.jpg
jam036,mg400_652_17720-008.jpg,Sen. McClure Shows Common Sense With Voluntary Retirement,"Hecht, John",1990-01-10,,"An opinion piece from The Rupert News-Journal of Rupert, Idaho, praises Senator James A. McClure for choosing to retire on his own terms.",retirement; politicians; senators,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_652_17720-008,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_652_17720-008.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_652_17720-008_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_652_17720-008_sm.jpg,/digital/jam/items/mg400_652_17720-008.jpg
jam037,mg400_659_18241-001.jpg,Idaho Congressmen reach Halls Canyon compromise,,1982-09-26,,Newspaper clipping on a compromise reached by congress and the U.S. Forest Service over a Hells Canyon Recreation Area mangement plan.,newspaper clippings; senators; communication (function),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_299_18241-001,Text,newspaper clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_659_18241-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_659_18241-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_659_18241-001_sm.jpg,/digital/jam/items/mg400_659_18241-001.jpg
jam038,mg400_681_19242-001.jpg,James A. McClure with sons and others,,,,Senator James A. McClure sits at a table with his sons and unknown others.,senators; tables (support furniture); chairs (furniture forms),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_681_19242-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_681_19242-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_681_19242-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_681_19242-001_sm.jpg,/digital/jam/items/mg400_681_19242-001.jpg
jam039,mg400_681_19242-002.jpg,James A. McClure and Louise McClure,,,,"Senator James A. McClure poses with his wife, Louise McClure.",senators; spouses; portraits,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_681_19242-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_681_19242-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_681_19242-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_681_19242-002_sm.jpg,/digital/jam/items/mg400_681_19242-002.jpg
jam040,mg400_681_19245-001.jpg,James A. McClure and Richard M. Nixon,,,,Photograph of Senator James A. McClure standing with President Richard M. Nixon,presidents; senators; politicians,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_681_19245-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_681_19245-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_681_19245-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_681_19245-001_sm.jpg,/digital/jam/items/mg400_681_19245-001.jpg
jam041,mg400_681_19245-002.jpg,Richard M. Nixon and James A. McClure,,1990,,Photograph of former president Richard M. Nixon sitting next to Senator James A. McClure,presidents; senators; politicians,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_681_19245-002,Image;StillImage,color photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_681_19245-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_681_19245-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_681_19245-002_sm.jpg,/digital/jam/items/mg400_681_19245-002.jpg
jam042,mg400_681_19249-001.jpg,White House meeting,,1975-05-05,,Senator James A. McClure sits to President Gerald Ford's right at a meeting in the White House.,presidents; meetings; politicians,,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_681_19249-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_681_19249-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_681_19249-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_681_19249-001_sm.jpg,/digital/jam/items/mg400_681_19249-001.jpg
jam043,mg400_681_19249-002.jpg,"James A. McClure, President Gerald Ford, and others",,,,Senator James A. McClure stands with others in the White House Oval Office while President Gerald Ford signs a bill at his desk.,presidents; senators; signing (writing),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_681_19249-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_681_19249-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_681_19249-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_681_19249-002_sm.jpg,/digital/jam/items/mg400_681_19249-002.jpg
jam044,mg400_681_19250-001.jpg,Senator James A. McClure and others observe President Ronald Reagan signing bills,,1984-06-19,,Photograph of Senator James A. McClure and others observing President Ronald Reagan as he signs four Wilderness bills in the White House Rose Garden.,presidents; politicians; signing (writing),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_681_19250-001,Image;StillImage,color photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_681_19250-001.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_681_19250-001_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_681_19250-001_sm.jpg,/digital/jam/items/mg400_681_19250-001.jpg
jam045,mg400_681_19250-002.jpg,White House letter to James A. McClure regarding Rose Garden signing,"Turner, Pamela J.",1984-06-26,,Letter in which White House staffer Pamela J. Turner provides details to Senator James A. McClure about an enclosed photograph of McClure and others observing a bill signing by President Ronald Reagan in the White House Rose Garden.,presidents; politicians; signing (writing),,,,"James A. McClure papers, MG 400, University of Idaho Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg400_681_19250-002,Text,correspondence,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv95388,Senator James McClure,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,https://objects.lib.uidaho.edu/jam/mg400_681_19250-002.jpg,https://objects.lib.uidaho.edu/jam/thumbs/mg400_681_19250-002_th.jpg,https://objects.lib.uidaho.edu/jam/small/mg400_681_19250-002_sm.jpg,/digital/jam/items/mg400_681_19250-002.jpg
