title,description,creator,date,date is approximate?,scientific name,subject,subject (lcsh),subject (lctgm),location,location (lcsh),idaho_county,region,collection,source,identifier,digital identifier,rights,rightsstatement,format original,type,format,date digital,digitization specifications,scanner technician,metadata cataloger,metadata assistants,collection administrator,filename,latitude,longitude,oclc number,cdm_url,cdmid,objectid,display_template,filename2,object_location,image_small,image_thumb,errors
"County Courthouse Teton, 1967","Image of the Teton County Courthouse in Driggs, Idaho.","Laughlin, Kyle (1905-1984)",1967,,,county courthouses,"Courthouses -- Idaho; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Courthouses--Idaho;,"Driggs, Idaho",United States--Idaho--Teton County--Driggs,Teton County,Driggs,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 856, Negative 99-856-001",99-856-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,43.723533,-111.110981,669842384,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1378,1378,spec_kl1378,image,spec_kl1378.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1378.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1378_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1378_th.jpg,
"Crocus, 1952 [1]",View of Crocus,"Laughlin, Kyle (1905-1984)",1952-03-31,,,flowers (plants),"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Wildflowers--Idaho;,Idaho,United States--Idaho,,,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-269, Slide 99-H-011-005",99-H-011-005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Kevin Dobbins,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,,,669842574,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1178,1178,spec_kl1178,image,spec_kl1178.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1178.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1178_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1178_th.jpg,
"Crocus, 1952 [2]",View of Crocus,"Laughlin, Kyle (1905-1984)",1952-03-31,,,flowers (plants),"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Wildflowers--Idaho;,"Latah County, Idaho",United States--Idaho--Latah County,Latah County,Moscow East,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-269, Slide 99-H-011-007",99-H-011-007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Kevin Dobbins,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,,,669842624,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1179,1179,spec_kl1179,image,spec_kl1179.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1179.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1179_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1179_th.jpg,
"Dad Ward [?], 1939 [1]",Dad Ward [?] at office,"Laughlin, Kyle (1905-1984)",1939,,,office chairs; desks,"Laughlin, Kyle E., 1905-1984; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs; Idaho -- Social life and customs -- Pictorial works;",Interiors -- Offices; Office furniture; People;,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,Latah County,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 766, Negative 99-766-002",99-766-002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins and Seth Williams,Deborah Green and Nathan Bender,,46.734481,-116.993797,669842356,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/951,951,spec_kl951,image,spec_kl951.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl951.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl951_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl951_th.jpg,
"Dad Ward [?], 1939 [2]",Dad Ward [?] at office,"Laughlin, Kyle (1905-1984)",1939,,,office chairs; desks,"Laughlin, Kyle E., 1905-1984; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs; Idaho -- Social life and customs -- Pictorial works;",Interiors -- Offices; Office furniture; People;,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,Latah County,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 766, Negative 99-766-003",99-766-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins and Seth Williams,Deborah Green and Nathan Bender,,46.734481,-116.993797,669842333,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/952,952,spec_kl952,image,spec_kl952.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl952.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl952_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl952_th.jpg,
"Dad Ward [?], 1939 [3]",Dad Ward [?] at office,"Laughlin, Kyle (1905-1984)",1939,,,office chairs; desks,"Laughlin, Kyle E., 1905-1984; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs; Idaho -- Social life and customs -- Pictorial works;",Interiors -- Offices; Office furniture; People;,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,Latah County,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 766, Negative 99-766-004",99-766-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins and Seth Williams,Deborah Green and Nathan Bender,,46.734481,-116.993797,669842999,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/953,953,spec_kl953,image,spec_kl953.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl953.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl953_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl953_th.jpg,
Dad Ward holding John and Helen Laughlin [1],"Dad Ward, John and Helen Laughlin","Laughlin, Kyle (1905-1984)",1932,y,,groups of people; chairs,"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Children--Idaho;,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,Latah County,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","MG99, Box 04, Sheet 788, Negative 99-788-002",99-788-002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",Tisa Madson,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,46.734481,-116.993797,669842347,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1225,1225,spec_kl1225,image,spec_kl1225.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1225.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1225_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1225_th.jpg,
Dad Ward holding John and Helen Laughlin [2],Dad Ward holding Helen and John Laughlin.,"Laughlin, Kyle (1905-1984)",1932,y,,groups of people; chairs,"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Children--Idaho;,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,Latah County,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","MG99, Box 04, Sheet 788, Negative 99-788-004",99-788-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",Tisa Madson,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,46.734481,-116.993797,669842408,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1226,1226,spec_kl1226,image,spec_kl1226.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1226.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1226_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1226_th.jpg,
"Dam used for flaming, 1959",Dam used for flaming,"Laughlin, Kyle (1905-1984)",1959-08,,,dams; trees,"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",,"Clearwater County, Idaho",United States--Idaho--Clearwater County,Clearwater County,Pot Mountain;Little Green Mountain,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-255, Slide 99-C-255-001",99-C-255-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,46.730621,-116.093559,669842307,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/997,997,spec_kl997,image,spec_kl997.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl997.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl997_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl997_th.jpg,
Dan Warren,Portrait of Dan Warren.,"Laughlin, Kyle (1905-1984)",1952,y,,groups of people,"Idaho -- Social life and customs -- Pictorial works; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Adults--Idaho;,Idaho,United States--Idaho,,,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 870, Negative 99-870-003",99-870-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,,,669842667,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1420,1420,spec_kl1420,image,spec_kl1420.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1420.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1420_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1420_th.jpg,
"Denver (Colo.), 1961","View of Denver, Colorado","Laughlin, Kyle (1905-1984)",1961,,,buildings (structures),"Laughlin, Kyle E., 1905-1984; Colorado State Capitol (Denver, Colo.);",Cities & towns--Colorado;,"Denver County, Colorado",United States--Colorado--Denver County,,Denver,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 305, Negative 99-305-004",99-305-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,39.739154,-104.984703,669842344,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1116,1116,spec_kl1116,image,spec_kl1116.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1116.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1116_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1116_th.jpg,
"Denver (Colo.), Capital building, 1961 [1]","View of the capitol building in Denver, Colorado.","Laughlin, Kyle (1905-1984)",1961,,,buildings (structures),"Laughlin, Kyle E., 1905-1984; Colorado -- Capital and capitol; Colorado State Capitol (Denver, Colo.);",Capitals--Colorado--Denver;,"Denver County, Colorado",United States--Colorado--Denver County,,Denver,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 305, Negative 99-305-001",99-305-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,39.739154,-104.984703,669842642,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1113,1113,spec_kl1113,image,spec_kl1113.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1113.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1113_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1113_th.jpg,
"Denver (Colo.), Capital building, 1961 [2]","View of the capitol building in Denver, Colorado.","Laughlin, Kyle (1905-1984)",1961,,,buildings (structures),"Laughlin, Kyle E., 1905-1984; Colorado -- Capital and capitol; Colorado State Capitol (Denver, Colo.);",Capitals--Colorado--Denver;,"Denver County, Colorado",United States--Colorado--Denver County,,Denver,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 305, Negative 99-305-003",99-305-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,39.739154,-104.984703,669842998,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1115,1115,spec_kl1115,image,spec_kl1115.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1115.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1115_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1115_th.jpg,
"Denver (Colo.), Denver City and County building, 1961","View of the Denver City and County building, Denver, Colorado.","Laughlin, Kyle (1905-1984)",1961,,,buildings (structures),"Laughlin, Kyle E., 1905-1984; Colorado -- Capital and capitol; Colorado State Capitol (Denver, Colo.);",,"Denver County, Colorado",United States--Colorado--Denver County,,Denver,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 305, Negative 99-305-002",99-305-002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,39.739154,-104.984703,669842545,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1114,1114,spec_kl1114,image,spec_kl1114.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1114.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1114_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1114_th.jpg,
"Dog-Tooth Violet, 1952 [1]",View of Dog-Tooth Violet,"Laughlin, Kyle (1905-1984)",1952,,,flowers (plants),"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Wildflowers--Idaho;,Idaho,United States--Idaho,,,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-269, Slide 99-H-013-009",99-H-013-009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Kevin Dobbins,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,,,669842986,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1194,1194,spec_kl1194,image,spec_kl1194.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1194.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1194_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1194_th.jpg,
"Dog-Tooth Violet, 1952 [2]",View of Dog-Tooth Violet,"Laughlin, Kyle (1905-1984)",1952,,,flowers (plants),"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Wildflowers--Idaho;,Idaho,United States--Idaho,,,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-269, Slide 99-H-013-010",99-H-013-010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Kevin Dobbins,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,,,669842303,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1195,1195,spec_kl1195,image,spec_kl1195.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1195.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1195_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1195_th.jpg,
"Dog-Tooth Violet, 1952 [3]",View of Dog-Tooth Violet,"Laughlin, Kyle (1905-1984)",1952,,,flowers (plants),"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Wildflowers--Idaho;,Idaho,United States--Idaho,,,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-269, Slide 99-H-013-012",99-H-013-012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Kevin Dobbins,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,,,669843007,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1196,1196,spec_kl1196,image,spec_kl1196.jpg,https://objects.lib.uidaho.edu/laughlin/spec_kl1196.jpg,https://objects.lib.uidaho.edu/laughlin/small/spec_kl1196_sm.jpg,https://objects.lib.uidaho.edu/laughlin/thumbs/spec_kl1196_th.jpg,
