objectid,parentid,display_template,title,presenter,event,date,description,bio,media_type,item_number,event_type,creator,publisher_digital,source,identifier,format_original,format,type,rights,rightsstatement,subject,language,youtubeid,filename,object_location,image_small,image_thumb
turning261,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  10","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  10 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured: Loretta Halfmoon.",,Photograph,10,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_10,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning261.jpg,https://objects.lib.uidaho.edu/turningwheel/turning261.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning261_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning261_th.jpg
turning262,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  11","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  11 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured L to R: Janis Johnson and Loretta Halfmoon .",,Photograph,11,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_11,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning262.jpg,https://objects.lib.uidaho.edu/turningwheel/turning262.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning262_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning262_th.jpg
turning263,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  12","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  12 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured L to R: Janis Johnson, Loretta Halfmoon, Silas Whitman, and Shirley McCormack.",,Photograph,12,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_12,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning263.jpg,https://objects.lib.uidaho.edu/turningwheel/turning263.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning263_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning263_th.jpg
turning265,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  13","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  13 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured: Audience members.",,Photograph,13,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_13,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning265.jpg,https://objects.lib.uidaho.edu/turningwheel/turning265.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning265_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning265_th.jpg
turning266,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  14","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  14 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured: Audience member Angel Sobotta, Nez Perce Tribe member.",,Photograph,14,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_14,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning266.jpg,https://objects.lib.uidaho.edu/turningwheel/turning266.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning266_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning266_th.jpg
turning268,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  15","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  15 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured L to R: Audience member, Janis Johnson, Loretta Halfmoon, and Silas Whitman.",,Photograph,15,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_15,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning268.jpg,https://objects.lib.uidaho.edu/turningwheel/turning268.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning268_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning268_th.jpg
turning269,nezpercejazz,image,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Photograph  16","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Photograph  16 of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English. Pictured L to R: Janis Johnson and Loretta Halfmoon .",,Photograph,16,Discussion,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_16,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning269.jpg,https://objects.lib.uidaho.edu/turningwheel/turning269.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning269_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning269_th.jpg
turning270,nezpercejazz,video,"Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians), Discussion - Turning of the Wheel, Video","Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)",A Discussion with Nez Perce Jazz Musicians,2012-04-03,"Video  of Moderator Janis Johnson with Loretta Halfmoon, Shirley McCormack, and Silas Whitman (descendents of Nez Perce musicians)'s Discussion 'A Discussion with Nez Perce Jazz Musicians.' Janis Johnson is Assistant Professor of English.",,Video,,Discussion,,University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",nezpercejazz_999,Video,video/avi,Image;MovingImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,nIdKpucMfcA,,https://youtu.be/nIdKpucMfcA,https://img.youtube.com/vi/nIdKpucMfcA/hqdefault.jpg,https://img.youtube.com/vi/nIdKpucMfcA/hqdefault.jpg
aiken,,event,A Historian Looks at Valentine's Day,Katherine Aiken,A Historian Looks at Valentine's Day,2012-02-14,"Valentine's Day is a celebration of romantic love and affection in terms of American culture. This presentation explores how advertising and consumerism have influenced gender roles and romantic love's meaning. The talk highlights the holiday's symbolic elements like flowers and candy, sending a 'valentine's card,' hearts, doves and Cupids. Examines Valentine's Day as both a unique and universal cultural phenomenon and analyzes the holiday's evolution in American culture.","Katherine Aiken is Professor of History at University of Idaho and Dean of College of Letters, Arts and Social Sciences since 2006. She served as History department chair from 2001-2005 and is the recipient of multiple teaching awards. She is the author of books on motherhood, mining history, and Idaho history, and serves as Idaho Humanities Council Chair-elect.",,,Colloquium Talk,Katherine Aiken,,,,,,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",,,eng,,,,https://objects.lib.uidaho.edu/turningwheel/small/turning345_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning345_th.jpg
turning345,aiken,image,"Katherine Aiken, Colloquium Talk - Turning of the Wheel, Photograph  1",Katherine Aiken,A Historian Looks at Valentine's Day,2012-02-14,"Photograph  1 of Katherine Aiken's Colloquium Talk 'A Historian Looks at Valentine's Day.' Katherine Aiken is Dean, College of Letters, Arts & Social Sciences, and Professor of History. Pictured: Rodney Frey and Katherine Aiken.",,Photograph,1,Colloquium Talk,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",aiken_01,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning345.jpg,https://objects.lib.uidaho.edu/turningwheel/turning345.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning345_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning345_th.jpg
turning356,aiken,image,"Katherine Aiken, Colloquium Talk - Turning of the Wheel, Photograph  2",Katherine Aiken,A Historian Looks at Valentine's Day,2012-02-14,"Photograph  2 of Katherine Aiken's Colloquium Talk 'A Historian Looks at Valentine's Day.' Katherine Aiken is Dean, College of Letters, Arts & Social Sciences, and Professor of History. Pictured: Katherine Aiken.",,Photograph,2,Colloquium Talk,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",aiken_02,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning356.jpg,https://objects.lib.uidaho.edu/turningwheel/turning356.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning356_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning356_th.jpg
turning367,aiken,image,"Katherine Aiken, Colloquium Talk - Turning of the Wheel, Photograph  3",Katherine Aiken,A Historian Looks at Valentine's Day,2012-02-14,"Photograph  3 of Katherine Aiken's Colloquium Talk 'A Historian Looks at Valentine's Day.' Katherine Aiken is Dean, College of Letters, Arts & Social Sciences, and Professor of History. Pictured: Katherine Aiken.",,Photograph,3,Colloquium Talk,"Kristin Carlson, photogapher",University of Idaho Library,"Turning of the Wheel - Humanities Colloquium Series, 2011-2012, University of Idaho",aiken_03,Digital Photograph,image/jpeg,Image;StillImage,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,humanities,eng,,turning367.jpg,https://objects.lib.uidaho.edu/turningwheel/turning367.jpg,https://objects.lib.uidaho.edu/turningwheel/small/turning367_sm.jpg,https://objects.lib.uidaho.edu/turningwheel/thumbs/turning367_th.jpg
