objectid,title,description,date,date is approximate?,creator,subject,latitude,longitude,donor,digital collection,source,finding aid,identifier,rights,rightsstatement,format original,type,format,language,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb,errors
priestlake234,Automobile approaching Dickensheet Bridge,"An automobile approaching Dickensheet Bridge, near Priest Lake, Idaho.",1925,,,rivers;automobiles;bridges,48.453312,-116.899767,,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-10-02,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,7x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/234,234,31.jp2,/priestlake/image/31.jp2,image,priestlake234.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake234.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake234_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake234_th.jpg,""
priestlake189,Barge transporting pack mules and horses,Pack mules and horses being transported on a barge.,1941,y,,lakes (bodies of water);barges;horses;mules,48.492121,-116.843462,,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-10-11,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,6x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/189,189,27.jp2,/priestlake/image/27.jp2,image,priestlake189.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake189.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake189_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake189_th.jpg,""
priestlake237,Bear in front of log flume,A black bear in front of a log flume. Donated by Viv Beardmore through Priest Lake Museum.,1922,y,,bears;black bears;animals;logging;log flumes,48.740652,-116.830759,Viv Beardmore through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-06-21,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/237,237,312.jp2,/priestlake/image/312.jp2,image,priestlake237.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake237.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake237_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake237_th.jpg,""
priestlake240,Beardmore Auto Stage,"A man sits behind the wheel of the Beardmore Auto Stage. Priest River, Idaho.",1921,y,,buses;stage coach;automobile,48.184733,-116.904833,,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-06-23,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,8x10 black and white mounted print,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/240,240,315.jp2,/priestlake/image/315.jp2,image,priestlake240.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake240.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake240_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake240_th.jpg,""
priestlake235,Beardmore river crew [1],"Group photograph of the Beardmore river crew on west branch of the Priest River, Idaho. Donated by Viv Beardmore through Priest Lake Museum.",1911,,,workers;people;crews,48.199934,-116.902685,Viv Beardmore through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-06-02,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/235,235,310.jp2,/priestlake/image/310.jp2,image,priestlake235.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake235.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake235_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake235_th.jpg,""
priestlake249,Beardmore river crew [2],"The Beardmore river crew working on a log jam on Priest River, Idaho. Donated by Viv Beardmore through Priest Lake Museum.",1911,,,logs (wood);loggers;log jam,48.208901,-116.915201,Viv Beardmore through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-06-06,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/249,249,323.jp2,/priestlake/image/323.jp2,image,priestlake249.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake249.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake249_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake249_th.jpg,""
priestlake229,Beardmore team,The Beardmore team pulling a wagon loaded with logs. Donated by Viv Beardmore through Priest Lake Museum.,1926,y,,horses;loggers;logging;timber,48.191455,-116.899455,Viv Beardmore through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-06-13,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/229,229,305.jp2,/priestlake/image/305.jp2,image,priestlake229.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake229.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake229_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake229_th.jpg,""
priestlake167,Bears in cages,Nell Shipman's bears in cages. Donated by U of I Library through Priest Lake Museum.,1921,y,,bears;wildlife;black bears;cages,48.744477,-116.832677,U of I Library through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-10-01,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/167,167,25.jp2,/priestlake/image/25.jp2,image,priestlake167.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake167.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake167_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake167_th.jpg,""
priestlake42,Beaver Creek Ranger Station dispatcher's desk,"A Beaver Creek  ranger dispatcher's desk at Beaver Creek Ranger Station. Priest Lake, Idaho. Donated by H. J. Deiner through Priest Lake Museum.",1930,y,,ranger stations;interior spaces;desk;ranger;dispatcher,48.737322,-116.885422,H.J. Deiner through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-17-03,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/42,42,137.jp2,/priestlake/image/137.jp2,image,priestlake42.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake42.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake42_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake42_th.jpg,""
priestlake43,"Beaver Creek Ranger Station. Priest Lake, Idaho","View of Beaver Creek Ranger Station in Priest Lake, Idaho. Donated by H. J. Deiner through Priest Lake Museum.",1930,y,,ranger stations;exteriors;lakes (bodies of water),48.737341,-116.885472,H.J. Deiner through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-17-04,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/43,43,138.jp2,/priestlake/image/138.jp2,image,priestlake43.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake43.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake43_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake43_th.jpg,""
priestlake201,Beaver trapping,"Elmer Stone, Swan Johnson, June Paul, and Chase Lake (?) setting traps for beaver control. Donated by June Paul Paley through Priest Lake Museum.",1948,y,,winter;people;lakes (bodies of water);trapping;beavers;fur,48.461902,-116.828506,June Paul Paley through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-03-05,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/201,201,280.jp2,/priestlake/image/280.jp2,image,priestlake201.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake201.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake201_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake201_th.jpg,""
priestlake48,Bert Winslow plowing at Dalkenia Camp,Bert Winslow plowing at Dalkenia Camp during the winter. L Engine #1. Idaho. Donated by Mike Winslow through Priest Lake Museum.,1910,y,,train;train engines;winter,48.244904,-117.237715,Mike Winslow through Priest Lake Museum,"Priest Lake Museum Association Collection, http://www.lib.uidaho.edu/digital/priestlake/","Priest Lake Museum Association photographs, 1880-1950, PG 17, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv119445,PG17-18-11,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,4x5 black and white copy negative,Image;StillImage,image/jpeg,eng,12/5/2012,9/14/2015,http://digital.lib.uidaho.edu:80/cdm/ref/collection/priestlake/id/48,48,142.jp2,/priestlake/image/142.jp2,image,priestlake48.jpg,https://objects.lib.uidaho.edu/priestlake/priestlake48.jpg,https://objects.lib.uidaho.edu/priestlake/small/priestlake48_sm.jpg,https://objects.lib.uidaho.edu/priestlake/thumbs/priestlake48_th.jpg,""
