file name,title,creator,description,date,date is approximate,ccc-camp-number,ccc-company-number,subject,source,location,idaho_county,latitude,longitude,format-original,digital collection,format,identifier,type,contributing institution,language,rights,rightsstatement,oclc number,date created,date modified,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
,Camp Redfish Lake,"Swan, K.D.","View of Redfish Lake CCC Camp and Redfish Lake, Idaho. Sawtooth Mountains loom in the background.",1933,,,,barracks; tent structures; mountains,"U.S. Forest Service, Region 4",Sawtooth National Forest; Redfish Lake,Custer County,44.1464,-114.9159,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_007,Image;StillImage,"United States Forest Service, Region 10",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/10,10,19.jpg,/cccidaho/image/19.jpg,cccidaho10,image,cccidaho10.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho10.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho10_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho10_th.jpg,
,Camp Deep Creek,United States Forest Service,View of rows of tents surrounded by trees at Camp Deep Creek.,1934,y,F-45,C-952,tents (portable buildings); barracks,Bitterroot National Forest,"Deep Creek, Idaho; Darby, Montana; Bitterroot National Forest",Idaho County,45.7204,-114.5121,newspaper clipping,Idaho Civilian Conservation Corps,image/jpeg,BitterrootNF_002,Image;StillImage,Bitterroot National Forest,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/11,11,2.jpg,/cccidaho/image/2.jpg,cccidaho11,image,cccidaho11.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho11.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho11_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho11_th.jpg,
,Campground Construction,"Fair, P.J.","Three men build campground tables at Camp Ketchum, Sawtooth National Forest, Idaho.",1933,,F-81,C-971,campgrounds; national forests; construction (assembling); picnic tables; picnic benches; unskilled workers; group portraits,"U.S. Forest Service, Region 4","Sawtooth National Forest; Ketchum, Idaho",Blaine County,43.6825,-114.3666,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_008,Image;StillImage,"United States Forest Service, Region 11",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/12,12,20.jpg,/cccidaho/image/20.jpg,cccidaho12,image,cccidaho12.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho12.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho12_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho12_th.jpg,
,Campground Construction,"Fair, P.J.","Three men installing campground stoves at Wood River Campground, Camp Ketchum, in the Sawtooth National Forest, Idaho.",1933,,F-81,C-971,campgrounds; national forests; construction (assembling); stoves (heating equipment); unskilled workers; group portraits,"U.S. Forest Service, Region 4","Sawtooth National Forest; Wood River, Idaho",Custer County,43.7944,-114.4567,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_010,Image;StillImage,"United States Forest Service, Region 13",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/13,13,21.jpg,/cccidaho/image/21.jpg,cccidaho13,image,cccidaho13.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho13.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho13_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho13_th.jpg,
,Campground Construction,"Fair, P.J.","CCC men building campground tables and toilets at Camp Ketchum, in the Sawtooth National Forest, Idaho.",1933,,F-81,C-971,campgrounds; national forests; construction (assembling); outhouses; picnic tables; picnic benches; unskilled workers; group portraits,"U.S. Forest Service, Region 4",Sawtooth National Forest,Blaine County,43.6825,-114.3666,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_011,Image;StillImage,"United States Forest Service, Region 14",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/14,14,22.jpg,/cccidaho/image/22.jpg,cccidaho14,image,cccidaho14.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho14.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho14_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho14_th.jpg,
,Campground Construction,,"CCC men constructing camp tables at Camp Benedict, Sawtooth National Forest, Idaho. Sawtooth Mountains loom in the background.",1934,,,,campgrounds; national forests; construction (assembling); picnic tables; picnic benches; unskilled workers; group portraits,"U.S. Forest Service, Region 4",Sawtooth National Forest,Blaine County,43.6825,-114.3666,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_012,Image;StillImage,"United States Forest Service, Region 15",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/15,15,23.jpg,/cccidaho/image/23.jpg,cccidaho15,image,cccidaho15.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho15.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho15_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho15_th.jpg,
,Roadside Cleanup,"Bieler, Paul S.","Roadside cleanup by CCC men from Camp F-78, near Pine, Idaho in the Boise National Forest. The caption reads 'Tree cutters sharpening tools in Blue Point Creek.'",1939,,F-78,C-254,roads; national forests; saw blades; unskilled workers; group portraits,"U.S. Forest Service, Region 4",Boise National Forest,Elmore County,43.488,-115.314,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_013,Image;StillImage,"United States Forest Service, Region 16",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/16,16,24.jpg,/cccidaho/image/24.jpg,cccidaho16,image,cccidaho16.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho16.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho16_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho16_th.jpg,
,Roadside Cleanup,"Swan, K.D.","Roadside cleanup on road to Brundage Lookout, Payette National Forest, Idaho. Material piled and ready to burn. Cleanup by boys from State CCC Camp at McCall, Idaho.",1933,,,,roads; national forests,"U.S. Forest Service, Region 4",Payette National Forest,Adams County,45.0054,-116.156,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_014,Image;StillImage,"United States Forest Service, Region 17",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/17,17,25.jpg,/cccidaho/image/25.jpg,cccidaho17,image,cccidaho17.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho17.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho17_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho17_th.jpg,
,Campground Construction,"Fair, P.J.","CCC men installing campground stoves at Wood River Campground, from Camp Ketchum, Sawtooth National Forest, Idaho.",1933,,F-81,C-971,campgrounds; national forests; construction (assembling); stoves (heating equipment); unskilled workers; group portraits,"U.S. Forest Service, Region 4","Sawtooth National Forest; Wood River, Idaho",Custer County,43.7944,-114.4567,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_009,Image;StillImage,"United States Forest Service, Region 12",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/18,18,26.jpg,/cccidaho/image/26.jpg,cccidaho18,image,cccidaho18.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho18.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho18_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho18_th.jpg,
,Roadside Cleanup,"Fair, P.J.","Roadside cleanup by CCC men from F-94, in Targhee National Forest near Osborne Springs and Ashton, Idaho.",1933,,F-94,C-1972,roads; national forests; unskilled workers; group portraits,"U.S. Forest Service, Region 4",Targhee National Forest,Fremont County,44.3097,-111.4084,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_015,Image;StillImage,"United States Forest Service, Region 18",eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/19,19,27.jpg,/cccidaho/image/27.jpg,cccidaho19,image,cccidaho19.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho19.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho19_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho19_th.jpg,
,Camp Heyburn Headquarters,,"Exterior view of headquarters building at Camp Heyburn. The sign above the door says 'Camp Heyburn SP-1, Company 1955 CCC'. The sign to the left beneath it says 'Office' and the other says 'Supply'.",1935,y,SP-1,C-1995,offices (administrative entities),Heyburn State Park,Heyburn State Park; Lake Chatcolet,Benewah County,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_004,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/20,20,28.jpg,/cccidaho/image/28.jpg,cccidaho20,image,cccidaho20.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho20.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho20_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho20_th.jpg,
,Lake Chatcolet Sign,,A man stands in front of a sign advertising for Lake Chatcolet. The sign reads 'Chatcolet Picnicking Swimming Camping Caretak.' The man is standing in front of the last word which may be assumed to be 'Caretaking.',1935,y,SP-1,C-1995,portraits; direction signs; state parks,Heyburn State Park,Heyburn State Park; Lake Chatcolet,Benewah County,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_005,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/21,21,29.jpg,/cccidaho/image/29.jpg,cccidaho21,image,cccidaho21.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho21.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho21_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho21_th.jpg,
,Camp Deep Creek,United States Forest Service,View of tent camp surrounded by trees. Flagpole in the center and an automobile is parked by one of the tents.,1934,y,F-45,C-952,tents (portable buildings); forests (plant communities); automobiles; barracks; flagpoles; fog,Bitterroot National Forest,"Deep Creek, Idaho; Darby, Montana; Bitterroot National Forest",Idaho County,45.7204,-114.5121,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,BitterrootNF_003,Image;StillImage,Bitterroot National Forest,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/22,22,3.jpg,/cccidaho/image/3.jpg,cccidaho22,image,cccidaho22.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho22.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho22_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho22_th.jpg,
,Heyburn State Park Entrance Sign,,The front view of the Heyburn State Park entrance sign. The sign reads: 'Entering Heyburn State Park'.,1935,,SP-1,C-1995,identification signs; state parks,Heyburn State Park,Heyburn State Park; Lake Chatcolet,Benewah County,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_006,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/23,23,30.jpg,/cccidaho/image/30.jpg,cccidaho23,image,cccidaho23.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho23.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho23_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho23_th.jpg,
,Indian Cliffs Trail Sign,,"CCC men who had built a the trail, hold the sign for Indian Cliffs. The sign reads 'Indian Cliffs.'",1935,y,SP-1,C-1995,group portraits; direction signs; state parks; trails (recreation areas),Heyburn State Park,Heyburn State Park; Lake Chatcolet,Benewah County,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_007,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/24,24,31.jpg,/cccidaho/image/31.jpg,cccidaho24,image,cccidaho24.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho24.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho24_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho24_th.jpg,
,Lake Chatcolet Shelter,,Exterior view of Lake Chatcolet Shelter at Heyburn State Park.,1935,y,SP-1,C-1995,state parks; shelters (single built works); lakes (bodies of water),Heyburn State Park,Heyburn State Park; Lake Chatcolet,Benewah County,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_008,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/25,25,32.jpg,/cccidaho/image/32.jpg,cccidaho25,image,cccidaho25.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho25.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho25_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho25_th.jpg,
