objectid,parentid,title,subject_name,date,description,image_alt_text,event_type,political_affiliation,party_nominee_yes_or_no,president_or_vice_president,election_outcome,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
mg660_box1_1-0011,,William McKinley,"McKinley, William",1900,William McKinley. Republican Party nominee for President of the United States.,"Round button with a portrait of William McKinley, bordered by the US stars and stripes.",President,Republican,yes,president,won,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0011,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0011.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0011.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0011_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0011_th.jpg
mg660_box1_1-0012,,William McKinley,"McKinley, William",1896,William McKinley. Republican Party nominee for President of the United States.,"Round button with a portrait of William McKinley, bordered by the US stars and stripes.",President,Republican,yes,president,won,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0012,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0012.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0012.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0012_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0012_th.jpg
mg660_box1_1-0013,,William McKinley,"McKinley, William",1900,William McKinley. Republican Party nominee for President of the United States.,"Round, black button with a portrait of William McKinley, bordered by the US flag.",President,Republican,yes,president,won,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0013,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0013.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0013.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0013_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0013_th.jpg
mg660_box1_1-0014,,William McKinley,"McKinley, William",1900,William McKinley. Republican Party nominee for President of the United States.,Round button with a black and white portrait of William McKinley.,President,Republican,yes,president,won,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0014,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0014.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0014.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0014_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0014_th.jpg
mg660_box1_1-0015,,McKinley,"McKinley, William",1900,William McKinley. Republican Party nominee for President of the United States.,"Round, white button with a faded portrait of William McKinley and the text: ""McKinley.""",President,Republican,yes,president,won,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0015,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0015.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0015.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0015_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0015_th.jpg
mg660_box1_1-0016,,I Will Vote for Sound Money,"McKinley, William; Hobart, Garrett",1896,William McKinley and Garrett Hobart. Republican Party nominees for President and Vice President of the United States.,"Round, gold button with the text: ""I will vote for sound money.""",President; Vice President,Republican,yes,president; vice president,won,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0016,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0016.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0016.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0016_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0016_th.jpg
mg660_box1_1-0017,,William McKinley and Theodore Roosevelt,"McKinley, William; Hobart, Garrett",1900,William McKinley and Theodore Roosevelt. Republican Party nominees for President and Vice President of the United States.,"Round, white button with a blue border and portraits of William McKinley on the left and Theodore Roosevelt on the right.",President; Vice President,Republican,yes,president; vice president,won,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0017,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0017.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0017.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0017_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0017_th.jpg
mg660_box1_1-0018,,Ida McKinley,"McKinley, Ida",undated,Ida McKinley. Wife of Republican Party nominee for President of the United States William McKinley.,"Round button with a faded portrait of Ida McKinley, bordered by the US stars and stripes.",First Lady,,,,,political buttons; promotional buttons; first ladies,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0018,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0018.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0018.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0018_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0018_th.jpg
mg660_box1_1-0019,,For District Attorney Wm. Travers Jerome,"Jerome, William Travers",1901,William Travers Jerome. New York County District Attorney candidate.,"Round, white button with a portrait of William Travers Jerome and the text: ""For district attorney Wm. Travers Jerome"". ",Alternative Political Offices,Independent,yes,,won,elections; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0019,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0019.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0019.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0019_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0019_th.jpg
mg660_box1_1-0020,,Jerome,"Jerome, William Travers",1901,William Travers Jerome. New York County District Attorney candidate.,"Round, blue button with a white border and white text reading: ""Jerome"".",Alternative Political Offices,Independent,yes,,won,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0020,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0020.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0020.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0020_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0020_th.jpg
mg660_box1_1-0021,,Edward M. Shepard,"Shepard, Edward M.",1901,Edward M. Shepard. Democratic Party nominee for mayor of New York City.,"Round button with a portrait of Edward M. Shepard and white text reading: ""For mayor Edward M. Shepard"".",Alternative Political Offices,Democrat,yes,,lost,elections; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0021,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0021.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0021.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0021_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0021_th.jpg
mg660_box1_1-0022,,Benjamin Odell,"Odell, Benjamin",1902,Benjamin Odell. Republican Party nominee for governor of New York.,Round button with a portrait of Benjamin Odell.,Governor,Republican,yes,,won,elections; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0022,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0022.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0022.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0022_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0022_th.jpg
mg660_box1_1-0023,,For  Alderman 21 District George Young Bauchle,"Bauchle, George Young",1905,George Young Bauchle. Alderman candidate for New York City.,"Round, white button with portrait of George Young Bauchle and black text reading: ""For alderman 21st district George Young Bauchle"".",Alternative Political Offices,,,,,elections; political buttons; political pins; aldermen,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0023,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0023.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0023.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0023_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0023_th.jpg
mg660_box1_1-0024,,Governor Frank W. Higgins and Lieutenant Governor M. Linn Bruce,"Higgins, Frank W.; Bruce, M. Linn",1904,Frank W. Higgins and M. Linn Bruce. Republican Party nominees for governor and lieutenant governor of New York.,Round button with portraits of Frank W. Higgins and M. Linn Bruce.,Governor,Republican,yes,,won,elections; political buttons; political pins; governors (political officers); lieutenant governors,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0024,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0024.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0024.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0024_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0024_th.jpg
mg660_box1_1-0025,,For Sheriff Nicholas J. Hayes,"Hayes, Nicholas J.",1905,"Nicholas J. Hayes. Democratic candidate for sheriff of New York County, New York.","Round, white button with a portrait of Nicholas J. Hayes and the text: ""For sheriff Nicholas J. Hayes"".",Alternative Political Offices,Democrat,,,won,elections; political buttons; political pins; sheriffs,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0025,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0025.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0025.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0025_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0025_th.jpg
mg660_box1_1-0026,,For Mayor William M. Ivins,"Ivins, William M.",1905,William M. Ivins. Republican Party nominee for mayor of New York City.,"Round, white button with a blue border and a portrait of William M. Ivins and the text: ""For mayor William M. Ivins"".",Alternative Political Offices,Republican,,,lost,elections; political buttons; political pins; mayors,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0026,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0026.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0026.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0026_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0026_th.jpg
mg660_box1_1-0027,,For Assembly 31st Dist Lewis A. Abrams,"Abrams, Lewis A.",1903,Lewis A. Abrams. Democratic Party nominee for New York State Assembly.,"Round, white button with a portrait of Lewis A. Abrams and the text: ""For Assembly, 31st Dist. Lewis A. Abrams"". ",Alternative Political Offices,Democrat,yes,,won,elections; political buttons; political pins; ,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0027,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0027.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0027.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0027_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0027_th.jpg
mg660_box1_1-0028,,Hugh L. Starr Association,"Starr, Hugh L. ",undated,"Hugh L. Starr was a Tammany Leader, hotel proprietor, and district superintendent for Manhattan, Brooklyn and Queens, New York.","Round, white button with a portrait of Hugh L. Starr and the text: ""Hugh L. Starr Association.""",Alternative Political Offices,,,,,elections; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_1-0028,Image;StillImage,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,mg660_box1_1-0028.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_1-0028.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_1-0028_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_1-0028_th.jpg
