title,photographer,description,date,date_approximate,subject (lcsh),subject,location,features,latitude,longitude,source,identifier,rights,rightsstatement,type,format,language,moscow number,fs number,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Moderately Thinned Plot & Lightly Thinned plot,"Brewster, D.R.","20242A: ""Moderately Thinned Plot; 455 left per acre; Note Numbered Tag."" 20238: ""Lightly Thinned, 550 left per Acre; Note Rings of White Paint to Designate Trees to be Left.""",1914,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,"Bonner County, Idaho",Priest Creek Experimental Forest,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P38,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,578,20242A & 20238A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/10,10,expforsav10,image,expforsav10.jpg,https://objects.lib.uidaho.edu/expforest/expforsav10.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav10_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav10_th.jpg,
Lightly Thinned & Partial Product of Thinning,"Brewster, D.R.","20243A: ""Lightly Thinned; 550 left per acre; Note Many Small Trees."" 20239A: ""Partial Product of Thinning; Unthinned Stand in Back Ground.""",1914,,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,"Bonner County, Idaho",Priest Creek Experimental Forest,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P39,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,579,20243A & 20239A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/11,11,expforsav11,image,expforsav11.jpg,https://objects.lib.uidaho.edu/expforest/expforsav11.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav11_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav11_th.jpg,
Transplant [Benton Flat] nursery at PRES,"Rogers, E.C.",Transplant [Benton Flat] nursery at PRES.,1917,,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1917TransplantNursery,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1285,34576A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/12,12,expforsav12,image,expforsav12.jpg,https://objects.lib.uidaho.edu/expforest/expforsav12.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav12_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav12_th.jpg,
Western Yellow Pine Plantation,"Brewster, D.R.","20240A =""Small Logs and Fence Poles Obtained from Thinning; Windrow of Tops, Branches and untrimmed Trees Piled for Burning.""  20244A =""Western Yellow Pine Plantation; 1-1 stock from Coconino Forest in Arizona, three years after Planting, Source of Seed Study.""",1914,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,"Bonner County, Idaho",Priest Creek Experimental Forest,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P40,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,580,20240A & 20244A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/13,13,expforsav13,image,expforsav13.jpg,https://objects.lib.uidaho.edu/expforest/expforsav13.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav13_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav13_th.jpg,
Three Years after Planting,"Brewster, D.R.","20247A: ""Pinus strobus transplant 5 feet high; Three Years after Planting."" 20246A: ""Shagbark Hickory Seedling Stock; Three Years after Planting.""",1914,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P41,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,581,20247A & 20246A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/14,14,expforsav14,image,expforsav14.jpg,https://objects.lib.uidaho.edu/expforest/expforsav14.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav14_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav14_th.jpg,
View of Experiment Station Buildings and Clearing and Surrounding Grounds,"Brewster, D.R.","202930A: ""General View of Experiment Station Buildings and Clearing."" 24929A: ""Near View of Dwelling Cottages and Surrounding Grounds.""",1915,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P1,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,582,24930A & 24929A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/15,15,expforsav15,image,expforsav15.jpg,https://objects.lib.uidaho.edu/expforest/expforsav15.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav15_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav15_th.jpg,
Cottage No. 3 and gasoline drag saw outfit mounted on skids,"Brewster, D.R.","24932A: ""Cottage No. 3, Showing Remodelled Storehouse in Foreground."" 24933A: ""4 Horse Power Gasoline Drag Saw Outfit Mounted on Skids.""",1915,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P14,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,583,24932A & 24933A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/16,16,expforsav16,image,expforsav16.jpg,https://objects.lib.uidaho.edu/expforest/expforsav16.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav16_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav16_th.jpg,
Benton Flat Nursery [02],"Brewster, D.R.","24527A: ""15 Beds Devoted to Seed Studies, Benton Flat Nursery.""  24931A: 4-Year-Old Plantations Western Yellow Pine Source of Seed Study."" Now known as ponderosa plot 162.",1915,,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P17,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,586,24527A & 24931A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/17,17,expforsav17,image,expforsav17.jpg,https://objects.lib.uidaho.edu/expforest/expforsav17.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav17_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav17_th.jpg,
"6-Year-Old selection cutting, Coeur d'Alene National Forest","Brewster, D.R.","23659A: ""6-Year-Old Selection Cutting, Kennedy Sale, Coeur d'Alene N.F."" 23658A: ""Seed Trees on 6-Year-Old Selection Cutting, Coeur d'Alene N.F.""",1915,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,"Shoshone County, Idaho",Coeur d'Alene National Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P19,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,587,23659A & 23658A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/18,18,expforsav18,image,expforsav18.jpg,https://objects.lib.uidaho.edu/expforest/expforsav18.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav18_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav18_th.jpg,
Coeur d'Alene National Forest [01],"Brewster, D.R.","24522A: ""Uncut seed strip, 5-year-old strip cutting, Coeur d'Alene N.F."" 24525A: ""Seedlings on reproduction strip, marked with wire pins, perm. sample Plot #3, clean cut strips, Coeur d'Alene N.F.""",1915,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,"Shoshone County, Idaho",Coeur d'Alene National Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P20,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,588,24522A & 24525A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/19,19,expforsav19,image,expforsav19.jpg,https://objects.lib.uidaho.edu/expforest/expforsav19.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav19_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav19_th.jpg,
Coeur d'Alene National Forest [02],"Brewster, D.R.","24521A: ""Clean cutting with groups of seed trees, Coeur d'Alene N.F., 1914, typical portion of 25 acres mapped in marking study."" 23648A: ""Steam logging on Ucelle Gulch, Coeur d'Alene N.F., 1915, showing clean cut strips necessary for overhead cable logging.""",1915,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,"Shoshone County, Idaho",Coeur d'Alene National Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P21,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,589,24521A & 23648-A,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/20,20,expforsav20,image,expforsav20.jpg,https://objects.lib.uidaho.edu/expforest/expforsav20.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav20_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav20_th.jpg,
Portal sign from Deception Creek Experimental Forest,"Wellner, Chuck A.","Portal sign, Deception Creek Experimental Forest (Deception Creek Experimental Forest), used as the cover of the 1936 Annual Report.",1936,Yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest,,"Kootenai County, Idaho",Deception Creek Experimental Forest,47.72777778,-116.4813889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_01,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,633,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/21,21,expforsav21,image,expforsav21.jpg,https://objects.lib.uidaho.edu/expforest/expforsav21.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav21_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav21_th.jpg,
Building Photos from 1936 Annual Report,"Wellner, Chuck A.","From the 1936 Annual Report, page of 10 photos of buildings.",1936,,United States--Idaho--Kootenai County--Deception Creek Experimental Forest,,"Kootenai County, Idaho",Deception Creek Experimental Forest,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_02,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,634,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/22,22,expforsav22,image,expforsav22.jpg,https://objects.lib.uidaho.edu/expforest/expforsav22.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav22_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav22_th.jpg,
Lookout over toolhouse from the Priest River Experiment Station Weather Station in midwinter,"Larsen, J.A.",Looking east toward Experiment Station Lookout over toolhouse from the Priest River Experiment Station Weather Station in midwinter.,1917,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1917WinterShop,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1283,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/23,23,expforsav23,image,expforsav23.jpg,https://objects.lib.uidaho.edu/expforest/expforsav23.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav23_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav23_th.jpg,
