objectid,filename,title,creator,date,archival_date,description,image_alt_text,subject,source,identifier,relation,type,format_original,format,finding_aid,digital_collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
kibbiedome011,argonaut_05-01-1992_p1.pdf,Kenny Rogers,"Gadsby, Travis",1992,1992-05-01,Kenny Rogers,,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_05-01-1992_p1,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_05-01-1992_p1.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_05-01-1992_p1_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_05-01-1992_p1_th.jpg
kibbiedome012,argonaut_09-30-1975_p1.pdf,"President Ernest Hartung, Edgar Winter, fall fashions, and Ed Troxel; Crowd rocks and rolls with Winter",,1975,1975-09-30,"""President Ernest Hartung, Edgar Winter, fall fashions, and Ed Troxel; Crowd rocks and rolls with Winter"". September 30, 1975, issue of the Argonaut student newspaper. 2 pages.",,musicians; concerts (performances); stadiums,"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_09-30-1975_p1,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_09-30-1975_p1.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_09-30-1975_p1_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_09-30-1975_p1_th.jpg
kibbiedome013,argonaut_10-10-1975_p20.pdf,New Riders of the Purple Sage and others,,1975,1975-10-10,"New Riders of the Purple Sage, Commander Cody and his Lost Planet Airmen, and Pure Prairie League. Advertisement for a concert in the Kibbie Dome, to be held October 12, 1975.",,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_10-10-1975_p20,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_10-10-1975_p20.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_10-10-1975_p20_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_10-10-1975_p20_th.jpg
kibbiedome014,argonaut_10-14-1975_p1_6.pdf,"Governor Cecil Andrus, football game, New Riders of the Purple Sage; Dedicating the Dome",,1975,1975-10-14,"""Governor Cecil Andrus, football game, New Riders of the Purple Sage; Dedicating the Dome"". Pages 1 and 6 of the Argonaut student newspaper, October 14, 1975. 2 pages.",,musicians; concerts (performances); stadiums,"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_10-14-1975_p1_6,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_10-14-1975_p1_6.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_10-14-1975_p1_6_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_10-14-1975_p1_6_th.jpg
kibbiedome015,argonaut_10-14-1975_p10.pdf,Three foot stompin' bands: Country rock shatters dome,"Stapilus, Randy",1975,1975-10-14,"""Three foot stompin' bands: Country rock shatters dome"". Article by Randy Stapilus for the Argonaut student newspaper, October 14, 1975.",,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_10-14-1975_p10,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_10-14-1975_p10.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_10-14-1975_p10_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_10-14-1975_p10_th.jpg
kibbiedome016,argonaut_10-19-1976_p16.pdf,Tomorrow The Doobie Brothers,,1976,1976-10-19,"Tomorrow The Doobie Brothers. Advertisement in the Argonaut student newspaper for an October 20, 1976, Doobie Brothers concert in the Kibbie Dome.",,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_10-19-1976_p16,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_10-19-1976_p16.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_10-19-1976_p16_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_10-19-1976_p16_th.jpg
kibbiedome017,argonaut_10-19-1979_p19.pdf,"1,000 high school band members to compete",,1979,1979-10-19,"""1,000 high school band members to compete"". Article in the Argonaut student newspaper, October 19, 1979.",,stadiums; musicians; competitions (events),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_10-19-1979_p19,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_10-19-1979_p19.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_10-19-1979_p19_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_10-19-1979_p19_th.jpg
kibbiedome018,argonaut_10-22-1976_p1.pdf,We finally did it.......,,1976,1976-10-22,"""We finally did it......."" Article about the Doobie Brothers concert in October 1976 in the Argonaut student newspaper.",,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_10-22-1976_p1,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_10-22-1976_p1.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_10-22-1976_p1_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_10-22-1976_p1_th.jpg
kibbiedome019,argonaut_11-05-1976-p12.pdf,"Waylon Jennings and the Waylors, Jessi Colter, Steve Young",,1976,1976-11-05,"Waylon Jennings and the Waylors, Jessi Colter, Steve Young. Advertisement in the Argonaut student newspaper for a Kibbie Dome concert.",,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_11-05-1976-p12,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_11-05-1976-p12.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_11-05-1976-p12_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_11-05-1976-p12_th.jpg
kibbiedome020,argonaut_12-03-1976_p12.pdf,Concert Review: Ry Cooder steals spotlight,"Loftus, Bill",1976,1976-12-03,Concert Review: Ry Cooder steals spotlight,,musicians; concerts (performances),"University of Idaho Argonaut, UIARG, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",uiarg_12-03-1976_p12,,Text,newspaper clipping,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv736406,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/kibbiedome/argonaut_12-03-1976_p12.pdf,https://objects.lib.uidaho.edu/kibbiedome/small/argonaut_12-03-1976_p12_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/argonaut_12-03-1976_p12_th.jpg
argonautphotos410,argonautphotos410.jpg,Registration day [1],,1987,1987,A student registering for classes in the Kibbie Dome.,Black and white photograph of people visiting a table attended by other people.,stadiums; registration; students; faculty,"University of Idaho Argonaut photographs, PG 52, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",pg52-522,,Image;StillImage,black and white photographic print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv681386,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/argonautphotos/argonautphotos410.jpg,https://objects.lib.uidaho.edu/argonautphotos/small/argonautphotos410_sm.jpg,https://objects.lib.uidaho.edu/argonautphotos/thumbs/argonautphotos410_th.jpg
campus00533,campus00533.jpg,"Kibbie-ASUI Activity Center, University of Idaho. Construction.",,1975,1975,1975 photograph of the Kibbie-ASUI Activity Center under construction. William H. Kibbie and President Hartung before first beam was raised.,Black and white photograph of several men talking to one another. In the background are large wooden arches and construction equipment.,stadiums; construction sites; campuses; men; groups of people,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",pg1_147-02,,Image;StillImage,black and white photographic print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/campus/campus00533.jpg,https://objects.lib.uidaho.edu/campus/small/campus00533_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus00533_th.jpg
campus02834,campus02834.jpg,Construction site for Neale Stadium,,1936,1936,"1936 photograph of Neale Stadium Cap Horton, Ted Bank, and Rafe Gibbs examine site.",Black and white photograph of three men standing or crouching on a grassy hillside. In the background are many buildings.,campuses; buildings; construction (built works technique),"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",pg1_085-02,,Image;StillImage,black and white photographic print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/campus/campus02834.jpg,https://objects.lib.uidaho.edu/campus/small/campus02834_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02834_th.jpg
campus02840,campus02840.jpg,Neale Stadium,,1938,1938,1938 photograph of Neale Stadium. View shows the score clock and the fields in the background.,Black and white photograph of a football stadium. In the background is rolling prairie.,campuses; stadiums,"University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",pg1_085_06,,Image;StillImage,black and white photographic print,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv382718,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/campus/campus02840.jpg,https://objects.lib.uidaho.edu/campus/small/campus02840_sm.jpg,https://objects.lib.uidaho.edu/campus/thumbs/campus02840_th.jpg
kibbiedome021,danelect.jpg,Kibbie Dome during 2004 election,Argonaut,2004,2004,Voters line up along the Kibbie Dome steps as they wait to use voting booths on the concourse level.,Color photograph of a line of people standing on the steps of an enclosed stadium. A few people are on the field. The stands are otherwise empty.,voting; elections; stadiums,"The Argonaut digital materials, UG 130, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",ug130_danelect,,Image;StillImage,color digital photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv480809,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/kibbiedome/danelect.jpg,https://objects.lib.uidaho.edu/kibbiedome/small/danelect_sm.jpg,https://objects.lib.uidaho.edu/kibbiedome/thumbs/danelect_th.jpg
