objectid,parentid,title,description,introduction,creator,creators title,date,date is approximate?,section,subject,location,latitude,longitude,publisher,digital collection,source,original_url,national archive number,regional office number,identifier,rights,rightsstatement,format_original,duration,type,format,language,digitization specifications,date digital,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb,object_transcript,transcriber
sbw010,,"Allen (Magruder) Ranger Station, Bitterroot National Forest","Allen (Magruder) Ranger Station, Bitterroot National Forest, Flint, Holland, 1922",,"Flint, Holland",,1922,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.702148,-114.716774,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,168791,,R1EngrPics1b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/10,10,image,sbw010.jpg,https://objects.lib.uidaho.edu/sbw/sbw010.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw010_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw010_th.jpg,,
sbw011,,"Powell Ranger Station, Loading Pack String","Powell Ranger Station, Loading Pack String, Photographer Unknown, 1936",,,,1936,,Wilderness Portraits,ranger station; pack string; horses; mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics15,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/11,11,image,sbw011.jpg,https://objects.lib.uidaho.edu/sbw/sbw011.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw011_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw011_th.jpg,,
sbw012,,"Bear Creek Ranger Station, Selway National Forest","Bear Creek Ranger Station, Selway National Forest, Wolfe, K., Forest Supervisor, 1929",,"Wolfe, K., Forest Supervisor",,1929,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,231795,,R1EngrPics2a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/12,12,image,sbw012.jpg,https://objects.lib.uidaho.edu/sbw/sbw012.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw012_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw012_th.jpg,,
sbw013,,"Bear Creek Ranger Station, Selway National Forest","Bear Creek Ranger Station, Selway National Forest, Wolfe, K., Forest Supervisor, 1929",,"Wolfe, K., Forest Supervisor",,1929,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,231796,,R1EngrPics2b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/13,13,image,sbw013.jpg,https://objects.lib.uidaho.edu/sbw/sbw013.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw013_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw013_th.jpg,,
sbw014,,"Bear Creek Ranger Station, Selway National Forest","Bear Creek Ranger Station, Selway National Forest, Photographer Unknown, 1936",,,,1936,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics3,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/14,14,image,sbw014.jpg,https://objects.lib.uidaho.edu/sbw/sbw014.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw014_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw014_th.jpg,,
sbw015,,"Bear Creek Ranger Station, Selway National Forest","Bear Creek Ranger Station, Selway National Forest, Jefferson, F. J., 1925",,"Jefferson, F. J.",,1925,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,195239,,R1EngrPics4,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/15,15,image,sbw015.jpg,https://objects.lib.uidaho.edu/sbw/sbw015.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw015_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw015_th.jpg,,
sbw016,,Paradise Guard Station,"Paradise Guard Station, Adams, A.C., 1928",,"Adams, A.C.",,1928,,Wilderness Portraits,guard station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.860608,-114.743629,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,230643,,R1EngrPics5,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/16,16,image,sbw016.jpg,https://objects.lib.uidaho.edu/sbw/sbw016.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw016_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw016_th.jpg,,
sbw017,,Elk Summit Ranger Station,"Elk Summit Ranger Station, Bell, William J., 1929",,"Bell, William J.",,1929,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.327017,-114.648228,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,235104,,R1EngrPics6b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/17,17,image,sbw017.jpg,https://objects.lib.uidaho.edu/sbw/sbw017.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw017_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw017_th.jpg,,
sbw018,,Elk Summit Ranger Station,"Elk Summit Ranger Station, Bell, William J., 1929",,"Bell, William J.",,1929,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.327017,-114.648228,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,235101,,R1EngrPics6a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/18,18,image,sbw018.jpg,https://objects.lib.uidaho.edu/sbw/sbw018.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw018_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw018_th.jpg,,
sbw019,,"Burnt Knob Lookout, Nez Perce National Forest","Burnt Knob Lookout, Nez Perce National Forest, Photographer Unknown, Ca. 1938",,,,1938,,Wilderness Portraits,lookout; fire lookout,Selway-Bitterroot Wilderness (Idaho and Mont.),45.702463,-114.991508,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",unknown,https://sbw.lib.uidaho.edu/portraits.html,348470,,R1EngrPics7,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/19,19,image,sbw019.jpg,https://objects.lib.uidaho.edu/sbw/sbw019.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw019_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw019_th.jpg,,
sbw020,,"Meadow Creek Ranger Station, Selway National Forest","Meadow Creek Ranger Station, Selway National Forest, Jefferson, F. J., 1925",,"Jefferson, F. J.",,1925,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.941362,-115.267897,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,196704,,R1EngrPics8a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/20,20,image,sbw020.jpg,https://objects.lib.uidaho.edu/sbw/sbw020.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw020_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw020_th.jpg,,
sbw021,,Powell Ranger Station and Pack String,"Powell Ranger Station and Pack String, Fickes, C. P., 1931",,"Fickes, C. P.",,1931,,Wilderness Portraits,ranger station; pack string; horses; mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,283943,,R1EngrPics13a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/21,21,image,sbw021.jpg,https://objects.lib.uidaho.edu/sbw/sbw021.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw021_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw021_th.jpg,,
sbw022,,Powell Ranger Station,"Powell Ranger Station, Swan, K. D., 1933",,"Swan, K. D.",,1933,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,282315,,R1EngrPics16,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/22,22,image,sbw022.jpg,https://objects.lib.uidaho.edu/sbw/sbw022.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw022_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw022_th.jpg,,
sbw023,,Powell Ranger Station and Pack String,"Powell Ranger Station and Pack String, Fickes, C. P., 1931",,"Fickes, C. P.",,1931,,Wilderness Portraits,ranger station; pack string; horses; mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics13b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/23,23,image,sbw023.jpg,https://objects.lib.uidaho.edu/sbw/sbw023.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw023_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw023_th.jpg,,
sbw024,,Office Building at Powell Ranger Station,"Office Building at Powell Ranger Station, Photographer Unknown, 1954-09-13",,,,1954-09-13,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",unknown,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics14a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/24,24,image,sbw024.jpg,https://objects.lib.uidaho.edu/sbw/sbw024.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw024_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw024_th.jpg,,
sbw025,,Dwelling at Powell Ranger Station,"Dwelling at Powell Ranger Station, Swan, K. D., 1932",,"Swan, K. D.",,1932,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,272232,,R1EngrPics17,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/25,25,image,sbw025.jpg,https://objects.lib.uidaho.edu/sbw/sbw025.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw025_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw025_th.jpg,,
sbw026,,"Powell Ranger Station: L-R Cookhouse, Bunkhouse, Warehouse","Powell Ranger Station: L-R Cookhouse, Bunkhouse, Warehouse, Photographer Unknown, 1936",,,,1936,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,,,R1EngrPics18,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/26,26,image,sbw026.jpg,https://objects.lib.uidaho.edu/sbw/sbw026.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw026_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw026_th.jpg,,
sbw027,,"O'Hara Ranger Station, Nezperce National Forest","O'Hara Ranger Station, Nezperce National Forest, Wolfe, K., Supervisor, Selway National Forest, 1929",,"Wolfe, K., Supervisor, Selway National Forest",,1929,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,231804,,R1EngrPics19a,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/27,27,image,sbw027.jpg,https://objects.lib.uidaho.edu/sbw/sbw027.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw027_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw027_th.jpg,,
sbw028,,O'Hara Ranger Station,"O'Hara Ranger Station, Beatty, D. L. , 1920-08-01",,"Beatty, D. L.",,1920-08-01,,Wilderness Portraits,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,https://sbw.lib.uidaho.edu/portraits.html,49068A,,R1EngrPics19b,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Black-and-white photographs,,Image;StillImage,image/jpeg,eng,300 dpi TIFF original; 150 dpt JPEG for access.,2011,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/28,28,image,sbw028.jpg,https://objects.lib.uidaho.edu/sbw/sbw028.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw028_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw028_th.jpg,,
