objectid,parentid,title,creator,recipient ,date,approximated_date,archival_date,description,subject,location,latitude,longitude,source,filename,identifier,type,format,format_original,findingaid,digital_collection,contributing_institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,object_transcript
cougar-dave_011,,Statement for David Lewis from Alexander Freidenrich Department Store,,"Lewis, Dave",1907-07-11,,11 July 1907,"A two-part receipt, totalling seventy-five dollars, to Dave Lewis.",receipts,"Grangeville, Idaho",45.92662335,-116.1221305,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_009.pdf,mg190_b1_f3_009,Text,application/pdf,receipt,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_009.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_009_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_009_th.jpg,
cougar-dave_012,,County Warrants Purchase Message ,"Reed, George M.",,1910-03-25,,25 March 1910,A message about purchasing April county warrants.,messages; letters; county; warrants,"Grangeville, Idaho",45.92662335,-116.1221305,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_011.pdf,mg190_b1_f3_011,Text,application/pdf,document,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_011.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_011_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_011_th.jpg,
cougar-dave_013,,"Letter to David Lewis from McCall [?], Assistant Ranger",McCall [?],,1910-09-12,,12 September 1910,A letter certifying David Lewis to occupy a ranger station during winter and spring for traping.,letters; ranger stations; winter; spring; trapping,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_012.pdf,mg190_b1_f3_012,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_012.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_012_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_012_th.jpg,
cougar-dave_014,,Letter to David Lewis from Edwards [?],Edwards [?],"Lewis, Dave",1915-02-09,,09 February 1915,"A letter to a Mr. Lewis on a future hunting trip, seasons, garden seed, and tobacco.",letters; hunting; trips; seasons; gardens; seeds; tobacco,"Edwardsburg, Idaho",45.11899866,-115.3259339,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_013.pdf,mg190_b1_f3_013,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_013.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_013_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_013_th.jpg,
cougar-dave_015,,Letter to Dave Lewis from the State Game Warden,"Keeffe, J. W.; Thomas, R.E.","Lewis, Dave",1923-11-22,,22 November 1923,A letter to Dave Lewis from the State Game Warden on the issue of bounty payments.,letter; bounty; payments; legislation,"Clover, Idaho",42.51461075,-114.6860871,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_014.pdf,mg190_b1_f3_014,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_014.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_014_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_014_th.jpg,
cougar-dave_016,,Letter and invoice from C. E. Armstrong & Co. Sporting Goods,"Armstrong, C. E.","Lewis, Dave",1924-08-09,,09 August 1924,"A letter from C. E. Armstrong to Dave Lewis about sending items, and offering services. An C.E. Armstong & Co. Sporting Goods invoice.",letters; items; services; invoice; receipt; pistol,"306 Twenty-fifth St., Ogden, Utah",41.22097922,-111.9730672,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_016.pdf,mg190_b1_f3_016,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_016.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_016_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_016_th.jpg,
cougar-dave_017,,Letter to Uncle Dave from Mrs. John Routson [?],"Routson, Mrs. John [?]","Lewis, Dave",1928-03-06,,06 March 1928,"A letter from a Mrs. John Routeou about several sick persons, and the winter weather.",letters; illness; people; winter; weather; snow,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_017.pdf,mg190_b1_f3_017,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_017.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_017_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_017_th.jpg,
cougar-dave_018,,Letter to Uncle Dave from W. H. Bolles,"Bolles, Warren H.","Lewis, Dave",1929-07-08,,08 July 1929,A letter from W. H. Bolles on moving away and remincising on a past summer trip.,letters; summer; trips,"McCall, Idaho",44.90622109,-116.1172902,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_018.pdf,mg190_b1_f3_018,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_018.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_018_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_018_th.jpg,
cougar-dave_019,,Letter to Uncle Dave from Emmit Rantsan[?],"Rankan, Emmit [?]","Lewis, Dave",1924-10-19,,19 October 1924,A letter from Emmit Rankan about duck hunting and asking Dave how it is at his place.,letters; ducks; wildlife; hunting,"Weiser, Idaho",44.25094927,-116.9694434,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_019.pdf,mg190_b1_f3_019,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_019.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_019_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_019_th.jpg,
cougar-dave_020,,Letter to Dave Lewis from H. C. Shellworth,"Shellworth, H.C.","Lewis, Dave",1925-05-18,,18 May 1925,"A letter from H. C. Shellworth on an issue with a bank check and ""insufficient funds"".",letters; bank; checks; funds,"Clover, Idaho",42.51461075,-114.6860871,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_021.pdf,mg190_b1_f3_021,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_021.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_021_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_021_th.jpg,
cougar-dave_021,,Letter to Uncle Dave from Harry Shellworth,"Shellworth, Harry","Lewis, Dave",1926-09-27,,27 September 1926,A letter from Harry Shellworth on selling furs.,letters; sales; furs,"The Saint Paul Hotel, Saint Paul, Minnesota",44.94496027,-93.09579357,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_022.pdf,mg190_b1_f3_022,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_022.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_022_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_022_th.jpg,
cougar-dave_022,,Letter to Uncle Dave from James Russell,"Russell, James","Lewis, Dave",1927-10-02,,02 October 1927,A letter from James Russell about shipping cougar hides.,letters; cougars; animals hides; wildlife,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_023.pdf,mg190_b1_f3_023,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_023.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_023_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_023_th.jpg,
cougar-dave_023,,Letter to Uncle Dave from Ansgar E. Johnson,"Johnson, Ansgar E.","Lewis, Dave",1927-11-25,,25 November 1927,A letter from Ansgar E. Johnson about Dave's photo in the New York Times.,letters; photos; newspapers,"Studio, 319-322 Sonna Building, Boise, Idaho",43.61664118,-116.2049567,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_024.pdf,mg190_b1_f3_024,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_024.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_024_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_024_th.jpg,
cougar-dave_024,,Magazine Excerpt,"Lobsenz, Norman; Lobsenz, Amelia",,,,undated,"A newspaper excerpt titled the ""Lost World, U.S.A."" about hunting and rural living in Idaho.",newspapers; articles; hunting; rural areas; rural life,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f3_025.pdf,mg190_b1_f3_025,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f3_025.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f3_025_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f3_025_th.jpg,
cougar-dave_025,,Map of Southern Idaho,,,,,undated,"Map of southern Idaho. Centers on land above Boise, Idaho. Colored pencil markings are present on the map.",maps; land; rivers; creek; pencil markings,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f4_001.pdf,mg190_b1_f4_001,Text,application/pdf,map,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f4_001.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f4_001_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f4_001_th.jpg,
