objectid,title,creator,date,date_is_approximate,description,subject,subject_lcsh,subject_lctgm,location_depicted,idaho_county,location,latitude,longitude,identifier,source,rights,rightsstatement,findingaid,digital_collection,holding_institution,format_original,type,format,digital_identifier,date_digital,language,web site,digital_specifications,original reference url,original contentdm number,date created,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb
barstock1177,"Wallace (Idaho), Interstate Utilities Co. [01]","Barnard Studio (Wallace, Idaho)",1928,yes,"Intestate Utilities Co., Office manager, A.F. Coonradt, talking with patron.",offices; managers,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Offices;  Men,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.471632,-115.923667,PG 8-X652c,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000652c,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1273",1273,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1177,1177,image,barstock1177.jpg,https://objects.lib.uidaho.edu/barstock/barstock1177.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1177_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1177_th.jpg
barstock1178,"Wallace (Idaho), Interstate Utilities Co. [02]","Barnard Studio (Wallace, Idaho)",1928,yes,"Intestate Utilities Co., Office manager, A.F. Coonradt, talking with patron.",offices; managers,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Offices;  Men,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.471642,-115.923657,PG 8-X652d,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000652d,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1274",1274,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1178,1178,image,barstock1178.jpg,https://objects.lib.uidaho.edu/barstock/barstock1178.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1178_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1178_th.jpg
barstock1179,Wallace (Idaho) 4th of July parade 1921 [06],"Barnard Studio (Wallace, Idaho)",1921-07-04,,"Float for July 4, 1921 parade.",parades; groups of people; vehicles (transportation),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Men;  Parades;  Women;  Children,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.473339,-115.923749,PG 8-X641e,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000641e,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1187",1187,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1179,1179,image,barstock1179.jpg,https://objects.lib.uidaho.edu/barstock/barstock1179.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1179_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1179_th.jpg
barstock1180,"Wallace (Idaho), The Model Shop [04]","Barnard Studio (Wallace, Idaho)",1920,yes,"Ladies hat window display at The Model Shop in Wallace, Idaho.",show-windows; hats; hat racks,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Window displays;  Hats;  Millinery;  Stores & shops,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",,,PG 8-X653a,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000653a,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1275",1275,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1180,1180,image,barstock1180.jpg,https://objects.lib.uidaho.edu/barstock/barstock1180.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1180_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1180_th.jpg
barstock1181,"Wallace (Idaho), The Model Shop [01]","Barnard Studio (Wallace, Idaho)",1920,yes,"Ladies hat window display at The Model Shop in Wallace, Idaho.",show-windows; hats; hat racks,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Window displays;  Hats;  Millinery;  Stores & shops,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",,,PG 8-X653b,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000653b,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1276",1276,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1181,1181,image,barstock1181.jpg,https://objects.lib.uidaho.edu/barstock/barstock1181.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1181_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1181_th.jpg
barstock1182,"Wallace (Idaho), The Model Shop [02]","Barnard Studio (Wallace, Idaho)",1920,yes,Interior view of The Model Shop.,hats; display rooms and spaces; groups of people; hatboxes; hat racks,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Hats;  Millinery;  Stores & shops;  Men;  Women,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",,,PG 8-X653c,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000653c,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1277",1277,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1182,1182,image,barstock1182.jpg,https://objects.lib.uidaho.edu/barstock/barstock1182.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1182_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1182_th.jpg
barstock1183,"Wallace (Idaho), The Model Shop [03]","Barnard Studio (Wallace, Idaho)",1920,yes,Interior view of The Model Shop.,hats; display rooms and spaces; groups of people; hatboxes; hat racks,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Hats;  Millinery;  Stores & shops;  Men;  Women,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",,,PG 8-X653d,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000653d,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1278",1278,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1183,1183,image,barstock1183.jpg,https://objects.lib.uidaho.edu/barstock/barstock1183.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1183_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1183_th.jpg
barstock1184,Wallace (Idaho) 4th of July parade 1921 [08],"Barnard Studio (Wallace, Idaho)",1921-07-04,,"Float for July 4, 1921 parade.",parades; groups of people; vehicles (transportation); flags,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Men;  Parades;  Women;  Children;  Flags - American,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.473349,-115.923759,PG 8-X641f,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000641f,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1188",1188,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1184,1184,image,barstock1184.jpg,https://objects.lib.uidaho.edu/barstock/barstock1184.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1184_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1184_th.jpg
barstock1185,"Wallace (Idaho), Parade 1922 [02]","Barnard Studio (Wallace, Idaho)",1922-06-22,,"Tamarack Float of future Elks Temple for the Elks Roundup June 22, 1922, parade in Wallace, Idaho, 1922.",parades; floats (vehicles); trucks; vehicles (transportation); models (representations),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Floats (parades);  Mock-ups;  Automobiles;  Building models;  Architectural models,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.473131,-115.923649,PG 8-X654a,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000654a,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1279",1279,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1185,1185,image,barstock1185.jpg,https://objects.lib.uidaho.edu/barstock/barstock1185.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1185_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1185_th.jpg
barstock1186,"Wallace (Idaho), Parade 1922 [01]","Barnard Studio (Wallace, Idaho)",1922-06-22,,"Tamarack Float of future Elks Temple for the Elks Roundup June 22, 1922, parade in Wallace, Idaho, 1922.",parades; floats (vehicles); models (representations),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Floats (parades);  Mock-ups;  Building models;  Architectural models,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.473121,-115.923659,PG 8-X654b,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000654b,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1280",1280,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1186,1186,image,barstock1186.jpg,https://objects.lib.uidaho.edu/barstock/barstock1186.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1186_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1186_th.jpg
barstock1187,"Wallace (Idaho), Parade 1922 [03]","Barnard Studio (Wallace, Idaho)",1922-06-22,,"Tamarack Float of future Elks Temple for the Elks Roundup June 22, 1922, parade in Wallace, Idaho, 1922.",parades; floats (vehicles); models (representations),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Floats (parades);  Mock-ups;  Building models;  Architectural models,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.473111,-115.923669,PG 8-X654c,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000654c,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1281",1281,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1187,1187,image,barstock1187.jpg,https://objects.lib.uidaho.edu/barstock/barstock1187.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1187_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1187_th.jpg
barstock1188,"Amazon Dixie Mine, Sildex (Montana) 1923 [03]","Barnard Studio (Wallace, Idaho)",1923,yes,Interior of the Amazon Dixie Mine showing miners standing behind ore cars and a donkey.,mines (extracting complexes); miners; lamps (lighting devices); equipment; ore; donkeys; groups of people,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Mining - Montana;  Donkeys - Montana;  Mine railroad cars;  Miners - Montana,United States - Montana - Mineral County - Sildex,,"Sildex, Montana",47.429097,-115.703767,PG 8-X662c,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000662c,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1282",1282,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1188,1188,image,barstock1188.jpg,https://objects.lib.uidaho.edu/barstock/barstock1188.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1188_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1188_th.jpg
barstock1189,Wallace (Idaho) 4th of July parade 1921 [05],"Barnard Studio (Wallace, Idaho)",1921-07-04,,"Float for July 4, 1921 parade.",parades; groups of people; vehicles (transportation); flags,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Men;  Parades;  Women;  Children;  Flags - American,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.473359,-115.923769,PG 8-X641g,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000641g,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1189",1189,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1189,1189,image,barstock1189.jpg,https://objects.lib.uidaho.edu/barstock/barstock1189.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1189_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1189_th.jpg
barstock1190,"Amazon Dixie Mine, Sildex (Montana) 1923 [04]","Barnard Studio (Wallace, Idaho)",1923,yes,Interior of the Amazon Dixie Mine showing men using crank liner in their stope.,groups of people; mines (extracting complexes); miners; lamps (lighting devices); equipment,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Mining - Montana;  Miners - Montana;  Mining equipment - Montana;  Pipes (Smoking),United States - Montana - Mineral County - Sildex,,"Sildex, Montana",47.429088,-115.703777,PG 8-X662d,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000662d,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1283",1283,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1190,1190,image,barstock1190.jpg,https://objects.lib.uidaho.edu/barstock/barstock1190.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1190_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1190_th.jpg
barstock1191,Wallace (Idaho) 1904 [02],"Barnard Studio (Wallace, Idaho)",1904,yes,"Image shows the residential region of Wallace, Idaho, 1904.",dwellings; towns; horse-drawn vehicles,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Cities and towns;  Carts & wagons;  Houses;  Horses;  Wooden buildings;  Wooden sidewalks,United States - Idaho - Shoshone County - Wallace,Shoshone County,"Wallace, Idaho",47.471573,-115.931441,PG 8-X656a,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000656a,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1284",1284,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1191,1191,image,barstock1191.jpg,https://objects.lib.uidaho.edu/barstock/barstock1191.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1191_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1191_th.jpg
barstock1192,"Amazon Dixie Mine, Sildex (Montana) 1923 [05]","Barnard Studio (Wallace, Idaho)",1923,yes,"Interior of the Amazon Dixie Mine in Sildex, Montana, 1923 where pipes and an ore car on a track can be seen.",mine buildings; equipment; pipes (conduits),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Mine buildings - Montana;  Mine railroad cars - Montana,United States - Montana - Mineral County - Sildex,,"Sildex, Montana",47.429077,-115.703788,PG 8-X662e,"Barnard-Stockbridge photograph collection, 1894-1964, PG 8-2, University of Idaho Library Special Collections and Archives","Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,https://archiveswest.orbiscascade.org/ark:80444/xv407875?,Barnard-Stockbridge Photograph Collection,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",8x10 black and white glass negative,Image;StillImage,image/jpeg,8-X000662e,2010-04,eng,http://www.lib.uidaho.edu/digital/barstock/,"300 dpi compressed, grayscale jpg. Scanned from a 8 x 10 black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,1285",1285,2011-12-16,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/1192,1192,image,barstock1192.jpg,https://objects.lib.uidaho.edu/barstock/barstock1192.jpg,https://objects.lib.uidaho.edu/barstock/small/barstock1192_sm.jpg,https://objects.lib.uidaho.edu/barstock/thumbs/barstock1192_th.jpg
