objectid,title,description,date,date is approximate,subject,latitude,longitude,digital collection,source,donor,box number,identifier,rights,rightsstatement,format original,type,format,cdmid,contentdm file name,display_template,filename,object_location,image_small,image_thumb,errors
stonebraker134,Dewey Mill equipment,Men transport a cam shaft on a toboggan through the snow for the Dewey Mill near Thunder Mountain.,1902,yes,sleds; winter; snow; mills (equipment);,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 50",26-P011,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3x4 black and white print,Image;StillImage,image/jpeg,134,135.jp2,image,stonebraker134.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker134.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker134_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker134_th.jpg,""
stonebraker135,Mill building near Thunder Mountain [01],Washer woman at Thunder Mountain. Creek waters shown diverted under mill.,1902,yes,mills (buildings); winter; snow; mining;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 51",26-P012,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,2.5x3.25 black and white print,Image;StillImage,image/jpeg,135,136.jp2,image,stonebraker135.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker135.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker135_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker135_th.jpg,""
stonebraker136,Mill building near Thunder Mountain [02],Construction of a mill during winter near Thunder Mountain.,1903,yes,mills (buildings); winter; snow; mining;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 52",26-P013,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpeg,136,137.jp2,image,stonebraker136.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker136.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker136_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker136_th.jpg,""
stonebraker137,Funeral through Chamberlain Basin,Funeral of Mr. C.A. Gordon in the snow. A dogsled team can be seen in the distance.,1927,yes,forests; winter; snow; funerals;,45.390023,-115.19925,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 53",26-P014,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white print,Image;StillImage,image/jpeg,137,138.jp2,image,stonebraker137.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker137.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker137_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker137_th.jpg,""
stonebraker138,National Guard airplane at Stonebraker Ranch [01],"Adolph ""Bill"" (left) and mother, Golda Stonebraker, stand near a National Guard 116th Observation Squadron. The plane reads: 'U.S. Army Consolidated 0-17 NG 28-360' on its side. Plane is parked in the Chamberlain Basin meadow near the Stonebraker Ranch. The pilot was Nick Mamer.",1928-08-21,,military aircraft; women; children;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 7",26-N08,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpeg,138,139.jp2,image,stonebraker138.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker138.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker138_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker138_th.jpg,""
stonebraker139,First train on the Porcupine Railway,Postcard of the first train on the Porcupine Railyway. Mailed in Canada to Chicago.,1902,yes,postcards; trains; winter; snow;,52.577462,-102.969953,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 55",26-P016,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3x5 black and white print,Image;StillImage,image/jpeg,139,140.jp2,image,stonebraker139.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker139.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker139_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker139_th.jpg,""
stonebraker140,Boat on the Clearwater River,Scow with two sweeps on river rapids on the South Fork of the Clearwater River.,1905,yes,rapids; rivers; scows; boats;,46.112723,-115.982645,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 56",26-P017,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,2.5x4.5 black and white print,Image;StillImage,image/jpeg,140,141.jp2,image,stonebraker140.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker140.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker140_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker140_th.jpg,""
stonebraker141,Machinery on wagon,Large piece of equipment being transported on a wagon through the forest.,1902,yes,machinery; forests; wagons;,46.076742,-116.036696,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 54",26-P015,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3x3.25 black and white print,Image;StillImage,image/jpeg,141,142.jp2,image,stonebraker141.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker141.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker141_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker141_th.jpg,""
stonebraker142,Chamberlain Ranger Station,"Ranger Frank Foster, his wife, and two unidentified men stand on the front step of the Chamberlain Ranger Station log cabin.",1920,yes,log cabins; women; ranger stations;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 57",26-P018,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3x4.75 black and white print,Image;StillImage,image/jpeg,142,143.jp2,image,stonebraker142.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker142.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker142_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker142_th.jpg,""
stonebraker143,Airplane at Stonebraker Ranch [02],Pilot Nick Mamer (center) and three unidentified men stand beside his airplane at the Stonebraker Ranch.,1928-08-21,,airplanes; pilots;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 58",26-P019,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3.5x4.5 black and white print,Image;StillImage,image/jpeg,143,144.jp2,image,stonebraker143.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker143.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker143_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker143_th.jpg,""
stonebraker144,William Allen Stonebraker,"William Allen Stonebraker holds a camera on a river bank of the South Fork of the Clearwater River in Stites, Idaho. The photo caption reads: 'William Allen Stonebraker circa 1903.' ",1903,yes,cameras; photographers; South Fork Clearwater River;,46.093411,-115.978181,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 59",26-P020,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3.5x3.5 black and white print,Image;StillImage,image/jpeg,144,145.jp2,image,stonebraker144.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker144.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker144_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker144_th.jpg,""
stonebraker145,Porcupine City from the lake,Postcard of showing Porcupine City. Mailed in Canada to Chicago.,1902,yes,postcards; winter; snow;,52.577462,-102.969953,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 60",26-P021,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3x5 black and white print,Image;StillImage,image/jpeg,145,146.jp2,image,stonebraker145.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker145.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker145_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker145_th.jpg,""
stonebraker146,"Children with dog in Stites, Idaho","Elizabeth Jackson (left) and Leeta Stonebraker with dog in Stites, Idaho.",1902,yes,dogs; children; storefronts;,46.091388,-115.976567,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 61",26-P022,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpeg,146,147.jp2,image,stonebraker146.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker146.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker146_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker146_th.jpg,""
stonebraker147,Pack train for Thunder Mountain [01],Just starting out to Thunder Mountain. Log worm fence in background.,1902,yes,horses; fences;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker photograph collection, 1900-1931, PG 26, University of Idaho Library Special Collections and Archives","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 63",26-P024,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,3x3.25 black and white print,Image;StillImage,image/jpeg,147,148.jp2,image,stonebraker147.jpg,https://objects.lib.uidaho.edu/stonebraker/stonebraker147.jpg,https://objects.lib.uidaho.edu/stonebraker/small/stonebraker147_sm.jpg,https://objects.lib.uidaho.edu/stonebraker/thumbs/stonebraker147_th.jpg,""
