objectid,parentid,title,creator,location,latitude,longitude,date,recipient,recipient_location,description,subject,source,type,format,language,rights,rightsstatement,identifier,display_template,filename,object_location,image_small,image_thumb,image_alt_text,object_transcript
mosher021,mosher016,,,,,,,,,,,,,application/pdf,,,,mg118_folder4_05,pdf,mg118_folder4_05.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder4_05.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder4_05_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder4_05_th.jpg,,/objects/mosher004-05.md
mosher022,mosher016,,,,,,,,,,,,,application/pdf,,,,mg118_folder4_06,pdf,mg118_folder4_06.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder4_06.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder4_06_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder4_06_th.jpg,,/objects/mosher004-06.md
mosher023,mosher016,,,,,,,,,,,,,application/pdf,,,,mg118_folder4_07,pdf,mg118_folder4_07.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder4_07.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder4_07_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder4_07_th.jpg,,/objects/mosher004-07.md
mosher024,mosher016,,,,,,,,,,,,,application/pdf,,,,mg118_folder4_08,pdf,mg118_folder4_08.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder4_08.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder4_08_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder4_08_th.jpg,,/objects/mosher004-08.md
mosher025,mosher016,,,,,,,,,,,,,application/pdf,,,,mg118_folder4_09,pdf,mg118_folder4_09.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder4_09.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder4_09_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder4_09_th.jpg,,
mosher026,,"Raycide Mosher to Henry ""Harry"" and Sarah ""Sally"" Mosher, 1864-02-22","Mosher, Raycide","Nashville, Tennessee",36.1640177,-86.78380903,1864-02-22,"Mosher, Henry; Mosher, Sarah","Albion, Michigan","Letter from Raycide Mosher to his father, Henry ""Harry"" Mosher, and mother, Sarah ""Sally"" Mosher; includes description of Raycide's ill health, the possibility of his unit moving to Bridgeport, his family's debts, and his clothing.",soldiers; civil wars; illness,"MG 118, Raycide Mosher Civil War Letters, Special Collections and Archives, University of Idaho Library",Text,application/pdf,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users",http://rightsstatements.org/vocab/NoC-US/1.0/,mg118_folder5_01,compound_object,,https://objects.lib.uidaho.edu/mosher/mg118_folder3_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder5_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder5_01_th.jpg,,/objects/mosher005.md
mosher027,mosher026,,,,,,,,,,,,,application/pdf,,,,mg118_folder5_01,pdf,mg118_folder3_01.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder3_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder5_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder5_01_th.jpg,,/objects/mosher005-01.md
mosher028,mosher026,,,,,,,,,,,,,application/pdf,,,,mg118_folder5_02,pdf,mg118_folder5_02.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder5_02.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder5_02_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder5_02_th.jpg,,/objects/mosher005-02.md
mosher029,mosher026,,,,,,,,,,,,,application/pdf,,,,mg118_folder5_03,pdf,mg118_folder5_03.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder5_03.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder5_03_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder5_03_th.jpg,,/objects/mosher005-03.md
mosher030,mosher026,,,,,,,,,,,,,application/pdf,,,,mg118_folder5_04,pdf,mg118_folder5_04.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder5_04.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder5_04_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder5_04_th.jpg,,/objects/mosher005-04.md
mosher031,mosher026,,,,,,,,,,,,,application/pdf,,,,mg118_folder5_05,pdf,mg118_folder5_05.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder5_05.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder5_05_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder5_05_th.jpg,,
mosher032,,"Raycide Mosher to Henry ""Harry"" and Sarah ""Sally"" Mosher, 1864-03-29","Mosher, Raycide","Nashville, Tennessee",36.1640177,-86.78380903,1864-03-29,"Mosher, Henry; Mosher, Sarah","Albion, Michigan","Letter from Raycide Mosher to his father, Henry ""Harry"" Mosher, and mother, Sarah ""Sally"" Mosher; includes description of Raycide's experience being hospitalized in Nashville, Confederate destruction of railroads, his family's debts, and food.",soldiers; civil wars; illness,"MG 118, Raycide Mosher Civil War Letters, Special Collections and Archives, University of Idaho Library",Text,application/pdf,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users",http://rightsstatements.org/vocab/NoC-US/1.0/,mg118_folder6_01,compound_object,,https://objects.lib.uidaho.edu/mosher/mg118_folder6_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder6_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder6_01_th.jpg,,/objects/mosher006.md
mosher033,mosher032,,,,,,,,,,,,,application/pdf,,,,mg118_folder6_01,pdf,mg118_folder6_01.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder6_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder6_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder6_01_th.jpg,,/objects/mosher006-01.md
mosher034,mosher032,,,,,,,,,,,,,application/pdf,,,,mg118_folder6_02,pdf,mg118_folder6_02.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder6_02.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder6_02_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder6_02_th.jpg,,/objects/mosher006-02.md
mosher035,mosher032,,,,,,,,,,,,,application/pdf,,,,mg118_folder6_03,pdf,mg118_folder6_03.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder6_03.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder6_03_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder6_03_th.jpg,,/objects/mosher006-03.md
mosher036,mosher032,,,,,,,,,,,,,application/pdf,,,,mg118_folder6_04,pdf,mg118_folder6_04.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder6_04.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder6_04_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder6_04_th.jpg,,/objects/mosher006-04.md
mosher037,mosher032,,,,,,,,,,,,,application/pdf,,,,mg118_folder6_05,pdf,mg118_folder6_05.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder6_05.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder6_05_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder6_05_th.jpg,,/objects/mosher006-05.md
mosher038,mosher032,,,,,,,,,,,,,application/pdf,,,,mg118_folder6_06,pdf,mg118_folder6_06.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder6_06.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder6_06_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder6_06_th.jpg,,/objects/mosher006-06.md
mosher039,mosher032,,,,,,,,,,,,,application/pdf,,,,mg118_folder6_07,pdf,mg118_folder6_07.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder6_07.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder6_07_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder6_07_th.jpg,,
mosher040,,"Raycide Mosher to Mosher family, 1864-03-29","Mosher, Raycide","Nashville, Tennessee",36.1640177,-86.78380903,1864-03-29,Mosher family,"Albion, Michigan","Letter from Raycide Mosher to his family; includes description of Raycide's health, activities around the hospital in Nashville, news on the Confederate war effort, and developments in the family.",soldiers; civil wars; military hospitals,"MG 118, Raycide Mosher Civil War Letters, Special Collections and Archives, University of Idaho Library",Text,application/pdf,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users",http://rightsstatements.org/vocab/NoC-US/1.0/,mg118_folder7_01,compound_object,,https://objects.lib.uidaho.edu/mosher/mg118_folder7_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_01_th.jpg,,/objects/mosher007.md
mosher041,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_01,pdf,mg118_folder7_01.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_01_th.jpg,,/objects/mosher007-01.md
mosher042,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_02,pdf,mg118_folder7_02.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_02.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_02_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_02_th.jpg,,/objects/mosher007-02.md
mosher043,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_03,pdf,mg118_folder7_03.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_03.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_03_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_03_th.jpg,,/objects/mosher007-03.md
mosher044,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_04,pdf,mg118_folder7_04.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_04.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_04_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_04_th.jpg,,/objects/mosher007-04.md
mosher045,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_05,pdf,mg118_folder7_05.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_05.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_05_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_05_th.jpg,,/objects/mosher007-05.md
mosher046,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_06,pdf,mg118_folder7_06.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_06.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_06_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_06_th.jpg,,/objects/mosher007-06.md
mosher047,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_07,pdf,mg118_folder7_07.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_07.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_07_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_07_th.jpg,,/objects/mosher007-07.md
mosher048,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_08,pdf,mg118_folder7_08.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_08.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_08_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_08_th.jpg,,/objects/mosher007-08.md
mosher049,mosher040,,,,,,,,,,,,,application/pdf,,,,mg118_folder7_09,pdf,mg118_folder7_09.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder7_09.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder7_09_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder7_09_th.jpg,,
mosher050,,"Raycide Mosher to Henry ""Harry"" and Sarah ""Sally"" Mosher, 1864-04-17","Mosher, Raycide","Nashville, Tennessee",36.1640177,-86.78380903,1864-04-17,"Mosher, Henry; Mosher, Sarah","Albion, Michigan","Letter from Raycide Mosher to his father, Henry ""Harry"" Mosher, and mother, Sarah ""Sally"" Mosher; includes description of Raycide's activities around the hospital in Nashville, food, clothing, and his pay.",soldiers; civil wars; military hospitals,"MG 118, Raycide Mosher Civil War Letters, Special Collections and Archives, University of Idaho Library",Text,application/pdf,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users",http://rightsstatements.org/vocab/NoC-US/1.0/,mg118_folder8_01,compound_object,,https://objects.lib.uidaho.edu/mosher/mg118_folder8_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder8_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder8_01_th.jpg,,/objects/mosher008.md
mosher051,mosher050,,,,,,,,,,,,,application/pdf,,,,mg118_folder8_01,pdf,mg118_folder8_01.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder8_01.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder8_01_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder8_01_th.jpg,,/objects/mosher008-01.md
mosher052,mosher050,,,,,,,,,,,,,application/pdf,,,,mg118_folder8_02,pdf,mg118_folder8_02.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder8_02.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder8_02_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder8_02_th.jpg,,/objects/mosher008-02.md
mosher053,mosher050,,,,,,,,,,,,,application/pdf,,,,mg118_folder8_03,pdf,mg118_folder8_03.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder8_03.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder8_03_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder8_03_th.jpg,,/objects/mosher008-03.md
mosher054,mosher050,,,,,,,,,,,,,application/pdf,,,,mg118_folder8_04,pdf,mg118_folder8_04.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder8_04.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder8_04_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder8_04_th.jpg,,/objects/mosher008-04.md
mosher055,mosher050,,,,,,,,,,,,,application/pdf,,,,mg118_folder8_05,pdf,mg118_folder8_05.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder8_05.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder8_05_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder8_05_th.jpg,,/objects/mosher008-05.md
mosher056,mosher050,,,,,,,,,,,,,application/pdf,,,,mg118_folder8_06,pdf,mg118_folder8_06.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder8_06.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder8_06_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder8_06_th.jpg,,/objects/mosher008-06.md
mosher057,mosher050,,,,,,,,,,,,,application/pdf,,,,mg118_folder8_07,pdf,mg118_folder8_07.pdf,https://objects.lib.uidaho.edu/mosher/mg118_folder8_07.pdf,https://objects.lib.uidaho.edu/mosher/small/mg118_folder8_07_sm.jpg,https://objects.lib.uidaho.edu/mosher/thumbs/mg118_folder8_07_th.jpg,,
