title,creator,description,subject,publisher,date,date is approximate,location,lat long,type,format,language,rights,rightsstatement,filename,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
B17 Gun,"Calnon, Mark",Photograph of B17 Machine gun,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/10,10,19.jp2,/calnon/image/19.jp2,calnon10,image,calnon10.jpg,https://objects.lib.uidaho.edu/calnon/calnon10.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon10_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon10_th.jpg,
Mark Brooks Calnon Oral History Audio Mp3 80.5 MB,"Bennett, Denise",Oral history with 2nd Lt. Mark Brooks Calnon recalling WWII pilot and POW experience,Oral History; WWII; POW,Denise Bennett,2013-08-13,,"Boise, ID",,Sound,audio/mp3,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/11,11,2.mp3,/calnon/image/2.mp3,calnon11,audio,calnon11.mp3,https://objects.lib.uidaho.edu/calnon/calnon11.mp3,,https://objects.lib.uidaho.edu/calnon/thumbs/calnon10_th.jpg,
B17 Exterior Photo 1,"Calnon, Mark",Photograph of the exterior of exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/12,12,20.jp2,/calnon/image/20.jp2,calnon12,image,calnon12.jpg,https://objects.lib.uidaho.edu/calnon/calnon12.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon12_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon12_th.jpg,
Map of Tours,United States. Air Force,Scan of map of tours that Calnon flew during the war.,Scan of Map,,1992,yes,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/13,13,21.pdf,/calnon/image/21.pdf,calnon13,pdf,calnon13.pdf,https://objects.lib.uidaho.edu/calnon/calnon13.pdf,https://objects.lib.uidaho.edu/calnon/small/calnon13_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon13_th.jpg,
B17 Exterior Photo 3,"Calnon, Mark",Photograph of the exterior of exhibition B19,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/14,14,22.jp2,/calnon/image/22.jp2,calnon14,image,calnon14.jpg,https://objects.lib.uidaho.edu/calnon/calnon14.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon14_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon14_th.jpg,
B17 Crew Portrait,"Calnon, Mark",Photograph of Calnon's B17 crew during WWII.,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/15,15,23.jp2,/calnon/image/23.jp2,calnon15,image,calnon15.jpg,https://objects.lib.uidaho.edu/calnon/calnon15.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon15_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon15_th.jpg,
Red Cross Card,"Sutton, Helen",Scan of red cross membership card during WWII HAS.,Photograph/Card,,1944,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/16,16,24.jpg,/calnon/image/24.jpg,calnon16,image,calnon16.jpg,https://objects.lib.uidaho.edu/calnon/calnon16.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon16_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon16_th.jpg,
B17 Pilot Controls,"Calnon, Mark",Photographs of pilots controls in exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/17,17,25.jp2,/calnon/image/25.jp2,calnon17,image,calnon17.jpg,https://objects.lib.uidaho.edu/calnon/calnon17.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon17_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon17_th.jpg,
B17 Pilot Controls,"Calnon, Mark",Photographs of pilots controls in exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/18,18,26.jp2,/calnon/image/26.jp2,calnon18,image,calnon18.jpg,https://objects.lib.uidaho.edu/calnon/calnon18.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon18_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon18_th.jpg,
B17 Radio Room,"Calnon, Mark",Photograph of the radio room in exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/19,19,27.jp2,/calnon/image/27.jp2,calnon19,image,calnon19.jpg,https://objects.lib.uidaho.edu/calnon/calnon19.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon19_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon19_th.jpg,
B17 Waist,"Calnon, Mark",Photograph of the interior of exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/20,20,28.jp2,/calnon/image/28.jp2,calnon20,image,calnon20.jpg,https://objects.lib.uidaho.edu/calnon/calnon20.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon20_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon20_th.jpg,
Calnon Jr. Ext. B17,"Calnon, Mark",Photograph of Calnon Jr. outside exhibition B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/21,21,29.jp2,/calnon/image/29.jp2,calnon21,image,calnon21.jpg,https://objects.lib.uidaho.edu/calnon/calnon21.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon21_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon21_th.jpg,
Mark Brooks Calnon Oral History Video 8.69 GB,"Bennett, Denise",Oral history with 2nd Lt. Mark Brooks Calnon recalling WWII pilot and POW experience,Oral History; WWII; POW,Denise Bennett,2013-08-13,,"Boise, ID",,Image;MovingImage,video/mp4,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/22,22,3.mov,/calnon/image/22.mp4,calnon22,video,calnon22.mp4,https://objects.lib.uidaho.edu/calnon/calnon22.mp4,https://objects.lib.uidaho.edu/calnon/small/calnon22_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon22_th.jpg,
Memphis Belle B17,"Calnon, Mark",Photograph of the exterior of Memphis Belle B17,Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/23,23,30.jp2,/calnon/image/30.jp2,calnon23,image,calnon23.jpg,https://objects.lib.uidaho.edu/calnon/calnon23.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon23_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon23_th.jpg,
Reported Missing,Western Union Telegraph Company,Scan of telegram informing Mark's family he was missing.,Telegram,,1943,yes,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/24,24,31.pdf,/calnon/image/31.pdf,calnon24,pdf,calnon24.pdf,https://objects.lib.uidaho.edu/calnon/calnon24.pdf,https://objects.lib.uidaho.edu/calnon/small/calnon24_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon24_th.jpg,
Military Portrait,United States. Air Force,Military Portrait of Mark Calnon,Photograph,,1943,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/25,25,32.jp2,/calnon/image/32.jp2,calnon25,image,calnon25.jpg,https://objects.lib.uidaho.edu/calnon/calnon25.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon25_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon25_th.jpg,
Reported as a POW,Western Union Telegraph Company,Scan of telegram informing Mark's family he was taken as POW,Telegram,,1943,yes,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/26,26,33.pdf,/calnon/image/33.pdf,calnon26,pdf,calnon26.pdf,https://objects.lib.uidaho.edu/calnon/calnon26.pdf,https://objects.lib.uidaho.edu/calnon/small/calnon26_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon26_th.jpg,
Nine-O-Nine B17,"Calnon, Mark","Photograph of ext, B17 Nine-O-Nine",Photograph,,1980,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/27,27,34.jp2,/calnon/image/34.jp2,calnon27,image,calnon27.jpg,https://objects.lib.uidaho.edu/calnon/calnon27.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon27_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon27_th.jpg,
Returned to Military,Western Union Telegraph Company,Scan of telegram informing Mark's family he returned to duty.,Telegram,,1945,yes,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/28,28,35.pdf,/calnon/image/35.pdf,calnon28,pdf,calnon28.pdf,https://objects.lib.uidaho.edu/calnon/calnon28.pdf,https://objects.lib.uidaho.edu/calnon/small/calnon28_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon28_th.jpg,
Plane Portrait,United States. Air Force,Photograph of Calnon in pilot suit outside training plane.,Photograph,,1943,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/29,29,36.jp2,/calnon/image/36.jp2,calnon29,image,calnon29.jpg,https://objects.lib.uidaho.edu/calnon/calnon29.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon29_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon29_th.jpg,
Back to USA,Western Union Telegraph Company,Scan of telegram informing Mark's family he was in USA.,Telegram,,1945,yes,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/30,30,37.pdf,/calnon/image/37.pdf,calnon30,pdf,calnon30.pdf,https://objects.lib.uidaho.edu/calnon/calnon30.pdf,https://objects.lib.uidaho.edu/calnon/small/calnon30_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon30_th.jpg,
Pilot Portrait,United States. Air Force,Standard photograph of pilot/Calnon.,Photograph,,1943,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/31,31,38.jp2,/calnon/image/38.jp2,calnon31,image,calnon31.jpg,https://objects.lib.uidaho.edu/calnon/calnon31.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon31_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon31_th.jpg,
Pistol Training,United States. Air Force,Photograph of Calnon receiving officer pistol training.,Photograph,,1943,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/32,32,39.jp2,/calnon/image/39.jp2,calnon32,image,calnon32.jpg,https://objects.lib.uidaho.edu/calnon/calnon32.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon32_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon32_th.jpg,
Mark Brooks Calnon Oral History Video 650.4MB,"Bennett, Denise",Oral history with 2nd Lt. Mark Brooks Calnon recalling WWII pilot and POW experience,Oral History; WWII; POW,Denise Bennett,2013-08-13,,"Boise, ID",,Image;MovingImage,video/mp4,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/33,33,4.mov,/calnon/image/33.mp4,calnon33,video,calnon33.mp4,https://objects.lib.uidaho.edu/calnon/calnon33.mp4,https://objects.lib.uidaho.edu/calnon/small/calnon33_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon33_th.jpg,
Calnon Bomber Hat,United States. Air Force,Blue hat detailing the bomber group of calnon. 384th.,Hat,USAF,1943-10-09,,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/34,34,40.jp2,/calnon/image/40.jp2,calnon34,image,calnon34.jpg,https://objects.lib.uidaho.edu/calnon/calnon34.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon34_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon34_th.jpg,
Stalag Luft III Memorial,Coors Brewing Company,Poster Replica of Stalag Luft III. Produced by Coors.,Commemorative Poster (Coors),Adolph Coors Brewing?,1943,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/35,35,41.jp2,/calnon/image/41.jp2,calnon35,image,calnon35.jpg,https://objects.lib.uidaho.edu/calnon/calnon35.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon35_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon35_th.jpg,
Pilot Patch,United States. Air Force,Air Force Bomber Pilot insignia clothing patch,Patch,USAF,1943,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/36,36,42.jp2,/calnon/image/42.jp2,calnon36,image,calnon36.jpg,https://objects.lib.uidaho.edu/calnon/calnon36.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon36_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon36_th.jpg,
Pilot Wings Pin,United States. Air Force,Metal Air Force Wing. Bomber?,Metal Wings,USAF,1943,yes,,,Image;StillImage,image/jpeg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/37,37,43.jp2,/calnon/image/43.jp2,calnon37,image,calnon37.jpg,https://objects.lib.uidaho.edu/calnon/calnon37.jpg,https://objects.lib.uidaho.edu/calnon/small/calnon37_sm.jpg,https://objects.lib.uidaho.edu/calnon/thumbs/calnon37_th.jpg,
