objectid,parentid,title,creator,date,archival_date,description,subject,location,latitude,longitude,source,identifier,type,format_original,format,finding_aid,digital_collection,contributing_institution,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
mg5792_003-005,,Redwoods photos [5],Sheldon Zadok Thayer; Vernice Thayer,,,Plants grow in a rocky area. The number 46 is stamped on the back of the photograph.,scrub pine (plants); rocky deserts,,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-005,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-005.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-005,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-005_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-005_th.jpg
mg5792_003-006,,Redwoods photos [6],Sheldon Zadok Thayer; Vernice Thayer,,,"Two people walk over a rocky area, with pine trees in the background. The number 46 is stamped on the back of the photograph.",rocky deserts; trees (woody plants); mountains (landforms),,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-006,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-006.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-006,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-006_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-006_th.jpg
mg5792_003-007,,Redwoods photos [7],Sheldon Zadok Thayer; Vernice Thayer,,,A stream in a forest area runs over rocks and under fallen trees. The number 46 is stamped on the back of the photograph.,forests (plant communities); streams,,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-007,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-007.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-007,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-007_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-007_th.jpg
mg5792_003-008,,Redwoods photos [8],Sheldon Zadok Thayer; Vernice Thayer,,,Three people pose together in a forest. The number 46 is stamped on the back of the photograph.,forests (plant communities); recreation,,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-008,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-008.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-008,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-008_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-008_th.jpg
mg5792_003-009,,Redwoods photos [9],Sheldon Zadok Thayer; Vernice Thayer,,,Two automobiles drive past trees. The number 46 is stamped on the back of the photograph.,automobiles; trees (woody plants),,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-009,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-009.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-009,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-009_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-009_th.jpg
mg5792_003-010,,Redwoods photos [10],Sheldon Zadok Thayer; Vernice Thayer,,,Three people stand on a pile of rocks. The number 46 is stamped on the back of the photograph.,rocky deserts; recreation,,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_003-010,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_003-010.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_003-010,https://objects.lib.uidaho.edu/thayer/small/mg5792_003-010_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_003-010_th.jpg
mg5792_004-001,,Fairfield photos [2],Sheldon Zadok Thayer; Vernice Thayer,,,Three automobiles are on a road. One tows a trailer with two horses standing in it. Several people stand around the cars and one rides in the trailer. A stamp on the back reads 'A3[illegible character].',Equus Caballus (species); automobiles; horse trailers,"Fairfield, Idaho",43.34628465,-114.7957947,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_004-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_004-001.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_004-001,https://objects.lib.uidaho.edu/thayer/small/mg5792_004-001_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_004-001_th.jpg
mg5792_004-002,,Fairfield photos [1],Sheldon Zadok Thayer; Vernice Thayer,,,"A man shovels the snow in front of an automobile. On the back is written: ""S.Z. Thayer on the road to Fairfield.""",automobiles; snow (precipitation); travel,"Fairfield, Idaho",43.34628465,-114.7957947,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_004-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_004-002.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_004-002,https://objects.lib.uidaho.edu/thayer/small/mg5792_004-002_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_004-002_th.jpg
mg5792_005-001,,Ocean photos [2],Sheldon Zadok Thayer; Vernice Thayer,,,A close up of water moving around rocks. The back of the photograph is stamped with the number 234.,oceans (marine bodies of water); waves (natural events),,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_005-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_005-001.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_005-001,https://objects.lib.uidaho.edu/thayer/small/mg5792_005-001_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_005-001_th.jpg
mg5792_005-002,,Ocean photos [1],Sheldon Zadok Thayer; Vernice Thayer,,,A close up of water moving around rocks. The back of the photograph is stamped with the number 234.,oceans (marine bodies of water); waves (natural events),,,,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_005-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_005-002.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_005-002,https://objects.lib.uidaho.edu/thayer/small/mg5792_005-002_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_005-002_th.jpg
mg5792_006-001,,Rock Creek photos [1],Sheldon Zadok Thayer; Vernice Thayer,,,"A man stands over a dead deer with a rifle leaning on it. He is lifting up part of the deer and smiling at the camera. The photo is captioned: ""Larry Skeid - Rock Creek."" The number 213 is stamped on the back of the photograph.",hunting; rifles (long guns); Odocoileus (genus),"Rock Creek, Idaho",42.43210532,-114.3056453,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_006-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_006-001.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_006-001,https://objects.lib.uidaho.edu/thayer/small/mg5792_006-001_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_006-001_th.jpg
mg5792_006-002,,Rock Creek photos [2],Sheldon Zadok Thayer; Vernice Thayer,,,"Two men carry a dead deer tied to long sticks. The photo is captioned: ""Packing Larry's deer out."" The number 213 is stamped on the back of the photograph.",hunting; rifles (long guns); Odocoileus (genus),"Rock Creek, Idaho",42.43210532,-114.3056453,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_006-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_006-002.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_006-002,https://objects.lib.uidaho.edu/thayer/small/mg5792_006-002_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_006-002_th.jpg
mg5792_006-003,,Rock Creek photos [3],Sheldon Zadok Thayer; Vernice Thayer,,,"Four people sit around the ashes of a campfire and eat from plates. The photo is captioned: ""Rock Creek Deer Hunt."" The number 213 is stamped on the back of the photograph.",hunting; Odocoileus (genus); recreation,"Rock Creek, Idaho",42.43210532,-114.3056453,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_006-003,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_006-003.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_006-003,https://objects.lib.uidaho.edu/thayer/small/mg5792_006-003_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_006-003_th.jpg
mg5792_007-001,,Alford campings photos [1],Sheldon Zadok Thayer; Vernice Thayer,1934-08,August 1934,"A group of people stand around two automobiles at a campsite. One automobile has a canoe ties to the top. The photo is captioned: ""Camping with Alfords."" On the back of the photo is written ""Ready to leave Summit Lake Aug 1934.""",camp sites (recreation spaces); automobiles; canoes,"Valley County, Idaho; Boise National Forest",44.64545991,-115.5853081,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_007-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_007-001.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_007-001,https://objects.lib.uidaho.edu/thayer/small/mg5792_007-001_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_007-001_th.jpg
mg5792_007-002,,Alford campings photos [2],Sheldon Zadok Thayer; Vernice Thayer,1934-08,August 1934,"Two cars are parked at a campground, and one hammock is hung up. A person stands by a picnic table nearby. On the back of the photograph is written: ""Early morning shadows, Summit Lake Aug 1934.""",camp sites (recreation spaces); automobiles; hammocks,"Valley County, Idaho; Boise National Forest",44.64545991,-115.5853081,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_007-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_007-002.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_007-002,https://objects.lib.uidaho.edu/thayer/small/mg5792_007-002_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_007-002_th.jpg
