title,date,date is approximate?,description,idaho_county,location,latitude,longitude,subject,source,identifier,donor,collection,format original,type,format,language,rights,rightsstatement,cdm_url,collectionid,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"Challis jail. Challis, Idaho.",1909,,"Johnnie Boyd in doorway, Earl Dodge with pick, Joe Paul at corner, Arthur Fox, Donnie Rowels with pipe and Ralph Beardsley",Custer County,"Challis, Idaho",44.505342,-114.230277,jails (buildings),Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2c,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/10,cities,10,cities10,image,cities10.jpg,https://objects.lib.uidaho.edu/cities/cities10.jpg,https://objects.lib.uidaho.edu/cities/small/cities10_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities10_th.jpg,
"Interior of a butcher? shop. Challis, Idaho.",1920,y,,Custer County,"Challis, Idaho",44.505333,-114.230233,interiors; stores,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2d,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/11,cities,11,cities11,image,cities11.jpg,https://objects.lib.uidaho.edu/cities/cities11.jpg,https://objects.lib.uidaho.edu/cities/small/cities11_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities11_th.jpg,
Interior of an office or store displaying many pictures on the wall.,1920,y,,Custer County,"Challis, Idaho",44.505344,-114.230244,interiors; stores,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2e,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/12,cities,12,cities12,image,cities12.jpg,https://objects.lib.uidaho.edu/cities/cities12.jpg,https://objects.lib.uidaho.edu/cities/small/cities12_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities12_th.jpg,
"Harrison Public School. Harrison, Idaho.",1905,y,,Kootenai County,"Harrison, Idaho",47.457701,-116.781101,schools,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-115-3a,,Idaho Cities & Towns Collection,3.5x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/13,cities,13,cities13,image,cities13.jpg,https://objects.lib.uidaho.edu/cities/cities13.jpg,https://objects.lib.uidaho.edu/cities/small/cities13_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities13_th.jpg,
"Challis cornet band. Challis, Idaho.",1892,y,"L-R: Maude Ebberts Clarington, Joseph Ebberts, Danny Stephens, Bill Ebberts, Sr., Jonathon Job, Frank Reed, Tom Horton, and Maurice Ashton",Custer County,"Challis, Idaho",44.505355,-114.230255,bands (ensembles),Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-3a,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/14,cities,14,cities14,image,cities14.jpg,https://objects.lib.uidaho.edu/cities/cities14.jpg,https://objects.lib.uidaho.edu/cities/small/cities14_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities14_th.jpg,
"Buggy full of men and women pulled by four horses. Bayhorse, Idaho.",1902,y,,Custer County,"Bayhorse, Idaho",44.397581182500474,-114.31311478722456,horses; wagons,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-4a,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/15,cities,15,cities15,image,cities15.jpg,https://objects.lib.uidaho.edu/cities/cities15.jpg,https://objects.lib.uidaho.edu/cities/small/cities15_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities15_th.jpg,
"Two men working on the street, others watching. Challis, Idaho.",1910,y,,Custer County,"Challis, Idaho",44.505377,-114.230277,main streets,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-4b,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/16,cities,16,cities16,image,cities16.jpg,https://objects.lib.uidaho.edu/cities/cities16.jpg,https://objects.lib.uidaho.edu/cities/small/cities16_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities16_th.jpg,
"Wagon load of people and several on horses. Challis, Idaho area.",1902,,"In wagon: Franklin Cameron, charley Ebberts, Joe Paul, Dora Nover?, Miss Anderson, Ruth Leaton, ?, Arthur Gayle, Bill Cameron, Grace Leaton, Maude Ebberts, Effie McKendrick, Flora Donahue, Nell Bennetts, Hal Dodge, Ben Ebberts on horseback, etc.",Custer County,"Challis, Idaho",44.505388,-114.230288,wagons,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-5a,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/17,cities,17,cities17,image,cities17.jpg,https://objects.lib.uidaho.edu/cities/cities17.jpg,https://objects.lib.uidaho.edu/cities/small/cities17_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities17_th.jpg,
"Sheepherders' Camp? Challis, Idaho.",1934,y,,Custer County,"Challis, Idaho",44.505399,-114.230299,tents; camps; horses,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-5b,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/18,cities,18,cities18,image,cities18.jpg,https://objects.lib.uidaho.edu/cities/cities18.jpg,https://objects.lib.uidaho.edu/cities/small/cities18_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities18_th.jpg,
"Truck with sign 'For Sale. Salmon-River Views. Sawtooth Mountains. Challis, Idaho'.",1921,y,,Custer County,"Challis, Idaho",44.505311,-114.230211,trucks,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-5c,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/19,cities,19,cities19,image,cities19.jpg,https://objects.lib.uidaho.edu/cities/cities19.jpg,https://objects.lib.uidaho.edu/cities/small/cities19_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities19_th.jpg,
"Panoramic view of Clayton, Idaho.",1964,y,,Custer County,"Clayton, Idaho",44.258328,-114.401402,panoramas,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-105-1,Challis Public Library,Idaho Cities & Towns Collection,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/20,cities,20,cities20,image,cities20.jpg,https://objects.lib.uidaho.edu/cities/cities20.jpg,https://objects.lib.uidaho.edu/cities/small/cities20_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities20_th.jpg,
"Shoup, Idaho showing bridge across river and homes.",1934,y,,Lemhi County,"Shoup, Idaho",45.376105,-114.277177,bridges; mountains; houses,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-105-2,Challis Public Library,Idaho Cities & Towns Collection,3.5x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/21,cities,21,cities21,image,cities21.jpg,https://objects.lib.uidaho.edu/cities/cities21.jpg,https://objects.lib.uidaho.edu/cities/small/cities21_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities21_th.jpg,
"Shoup, Idaho showing bridge across river and homes.",1934,y,,Lemhi County,"Shoup, Idaho",45.376105,-114.277177,bridges; mountains; houses,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-105-3,Challis Public Library,Idaho Cities & Towns Collection,2.75x4.5 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/22,cities,22,cities22,image,cities22.jpg,https://objects.lib.uidaho.edu/cities/cities22.jpg,https://objects.lib.uidaho.edu/cities/small/cities22_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities22_th.jpg,
"Bayhorse, Idaho.",1946,y,,Custer County,"Bayhorse, Idaho",44.397991,-114.31305,aerial views; towns; mountains,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-106-1,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/23,cities,23,cities23,image,cities23.jpg,https://objects.lib.uidaho.edu/cities/cities23.jpg,https://objects.lib.uidaho.edu/cities/small/cities23_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities23_th.jpg,
"Lamb Bros. General Machinist and Blacksmithing. Harrison, Idaho.",1914,,"Man with pipe-Thomas Lamb, machinist who built the aerosleigh, to his left-Daniel E. Riley, the inventor of the aerosleigh",Kootenai County,"Harrison, Idaho",47.455173,-116.784813,business enterprises,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-115-4a,,Idaho Cities & Towns Collection,3.5x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/24,cities,24,cities24,image,cities24.jpg,https://objects.lib.uidaho.edu/cities/cities24.jpg,https://objects.lib.uidaho.edu/cities/small/cities24_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities24_th.jpg,
"Nevada Hotel in foreground. Bayhorse, Idaho.",1884,y,,Custer County,"Bayhorse, Idaho",44.397991,-114.31305,hotels (public accommodations),Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-106-3,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/25,cities,25,cities25,image,cities25.jpg,https://objects.lib.uidaho.edu/cities/cities25.jpg,https://objects.lib.uidaho.edu/cities/small/cities25_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities25_th.jpg,
"Shoup, Idaho showing dirt road with several buildings and old cars.",1934,y,,Lemhi County,"Shoup, Idaho",45.37752391,-114.276856,access roads; trucks; houses,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-106-2,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/26,cities,26,cities26,image,cities26.jpg,https://objects.lib.uidaho.edu/cities/cities26.jpg,https://objects.lib.uidaho.edu/cities/small/cities26_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities26_th.jpg,
"Murray, Idaho. White building in center, Louisville Hotel.",1886,,,Shoshone County,"Murray, Idaho",47.627012,-115.85848,aerial views; towns; mountains,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-107-1,Ruth V. Sellars,Idaho Cities & Towns Collection,8x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/27,cities,27,cities27,image,cities27.jpg,https://objects.lib.uidaho.edu/cities/cities27.jpg,https://objects.lib.uidaho.edu/cities/small/cities27_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities27_th.jpg,
"Panoramic view of Murray, Idaho.",1906,y,,Shoshone County,"Murray, Idaho",47.627012,-115.85848,aerial views; towns; mountains,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-107-2,,Idaho Cities & Towns Collection,7x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/28,cities,28,cities28,image,cities28.jpg,https://objects.lib.uidaho.edu/cities/cities28.jpg,https://objects.lib.uidaho.edu/cities/small/cities28_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities28_th.jpg,
"Helmer School. Helmer, Idaho.",1906,y,,Latah County,"Helmer, Idaho",46.800874,-116.470276,schools,Photo Group 5 | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-108-1,Mr. & Mrs. Darrel Parks,Idaho Cities & Towns Collection,2.75x4.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/29,cities,29,cities29,image,cities29.jpg,https://objects.lib.uidaho.edu/cities/cities29.jpg,https://objects.lib.uidaho.edu/cities/small/cities29_sm.jpg,https://objects.lib.uidaho.edu/cities/thumbs/cities29_th.jpg,
