objectid,title,description,original_description,image_alt_text,organizations,subject,original_subject,creator,date,archival_date,location,latitude,longitude,identifier,format_original,format,filename_old,filename,source,type,accession_number,donor,digital_collection,contributing_institution,language,rights,rightsstatement,book,physical_location,display_template,object_location,image_small,image_thumb
priestriver0010,Threshing on Cal Huff Ranch,"A large stack of hay supported by wooden posts, surrounded by several piles of sacks. Huff Ranch on the Peninsula",,"A large stack of hay supported by wooden posts, surrounded by several piles of sacks. In the background, there is a small building and a wooden cart. The area is a field with grass and mountains in the distance.",Huff Ranch,agriculture; operations; machinery; horses; equus caballus (species),agriculture; operations; machinery,,1936-09-08,1930-1940,"Priest River, ID",48.27091544,-116.873874,agr1-2,black-and-white photograph,image/jpeg,agr1-002.tif,agr1-002.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,783,Tom Prater,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0010.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0010_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0010_th.jpg
priestriver0011,Babe Prater on Rake,"Babe Prater sitting on a dump rake, a type of hay rake that was historically used to gather cut hay into windrows for baling, in a hayfield behind a team of mules.",,"A person wearing a hat sitting on a horse-drawn farming implement in a field, with rolling hills and trees in the background.",,agriculture; operations; machinery; plows (agricultural equipment),agriculture; operations; machinery,,,1930-1940,"Priest River, ID",48.27091544,-116.873874,agr1-3,black-and-white photograph,image/jpeg,agr1-003.tif,agr1-003.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,789,Tom Prater,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0011.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0011_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0011_th.jpg
priestriver0012,Man Cultivating Field,A man wearing overalls and a hat using a manual push cultivator.,,A man wearing overalls and a hat is using a manual plow in a field. Tall trees are visible in the background.,,agriculture; people; farmworks; plows (agricultural equipment),agriculture; operations; machinery,Chuck Peterson,,1930-1940,"Priest River, ID",48.27091544,-116.873874,agr2-1,black-and-white photograph,image/jpeg,agr2-001.tif,agr2-001.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,6,M.S.F.S.,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0012.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0012_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0012_th.jpg
priestriver0013,Picnic,"Crowd of people, most seated at a long picnic table, in front of a frame building which looks like a barn. Donor thinks he is one of the small children in the picture so he places the date after 1913, the year of his birth. Picture may have been taken in the Sandborn Creek area now known as the Hamshar-Bailey district.",,"A large group of people is seated on benches around a long table outside near a wooden building with a sloped roof. Two men stand beside them, and several individuals are sitting on the grass nearby. The scene is set in a grassy area with trees in the background.",,agriculture; people; farmworks; long tables,agriculture; people; farmworks,C.W. Herr,1913,1910-1920,"Priest River, ID",48.21962278,-116.870973,agr2-2,black-and-white photograph,image/jpeg,agr2-002.tif,agr2-002.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,330,Edward Hamshar,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0013.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0013_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0013_th.jpg
priestriver0014,"Jonathan ""Walt"" Leader","Jonathan ""Walt"" Leader as a young man standing in front of a 1931 Pontiac holding a shotgun with his right hand and leaning against the front bumper of the car. In the background is a forest of snags from the 1931 fire.",,"A man wearing a hat and jacket stands in front of an old car in a wooded area. He holds a walking stick, and a rifle is leaning against the car.",,agriculture; people; automobiles; firearms,agriculture; people; farmworks,Chuck Peterson,1936,1930-1940,"Priest River, ID",48.17980898,-116.9104369,agr2-3,black-and-white photograph,image/jpeg,agr2-003.tif,agr2-003.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,387,"Jonathon ""Walt"" Leader",Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0014.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0014_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0014_th.jpg
priestriver0015,Peninsula 4-H Calf Club,"4-H calf club members on the Peninsula at Priest River. From left, Bob Smith, Richard Hammons, Margaret Hammons, Calvin Holley.",,"Four children standing on grass, each holding onto a small calf. They are positioned side by side, with a building wall in the background. The handwritten text at the bottom of the image reads: ""Bob Smith, Richard, Margaret, Calves, Holley.""",4-H,agriculture; people; farmworks; cows (mammals),agriculture; people; farmworks,,,1930-1945,"Priest River, ID",48.26721472,-116.8914033,agr2-4,black-and-white photograph,image/jpeg,agr2-004.tif,agr2-004.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,485,Marj Tobert,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0015.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0015_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0015_th.jpg
priestriver0016,Crowell Farm Group,"The Rev. Eugene Howd Priest River Community Baptist Church. Judy Merlin, Edith Crowell (in the wagon), Art Crowell, on the Peninsula.",,"A man, woman, and child sitting on a horse-drawn cart in a field. Another man stands beside the cart, and a horse is at the front. Mountains and trees are visible in the background.",Community Baptist Church,agriculture; people; farmworks;horses; equus caballus (species),agriculture; people; farmworks,,,1920-1940,"Priest River, ID",48.26721472,-116.8914033,agr2-5,black-and-white photograph,image/jpeg,agr2-005.tif,agr2-005.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,486,,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0016.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0016_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0016_th.jpg
priestriver0017,Bonner County Cattlemen,"Bonner County Cattlemen in 1941 at the Kaniksu Stock Ranch in the Italian Settlement at Priest River. Left to right, front: Johnny Mathieson, Charles Anselmo, an unknown, Frank Anselmo Jr, Francis McNall. In back: unknown, F.L. Stephenson, county agent, unknown, Frank Brown, Cal Huff, Jim Peterson, Art Vernon, Bill McNall, unknown, Prof. Hickman.",,"A group of men, mostly in shirts and hats, are gathered outdoors. Some are standing while others are seated in front. They are under a tree with a fence and buildings in the background. A table is visible to one side.",Kaniksu Stock Ranch,agriculture; people; farmworks; men,agriculture; people; farmworks,,1941,1940-1950,"Priest River, ID",48.16944561,-116.8509814,agr2-6,black-and-white photograph,image/jpeg,agr2-006.tif,agr2-006.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,557,,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0017.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0017_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0017_th.jpg
priestriver0018,Two Women with Corn Crop,"Two women and a child standing in front of a cornfield, surrounded by tall grass.",Two women standing in front of a tall patch of corn with a small child in front of them.,"Two women and a child standing in front of a cornfield, surrounded by tall grass.",,agriculture; people; farmworks; women; children (people by age group),agriculture; people; farmworks,,,1910-1930,"Priest River, ID",,,agr2-7,black-and-white photograph,image/jpeg,agr2-007.tif,agr2-007.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,1263,,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0018.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0018_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0018_th.jpg
priestriver0019,Earl Perin & Appaloosa,Earl Perin with one of his blooded Appaloosas raised at Priest River,,"A person wearing a cowboy hat and plaid shirt stands next to a spotted horse, holding its lead. They are in an outdoor setting with trees and a fenced area in the background.",,agriculture; livestock; horses; equus caballus (species),agriculture; people; farmworks,,,1950-1960,"Priest River, ID",,,agr3-1,black-and-white photograph,image/jpeg,agr3-001.tif,agr3-001.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,483,,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0019.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0019_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0019_th.jpg
priestriver0020,Two Horsemen on Appaloosas,"Harold Tibbs on a horse named Toby 1 and George Hatley on a horse named Toby 2. Possibly in Sandpoint, ID. The text at the bottom reads: ""Harold Tibbs on TOBY I, George Hatley on TOBY II.""",,"Two men sitting on horses in an outdoor area with a wooden fence in the background. The horse on the left has a speckled pattern, and the man riding it wears a dark shirt and light pants. The man on the right is wearing a hat and a shirt with light pants, riding a horse with a similar pattern. There is grass underfoot and trees visible beyond the fence. The text at the bottom reads: ""Harold Tibbs on TOBY I, Geo. Hatley on TOBY II.""",,agriculture; livestock; horses; equus caballus (species); men,agriculture; livestock,,,1950-1960,"Priest River, ID",,,agr3-2,black-and-white photograph,image/jpeg,agr3-002.tif,agr3-002.jpg,"Marylyn Cork Collection, Priest River Library",Image;StillImage,484,,Marylyn Cork Priest River Historical Collection,West Bonner Library District,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. Materials in this digital collection are not held by University of Idaho Library Special Collections and Archives. Please contact Priest River Library at library@westbonnerlibrary.org for information.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Agriculture,Priest River Library Archive,image,https://objects.lib.uidaho.edu/priestriver/priestriver0020.jpg,https://objects.lib.uidaho.edu/priestriver/small/priestriver0020_sm.jpg,https://objects.lib.uidaho.edu/priestriver/thumbs/priestriver0020_th.jpg
