title,creator,description,archival_date,date,date is approximate?,source,finding_aid,subject,category,coverage,rights,rightsstatement,language,digitization specifications,date digital,identifier,contributing institution,relation,collection-incorrect,type,media type,format,display_template,date created,date modified,objectid,collectionid,filename,object_location,image_small,image_thumb,,,
Crowd Assembled in front of Administration Building,,A photograph of the crowd assembled in front of the University of Idaho Administration Building to hear Roosevelt speak.,1911-04-11,1911-04-11,,"Idaho photograph collection, 1849-1983, PG 6, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv603274,crowds;campus buildings;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-12,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt015,spec_uihp,spec_uihp397.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp397.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp397_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp397_th.jpg,,,
Roosevelt Waves to Crowd,"Sterner (Moscow, Idaho)",Theodore Roosevelt on a platform in front of University of Idaho Administration Building waving to crowd assembled for his speech.,1911-04-11,1911-04-11,,"Idaho photograph collection, 1849-1983, PG 6, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv603274,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,6-0007-15,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt016,spec_uihp,spec_uihp398.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp398.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp398_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp398_th.jpg,,,
Roosevelt Stands on Platform,,Theodore Roosevelt stands on a platform made of sacks of wheat in front of University of Idaho Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-10,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt017,spec_uihp,spec_uihp399.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp399.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp399_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp399_th.jpg,,,
Roosevelt on Platform [1],,Theodore Roosevelt stands on a platform in front of University of Idaho Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-12,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt019,spec_uihp,spec_uihp400.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp409.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp409_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp409_th.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp400.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp400_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp400_th.jpg
Roosevelt on Platform [2],,Theodore Roosevelt stands on a platform in front of University of Idaho Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-13,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt020,spec_uihp,spec_uihp401.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp401.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp401_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp401_th.jpg,,,
Roosevelt on Platform [3],,Theodore Roosevelt stands on a platform in front of University of Idaho Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-14,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt021,spec_uihp,spec_uihp402.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp408.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp408_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp408_th.jpg,,,
Roosevelt on Platform [6],,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-18,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt025,spec_uihp,spec_uihp403.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp403.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp403_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp403_th.jpg,,,
Distant View of Roosevelt on Platform,,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;hats;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-19,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt026,spec_uihp,spec_uihp406.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp406.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp406_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp406_th.jpg,,,
Roosevelt Shields Eyes [2],,Theodore Roosevelt speaks from a platform in front of University of Idaho Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-20,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt027,spec_uihp,spec_uihp407.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp407.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp407_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp407_th.jpg,,,
Crowd Assembled to Hear Roosevelt Speak [1],,A crowd assembles on the University of Idaho campus to hear Roosevelt speak.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,crowds;campus buildings;hats;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-21,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt028,spec_uihp,spec_uihp408.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp402.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp402_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp402_th.jpg,,,
Crowd Assembled to Hear Roosevelt Speak [2],,A crowd assembles on the University of Idaho campus to hear Roosevelt speak. Visible in the background behind the platform are the old Engineering Building and Ridenbaugh Hall.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;hats;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-22,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt029,spec_uihp,spec_uihp409.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp400.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp400_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp400_th.jpg,,,
Crowd Assembled to Hear Roosevelt Speak [3],,A crowd assembles on the lawn in front of the University of Idaho Administration Building to hear Roosevelt speak. A long string of people coming up the Hello Walk can be seen in the distance.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-23,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt030,spec_uihp,spec_uihp412.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp412.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp412_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp412_th.jpg,,,
Crowd Assembled to Hear Roosevelt Speak [4],,A large crowd assembled on University of Idaho campus to hear Roosevelt speak.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,crowds;automobiles;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-24,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt031,spec_uihp,spec_uihp415.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp415.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp415_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp415_th.jpg,,,
Crowd Gathered Outside Administration Building [1],,A view of the crowd assembled to hear Theodore Roosevelt speak. A large American flag can be seen hanging from the top of the Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,"Roosevelt, Theodore;crowds;campus buildings;",Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-25,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt032,spec_uihp,spec_uihp416.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp416.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp416_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp416_th.jpg,,,
Crowd Gathers,,A crowd assembles in front of University of Idaho Administration Building to hear Theodore Roosevelt speak.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,crowds;hats;Theodore Roosevelt;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-26,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt033,spec_uihp,spec_uihp417.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp417.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp417_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp417_th.jpg,,,
Tree Planted by Theodore Roosevelt,,An unidentified man stands next to a small tree planted by Theodore Roosevelt in front of the University of Idaho Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,campus buildings;trees;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-28,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt034,spec_uihp,spec_uihp418.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp421.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp421_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp421_th.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp418.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp418_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp418_th.jpg
Military Men with Tree [1],,Three uniformed men pose for a photograph with the tree planted by Theodore Roosevelt in the lawn in front of the Administration Building.,1911-04-11,1911-04-11,,"Photograph album, 10 April 1911, MG 5299, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv206144,military;trees;automobiles;,Photographic prints,United States--Idaho--Latah County--Moscow,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,"300 dpi  (displayed), Scanned from  black and white print. Master is a 800 dpi Tiff.",2011,5299-27,"University of Idaho Library Special Collections and Archives,<a href=""https://www.lib.uidaho.edu/special-collections/"" target=""_blank"" rel=""noopener"">https://www.lib.uidaho.edu/special-collections/</a> ","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",University of Idaho Historical Photographs - Theodore Roosevelt Collection http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/spec_uihp,Image;StillImage,Black and White Photograph,image/jpeg,image,2011-03-03,2014-04-17,troosevelt035,spec_uihp,spec_uihp420.jpg,https://objects.lib.uidaho.edu/uihistorical/spec_uihp420.jpg,https://objects.lib.uidaho.edu/uihistorical/small/spec_uihp420_sm.jpg,https://objects.lib.uidaho.edu/uihistorical/thumbs/spec_uihp420_th.jpg,,,
