title,description,creator,date,archival_date,date is approximate?,subject,subject (lcsh),location,location (lcsh),latitude,longitude,digital collection,publisher digital,source,identifier,rights,rightsstatement,ordering information,format original,type,format,language,digitization specifications,date digital,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Davids' mens' department about 1905 at the southeast corner of Third and Main streets,"Left to right: Homer David, Charles Togsted, Nels Larson and F.A. David. Grocery department in far end. Stove pipes to wall.",,1905,,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-097,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/10,10,ott10,image,ott10.jpg,https://objects.lib.uidaho.edu/ott/ott10.jpg,https://objects.lib.uidaho.edu/ott/small/ott10_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott10_th.jpg,
Davids' shoe department in 1940,"Davids' shoe department in 1940, located where the grocery department once was. Moscow.",,1940,,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-100,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/11,11,ott11,image,ott11.jpg,https://objects.lib.uidaho.edu/ott/ott11.jpg,https://objects.lib.uidaho.edu/ott/small/ott11_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott11_th.jpg,
Looking north at the east side of Main Street south of A Street,"No. 1, vinegar plant, 2- Grange Hall, 3- Moose Hall, 4- Corner Club, 5- Idaho Hotel razed 1977, 6- Elks Temple. Installing new lights.",,1977,,yes,buildings; main streets,Central business districts--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.73443,-117.00124,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/12,12,ott12,image,ott12.jpg,https://objects.lib.uidaho.edu/ott/ott12.jpg,https://objects.lib.uidaho.edu/ott/small/ott12_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott12_th.jpg,
Davids' dry goods department in 1912,Davids' dry goods department in 1912. Moscow.,,1912,,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-101,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/13,13,ott13,image,ott13.jpg,https://objects.lib.uidaho.edu/ott/ott13.jpg,https://objects.lib.uidaho.edu/ott/small/ott13_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott13_th.jpg,
Davids' dry goods department in 1940,Davids' dry goods department in 1940. Moscow.,,1940,,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-102,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/14,14,ott14,image,ott14.jpg,https://objects.lib.uidaho.edu/ott/ott14.jpg,https://objects.lib.uidaho.edu/ott/small/ott14_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott14_th.jpg,
Davids' in Moscow,"In 1896 F.A. David rented a one room building with a 15-foot frontage on the west side of Main Street south of First Street and opened a store for the Spokane Eastern Trust Company to sell the stocks from a bankrupt Juliaetta store. Later in 1896 David bought the remaining goods with the aid of Frank L. White and named the store 'Badger' as David was from Wisconsin, the Badger State. In 1898 the store was moved across the street to the Spicer Block where it occuped two rooms with a 25 foot frontage. In 1898 B.T. Byrne's brother-in-law Wellington Ely came to Moscow and bought an interest in the Badger store. The title 'Badger Store' was abandoned, the firm being called David & Ely. In 1899 David & Ely purchased the Dernham & Kaufmann building at the southeast corner of Third and Main streets and opened its door as a full-fledged department store in 1900. Ely died in 1908 and B.T. Byrnes became an associate of David looking after the interest of Ely. In 1913 Byrnes disposed of the Ely interests to F.A. David, and his sons were made full partners in the store. The firm's name again was changed to F.A. David & Sons. At this time the name on the building was Davids'. In 1919-1920 all four stories of the building were modernized and remodeled. F.A. David died in 1919, and shortly after the store became known as Davids' Inc. The name on the building remained Davids'. In 1946 Davids celebrated their 50th anniversary as merchants in Moscow. When the David sons reached retirement age the store was sold in 1959 to Childers, a Spokane retail merchant. In 1976 Childers sold to Fargo Wilson Wells of Pocatello who was represented by Van Engelen. Fargo Wilson Wells went bankrupt and the store was vacated April 1970. The Davids' building is now owned by two Moscow attorneys, W.E. Anderson and Len Bielenberg. The above is from Homer David's Recollections, Business Saga, from the Spokesman-Review dated May 12, 1946 and the Idahonian dated September 6, 1979.",,1976-09-06,,,clippings (information artifacts),Photograph captions,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-103,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/15,15,ott15,image,ott15.jpg,https://objects.lib.uidaho.edu/ott/ott15.jpg,https://objects.lib.uidaho.edu/ott/small/ott15_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott15_th.jpg,
Looking south at Main Street with Third Street in the foreground,"Picture by Clifford M. Ott August 26, 1979.","Ott, Clifford M.",1979-08-26,,,main streets; buildings,Central business districts--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732314,-117.001358,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-104,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/16,16,ott16,image,ott16.jpg,https://objects.lib.uidaho.edu/ott/ott16.jpg,https://objects.lib.uidaho.edu/ott/small/ott16_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott16_th.jpg,
Looking north at Main Street with Second Street in the foreground,"Picture by Clifford M. Ott August 26, 1979.","Ott, Clifford M.",1979-08-26,,,main streets; buildings,Central business districts--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732998,-117.001369,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-105,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/17,17,ott17,image,ott17.jpg,https://objects.lib.uidaho.edu/ott/ott17.jpg,https://objects.lib.uidaho.edu/ott/small/ott17_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott17_th.jpg,
"First National Bank, circa 1921","August 8, 1921 by Hodgins Drug Store photographer.",,1921-08-08,,,buildings; banks,Bank buildings--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732189,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-107,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/18,18,ott18,image,ott18.jpg,https://objects.lib.uidaho.edu/ott/ott18.jpg,https://objects.lib.uidaho.edu/ott/small/ott18_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott18_th.jpg,
First National Bank in December,Christmas tree outside the First National Bank in December 1914.,,1914-12-25,,,buildings; banks,Bank buildings--Idaho--Moscow; Christmas trees--Idaho--Moscow,"Moscow, Idaho",United States--Idaho--Latah County--Moscow,46.732189,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-108,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/19,19,ott19,image,ott19.jpg,https://objects.lib.uidaho.edu/ott/ott19.jpg,https://objects.lib.uidaho.edu/ott/small/ott19_sm.jpg,https://objects.lib.uidaho.edu/ott/thumbs/ott19_th.jpg,
