objectid,title,subject,photographer,archival_date,date,description,subject_lctgm,location_old,location,idaho_county,source,finding_aid,digital_collection,holding_institution,format_original,format,type,identifier,datedigital,language,rights,rightsstatement,digitalspecifications,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb
higgins10,Security,barnboard;wood (plant material);locks (securing devices); black-and-white photography;,"Higgins, Robert, E.",10 May 1988,1988-05-10,A solitary lock and chain is keeping this weathered wood gate shut. This image was entered into the Boise Camera Club competition and received a score of 23.,Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_019,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/10,10,image,higgins10.jpg,https://objects.lib.uidaho.edu/higgins/higgins10.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins10_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins10_th.jpg
higgins11,Abandoned Home,abandoned dwellings;barnboard;siding (material);wood (plant material);bushes,"Higgins, Robert, E.",2 June 1996,1996-06-02,A close up view of an abandoned house received a score of 25 by the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_002,2011-02-15,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/11,11,image,higgins11.jpg,https://objects.lib.uidaho.edu/higgins/higgins11.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins11_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins11_th.jpg
higgins12,Fongs,"Chinese (culture or style);restaurants;urban areas; chinatowns; lamps, neon","Higgins, Robert, E.",14 February 1984,1984-02-14,"This close up view of Fongs building in Old China Town, Boise, Idaho received a score of 39 by the Columbia Council of Camera Clubs. On the corner of the building is a blade neon sign.",Photographic prints,United States--Idaho,"Boise, Idaho",Ada County,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpeg,Image;StillImage,higgins_020,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/12,12,image,higgins12.jpg,https://objects.lib.uidaho.edu/higgins/higgins12.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins12_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins12_th.jpg
higgins13,Pioneer,abandoned buildings;barnboard;siding (material);wood (plant material);fences (site elements),"Higgins, Robert, E.",14 November 1989,1989-11-14,"A lonely, abandoned building behind a dilapidated fence received a score of 21 from the Boise Camera Club competition.",Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_021,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/13,13,image,higgins13.jpg,https://objects.lib.uidaho.edu/higgins/higgins13.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins13_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins13_th.jpg
higgins14,Sagging Screen,abandoned buildings;barnboard;siding (material);wood (plant material);screen window;deterioration,"Higgins, Robert, E.",13 February 1990,1990-02-13,Sagging screen hanging off a window of an abandoned building received a score of 22 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_022,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/14,14,image,higgins14.jpg,https://objects.lib.uidaho.edu/higgins/higgins14.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins14_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins14_th.jpg
higgins15,Boise Ridge Survivor,trees;moons; nature photography,"Higgins, Robert, E.",1 October 1996,1996-10-01,A solitary tree reaches for the moon. This image received a score of 23 from the Boise Camera Club and received a score of 38 from the Columbia Council of Camera Clubs.,Photographic prints,United States--Idaho,"Boise, Idaho",Ada County,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_023,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/15,15,image,higgins15.jpg,https://objects.lib.uidaho.edu/higgins/higgins15.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins15_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins15_th.jpg
higgins16,In Sands of Time,dunes;sand areas;footprints (foot impressions),"Higgins, Robert, E.",12 December 1989,1989-12-12,Lonely footprints through the sand received a score of 24 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_025,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/16,16,image,higgins16.jpg,https://objects.lib.uidaho.edu/higgins/higgins16.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins16_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins16_th.jpg
higgins17,Cart Hub,wheels (components);wood (plant material),"Higgins, Robert, E.",1 May 1993,1993-05-01,The wooden hub on the wheel of a cart received a score of 22 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_024,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/17,17,image,higgins17.jpg,https://objects.lib.uidaho.edu/higgins/higgins17.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins17_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins17_th.jpg
higgins18,Blue Lake,lakes (bodies of water);hills;trees; nature photography,"Higgins, Robert, E.",1 December 1997,1997-12-01,"Receiving a score of 23 by the Boise Camera Club, this image shows an idyllic lake surrounded by hills and trees.",Photographic prints,United States--Idaho,"Cascade, Idaho",Valley County,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpeg,Image;StillImage,higgins_026,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/18,18,image,higgins18.jpg,https://objects.lib.uidaho.edu/higgins/higgins18.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins18_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins18_th.jpg
higgins19,Old Thresher,wheels (components);threshers,"Higgins, Robert, E.",1 November 1992,1992-11-01,Contrasting shapes and values highlight wheels on an old thresher. This image received a score of 23 from the Boise Camera Club and was also entered into the Columbia Council of Camera Clubs where it received a score of 43.,Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_027,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/19,19,image,higgins19.jpg,https://objects.lib.uidaho.edu/higgins/higgins19.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins19_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins19_th.jpg
higgins20,Curves and Lines,agricultural equipment,"Higgins, Robert, E.",1 November 1992,1992-11-01,This close up of farming equipment received a score of 20 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_028,2011-02-17,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/20,20,image,higgins20.jpg,https://objects.lib.uidaho.edu/higgins/higgins20.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins20_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins20_th.jpg
higgins21,Lamoille Gate,barbed wire fence; cultural landscapes,"Higgins, Robert, E.",1 December 1987,1987-12-01,This close up of a barbed wire fence received a score of 23 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822?q=Higgins,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_029,2011-02-22,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/21,21,image,higgins21.jpg,https://objects.lib.uidaho.edu/higgins/higgins21.jpg,https://objects.lib.uidaho.edu/higgins/small/higgins21_sm.jpg,https://objects.lib.uidaho.edu/higgins/thumbs/higgins21_th.jpg
