objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format_original,format,finding_aid,digital_collection,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
ug135-scrapbook1-page11,Photograph of three individuals from the WAMI program,Unknown,1972-08,A black and white photograph of three individuals in a meeting.,WAMI Program; University of Idaho; Meeting,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page11,Image;StillImage,Photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_011.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_011_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_011_th.jpg"
ug135-scrapbook1-page12,"New Program, Tribal Views, First Medical Students",Unknown,1972,Newspaper clippings from the Idaho Statesman and Lewiston Tribune about the WAMI program and the need for more trained doctors in Idaho.,WAMI Program; University of Idaho; News Article; Tribal Health,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page12,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_012.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_012_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_012_th.jpg"
ug135-scrapbook1-page13,Tribe Briefs Students,Unknown,1972-09-11,A newspaper clipping from the Spokane Daily Chronicle showing a photograph of tribal leaders briefing students.,WAMI Program; University of Idaho; News Article; Tribal Health,"Spokane, Washington",47.6588,-117.426,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page13,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_013.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_013_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_013_th.jpg"
ug135-scrapbook1-page14,First Idaho Medical Students Arrive at University,Unknown,1972-09-07,A press release and photograph discussing the arrival of the first University of Washington medical students from at the University of Idaho.,WAMI Program; University of Idaho; News Article; Medical Education,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page14,Image;StillImage,Press Release,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_014.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_014_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_014_th.jpg"
ug135-scrapbook1-page15,WAMI Medical Training Starts and First Medical Students,Unknown,1972-09-01,Various newspaper clippings announcing the start of the WAMI medical training program.,WAMI Program; University of Idaho; News Article; Medical Education,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page15,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_015.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_015_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_015_th.jpg"
ug135-scrapbook1-page16,Hospital Closure and New Programs,Unknown,1972-09-10,Newspaper clippings from the Spokesman-Review and Idahonian discussing the impact of hospital closure on the Coulee Dam community and the new WAMI program.,WAMI Program; University of Idaho; News Article; Hospital Closure,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page16,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_016.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_016_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_016_th.jpg"
ug135-scrapbook1-page17,Tribal Views and First Medical Students,Unknown,1972-09-01,"Newspaper clippings from the Idaho County Free Press and Lewiston Tribune, discussing the first Idaho medical students and tribal views.",WAMI Program; University of Idaho; News Article; Medical Education,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page17,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_017.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_017_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_017_th.jpg"
ug135-scrapbook1-page18,WAMI Medical Students Meet with Nez Perce Leaders,Unknown,1972-09-13,A press release discussing a meeting between WAMI medical students and Nez Perce leaders.,WAMI Program; University of Idaho; News Article; Tribal Health,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page18,Image;StillImage,Press Release,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_018.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_018_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_018_th.jpg"
ug135-scrapbook1-page19,"Medical Students Train Under WAMI Program, Hear Nez Perce Views",Unknown,1972-09-01,"Various newspaper clippings from the Lewiston Tribune and Idahonian, discussing the training of medical students under the WAMI program.",WAMI Program; University of Idaho; News Article; Medical Education,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page19,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_019.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_019_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_019_th.jpg"
ug135-scrapbook1-page20,UI Joins and Doctor to Open Office,Unknown,1972-05-31,"Various newspaper clippings discussing the University of Idaho joining a new medical school system, new doctor to open office in Pullman.",WAMI Program; University of Idaho; News Article; Medical Education,"Moscow, Idaho",46.73252947,-117.1817,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page20,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_020.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_020_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_020_th.jpg"
ug135-scrapbook1-page21,Director Tells How WAMI Could Help Solve Idaho’s Growing Medical Needs,Unknown,1972,A newspaper clipping discussing the potential impact of the WAMI program in addressing Idaho's medical needs.,WAMI Program; University of Idaho; News Article; Medical Education,"Moscow, Idaho",46.73252947,-117.1817,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page21,Image;StillImage,Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_021.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_021_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_021_th.jpg"
ug135-scrapbook1-page22,Field Trip to Nampa 01,Unknown,1972,"A photograph showing a group of individuals on a field trip to Nampa, Idaho, to visit Community Health Clinics, Inc.",WAMI Program; University of Idaho; Field Trip; Community Health,"Nampa, Idaho",43.5407,-116.5635,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page22,Image;StillImage,Photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_022.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_022_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_022_th.jpg"
ug135-scrapbook1-page23,Field Trip to Nampa 02,Unknown,1972,"A photograph showing a group of individuals ready to fly to Nampa, Idaho and a group discussion in Lapwai, Idaho.",WAMI Program; University of Idaho; Field Trip; Discussion,"Nampa, Idaho",43.5407,-116.5635,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page23,Image;StillImage,Photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_023.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_023_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_023_th.jpg"
ug135-scrapbook1-page24,Flying Pea Weevils to Take WAMI Students to See Rural Clinics,Unknown,1972-10-12,"A press release discussing the Flying Pea Weevils taking WAMI students to see rural clinics, including details on the medical program and aircraft involved.",WAMI Program; University of Idaho; Press Release,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page24,Image;StillImage,Press Release,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_024.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_024_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_024_th.jpg"
ug135-scrapbook1-page25,WAMI Students to Tour Three Community Health Clinics 01,Unknown,1972-10-11,"A press release discussing WAMI students making a tour of clinics, highlighting the locations and the purpose of the tour.",WAMI Program; University of Idaho; Press Release; Tour,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page25,Image;StillImage,Press Release,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_025.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_025_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_025_th.jpg"
ug135-scrapbook1-page26,WAMI Students to Make Flying Tour of Clinics,Unknown,1972-10-12,"A newspaper clipping and photograph about WAMI students making a tour of clinics, highlighting the locations and the purpose of the tour and a photograph of the plane.",WAMI Program; University of Idaho; Press Release; Tour,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page26,Image;StillImage,Photograph and Newspaper Clipping,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_026.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_026_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_026_th.jpg"
ug135-scrapbook1-page27,WAMI Medical Books Donation,Unknown,1972-10-13,"A press release and photograph showing a donation of WAMI medical books, capturing the presentation event with key figures.",WAMI Program; University of Idaho; Medical Books Donation,"Moscow, Idaho",46.73252947,-117.0017431,"WWAMI collection, UG 135, University of Idaho Library Special Collections and Archives",ug135-scrapbook1-page27,Image;StillImage,Photograph amd Press Release,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv759233,WWAMI Scrapbook,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/wwami/wwami_027.jpg,https://objects.lib.uidaho.edu/wwami/small/wwami_027_sm.jpg,"https://objects.lib.uidaho.edu/wwami/thumbs/wwami_027_th.jpg"
