objectid,parentid,title,date,archival_date,description,relation_is_part_of,image_alt_text,subject,location,source,identifier,type,format,finding_aid,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
kooskia785,,Lochsa River near Kooskia Internment Camp,1944,1943-1945,Image of road by Lochsa Lochsa River at Kooskia Internment Camp.. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of the Lochsa river and a road.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 03, item d",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page03_c.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page03_c.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page03_c_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page03_c_th.jpg
kooskia779,,Man fishing near Kooskia Internment Camp,1944,1943-1945,Image of a man at Kooskia Internment Camp fishing in a raft on the Lochsa Lochsa River. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white image of a man fishing near a river. Two boats sit along the bank at the river.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 03, item e",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page03_d.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page03_d.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page03_d_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page03_d_th.jpg
kooskia792,,"Full scrapbook page, page 04: buildings in Kooskia",1944,1943-1945,Various buildings around the Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page from the scrapbook. The page is lightly tinted from age and contains three black and white photos at slight angles.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 04, item a",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page04.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page04.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page04_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page04_th.jpg
kooskia782,,Long Shot of Buildings at Kooskia,1944,1943-1945,Image of buildings at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white image of buildings at Kooskia Internment Camp and the mountain-side.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 04, item b",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page04_a.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page04_a.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page04_a_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page04_a_th.jpg
kooskia795,,Man with cigarette in Kooskia,1944,1943-1945,Image of man at Kooskia Internment Camp sitting with cigarette. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photo of a man sitting on the steps of a building and smoking a cigarette. A broom leans against a chair to the left of him.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 04, item c",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page04_b.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page04_b.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page04_b_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page04_b_th.jpg
kooskia787,,Man on porch in Kooskia,1944,1943-1945,Image of a man at the Kooskia Internment Camp standing on a porch. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of a man standing on a high porch of a building. He is leaning along the railin gof the porch. ,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 04, item d",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page04_c.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page04_c.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page04_c_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page04_c_th.jpg
kooskia784,,"Full scrapbook page, page 05: leisure time at Kooskia",1944,1943-1945,Men doing various activities during their leisure time. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page from the scrapbook. The page is lightly tinted from age and contains three black and white photos at slight angles.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 05, item a",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page05.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page05.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page05_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page05_th.jpg
kooskia788,,Lights on a building at night in Kooskia,1944,1943-1945,Image taken during night at Kooskia Internment Camp of building with lights. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of the internment camp at night. Lights are shown coming from the windows of a building.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 05, item b",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page05_a.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page05_a.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page05_a_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page05_a_th.jpg
kooskia791,,Men playing game at Kooskia,1944,1943-1945,Interior shot of a group of men at Kooskia Internment Camp playing a game while sitting on cots in sleeping quarters. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of men sitting around a table playing games.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 05, item c",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page05_b.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page05_b.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page05_b_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page05_b_th.jpg
kooskia781,,Men with instruments at Kooskia,1944,1943-1945,"Interior shot of three men at Kooskia Internment Camp playing musical instruments: saxophone, guitar and flute. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia","A black and white photograph of three men playing instruments: one playing a saxophone, one playing a guitar, and one playing a flute. ","Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 05, item d",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page05_c.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page05_c.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page05_c_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page05_c_th.jpg
