title,description,creator,recipient,point of origin,date,date is approximate,subject,latitude,longitude,source,identifier,rights,rightsstatement,format original,type,format,language,cdm_url,cdmid,contentdm file name,contentdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,object_transcript
U.P. 248 Engine Stuck In The Snow [2],A photograph of Union Pacific Engine 248 stuck in its place on the tracks near Grangeville because of the immense amounts of snow. There are several workers in the photograph that are working to dig the train out.,"Meckstroth, Wally",,,1957,yes,freight trains; railroads (infrastructure),45.926713,-116.121637,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F23_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/10,10,280.jp2,/riegger/image/280.jp2,riegger10,image,riegger10.jpg,https://objects.lib.uidaho.edu/riegger/riegger10.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger10_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger10_th.jpg,
Toppled Train Engine [2],"A photograph of a toppled, partly submerged train engine being raised out of the water using construction machinery. Captured in the background is a group of several people watching the process happen.","Cash, Earl",,,1931,yes,construction (assembling); freight trains; railroads (infrastructure),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_013,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/11,11,204.jp2,/riegger/image/204.jp2,riegger11,image,riegger11.jpg,https://objects.lib.uidaho.edu/riegger/riegger11.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger11_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger11_th.jpg,
Winchester Lake and Mill,Winchester Lake and mill in background. Winchester Lake was a man-made lake for the mill's operation. People pictured swimming in the lake.,Winchester Museum,,,1915,,lakes; lumber mills; logs; trees; swimmers; water towers,46.23958325,-116.6234488,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_007,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/12,12,61.jp2,/riegger/image/61.jp2,riegger12,image,riegger12.jpg,https://objects.lib.uidaho.edu/riegger/riegger12.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger12_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger12_th.jpg,
Freight Car off the Tracks,A color photograph of what appears to be a runaway freight car covered in snow.,Don Wayt,,,,,freight cars; logs; trees,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_021a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/13,13,402.jp2,/riegger/image/402.jp2,riegger13,image,riegger13.jpg,https://objects.lib.uidaho.edu/riegger/riegger13.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger13_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger13_th.jpg,
Earl Cash Interview Transcript,Transcript from Hal Riegger's interview with retired railman Earl Cash.,,,,1983,yes,railroads (infrastructure); interviews; transcripts,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F37_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Transcript,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/14,14,84.pdf,/riegger/image/84.pdf,riegger14,pdf,riegger14.pdf,https://objects.lib.uidaho.edu/riegger/riegger14.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger14_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger14_th.jpg,
"Winter Scene of Mill, Winchester",Scene of winter at the Winchester mill in Idaho.,Winchester Museum,,,,,lumber mills; water towers; logs,46.23958325,-116.6234488,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_008,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/15,15,17.jp2,/riegger/image/17.jp2,riegger15,image,riegger15.jpg,https://objects.lib.uidaho.edu/riegger/riegger15.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger15_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger15_th.jpg,
Northern Pacific Passenger Car,"Northern Pacific passenger car pictured at a train station in Moscow, Idaho.",Will Whittaker,,,1958-05-31,,passenger cars (railroad cars); train stations,46.73249713,-117.0001401,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F32_010,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/16,16,46.jp2,/riegger/image/46.jp2,riegger16,image,riegger16.jpg,https://objects.lib.uidaho.edu/riegger/riegger16.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger16_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger16_th.jpg,
"Letter from Hal Riegger to Patrick W. Stafford, February 1, 1984",A letter from Hal Riegger to Patrick W. Stafford regarding track laying records for several Northern Pacific lines.,"Riegger, Hal","Stafford, Patrick W.",United States; California; Nevada County; Penn Valley;,1984-02-01,,letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_014,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/17,17,132.pdf,/riegger/image/132.pdf,riegger17,pdf,riegger17.pdf,https://objects.lib.uidaho.edu/riegger/riegger17.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger17_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger17_th.jpg,
Log Chute - Construction In Potlatch,"A photograph of the construction of a railroad in Potlatch, specifically a log chute transporting water and lumber, as part of the Clearwater Unit of Potlatch Forests, Inc.",Gruber,,,1905-04-10,yes,construction (assembling); freight trains; railroads (infrastructure),46.642283,-115.804161,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F18_002,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/18,18,334.jp2,/riegger/image/334.jp2,riegger18,image,riegger18.jpg,https://objects.lib.uidaho.edu/riegger/riegger18.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger18_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger18_th.jpg,
Construction To Move NP&I 4,A photograph of three men in the process of building a track for Nez Perce & Idaho Train Engine no. 4 to be moved to the 4-spot for transport to Lewiston. Herb Banks had charge of conditioning the engine for movement to Lewiston.,"Nixon, Ron",,,1905-05-04,yes,freight trains; railroads (infrastructure),46.242196,-116.472788,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_015,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/19,19,183.jp2,/riegger/image/183.jp2,riegger19,image,riegger19.jpg,https://objects.lib.uidaho.edu/riegger/riegger19.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger19_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger19_th.jpg,
NP 1521 Switching At Craigmont [2],Northern Pacific Train Engine 1521 switching with NP&I Engine 9 at Craigmont to take Engine 4 all the way to Lewiston. More views of the switching of engines.,"Nixon, Ron",,,1951-05-22,,freight trains; railroads (infrastructure),46.241535,-116.467331,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_023,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/20,20,161.jp2,/riegger/image/161.jp2,riegger20,image,riegger20.jpg,https://objects.lib.uidaho.edu/riegger/riegger20.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger20_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger20_th.jpg,
Paper Copy of Photograph of Rutledge,A paper copy of a photograph of the Rutledge logging operation near Clarkia.,"Butler, Al","Riegger, Hal",United States; Idaho; Kootenai County; Coeur d'Alene,1927-06-18,yes,freight trains; letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_017,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,image;stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/21,21,103.jp2,/riegger/image/103.jp2,riegger21,image,riegger21.jpg,https://objects.lib.uidaho.edu/riegger/riegger21.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger21_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger21_th.jpg,
Famous Picture Of NP Engine 684,"A photograph of Northern Pacific Train Engine 684, taken by famous Northern Pacific photographer Warren McGee, who took many renowned photos of the Northern Pacific Railroad.","McGee, Warren",,,1953-04-04,,freight trains; railroads (infrastructure),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_027,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/22,22,366.jp2,/riegger/image/366.jp2,riegger22,image,riegger22.jpg,https://objects.lib.uidaho.edu/riegger/riegger22.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger22_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger22_th.jpg,
Submerged Bridge 5,"A photograph of Bridge 5, broken and submerged, underneath Orofino Creek.","Cash, Earl",,,1905-04-17,,freight trains; railroads (infrastructure),46.482101,-116.207343,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_054,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/23,23,228.jp2,/riegger/image/228.jp2,riegger23,image,riegger23.jpg,https://objects.lib.uidaho.edu/riegger/riegger23.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger23_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger23_th.jpg,
Motors Rest Near Turntable,A photograph of a few stationary train engines resting near the turntable in the Lewiston Train Yard.,"Hastings, Phil",,,1951-05-28,,freight trains,46.488083,-116.260967,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_021,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/24,24,267.jp2,/riegger/image/267.jp2,riegger24,image,riegger24.jpg,https://objects.lib.uidaho.edu/riegger/riegger24.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger24_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger24_th.jpg,
"Bridge 50.1, Kamiah Mine Fire [2]",A photograph of Bridge 50.1 on the Camas Prairie Railroad next to the Kamiah Mine. Smoke billows from a fire on the railroad bridge. People can be seen on the bridge walking toward the fire.,"Leiterman, Ray",,,1905-05-25,,freight trains,46.22694,-116.029859,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_015,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/25,25,195.jp2,/riegger/image/195.jp2,riegger25,image,riegger25.jpg,https://objects.lib.uidaho.edu/riegger/riegger25.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger25_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger25_th.jpg,
Small Paper Describing Snow Removal Unit,"A small slip of paper describing small snow removal units in Orofino, Idaho, used to remove snow to allow trains to continue to traverse across the state.",,"Riegger, Hal",United States; Idaho; Clearwater County; Orofino;,1905-06-06,yes,freight trains; letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_037,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,image;stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/26,26,90.jp2,/riegger/image/90.jp2,riegger26,image,riegger26.jpg,https://objects.lib.uidaho.edu/riegger/riegger26.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger26_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger26_th.jpg,
Engines In Front Of Roundhouse,A photograph of train engine U.P. SW-10 #1236 and engine B.N. SW-1200 #192 sitting stationary in front of the roundhouse at the Lewiston Train Yards,"Hastings, Phil",,,1983-09-26,,freight trains,46.488083,-116.260967,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_032,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/27,27,468.jp2,/riegger/image/468.jp2,riegger27,image,riegger27.jpg,https://objects.lib.uidaho.edu/riegger/riegger27.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger27_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger27_th.jpg,
"Letter from Ken Brovald to Hal Riegger, November 11, 1983",A letter from Ken Brovald to Hal Riegger regarding some photographs that Brovald is sending Riegger for his railroad research.,"Brovald, Ken","Riegger, Hal",United States;Alaska;Anchorage;,1983-11-11,,letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1992",MG183_F11_013,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/28,28,164.pdf,/riegger/image/164.pdf,riegger28,pdf,riegger28.pdf,https://objects.lib.uidaho.edu/riegger/riegger28.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger28_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger28_th.jpg,
East Guill End of Tunnel No. 5,"A photograph of the East Guill End of Tunnel No. 5 on the Lapwai Branch of the Camas Prairie Railroad. In this picture, you can see all the way through the tunnel.","Leiterman, Ray",,,1949-08-24,,freight trains,46.405064,-116.805835,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_023,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/29,29,300.jp2,/riegger/image/300.jp2,riegger29,image,riegger29.jpg,https://objects.lib.uidaho.edu/riegger/riegger29.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger29_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger29_th.jpg,
"Bridge 50.1, Kamiah Mine Fire [5]",A photograph of Bridge 50.1 on the Camas Prairie Railroad next to the Kamiah Mine. Smoke billows from a fire on the railroad bridge. People can be seen on the bridge walking toward the fire.,"Leiterman, Ray",,,1905-05-25,,freight trains,46.22694,-116.029859,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_018,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/30,30,444.jp2,/riegger/image/444.jp2,riegger30,image,riegger30.jpg,https://objects.lib.uidaho.edu/riegger/riegger30.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger30_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger30_th.jpg,
