objectid,parentid,title,description,introduction,creator,creators title,date,date is approximate?,section,subject,location,latitude,longitude,publisher,digital collection,source,original_link,national archive number,regional office number,identifier,rights,rightsstatement,format_original,duration,type,format,language,digitization specifications,date digital,cdm_url,cdmid,display_template,filename,object_location,image_small,image_thumb,object_transcript,transcriber
sbw315-img1,sbw315,Anna Bengtson,,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/02/19/letters-by-mule-post/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/02/dscn4926.jpg,,,Selway-Podcast-ep34,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw315_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw315_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw315_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw315_img_th.jpg,,
sbw314-img1,sbw314,"Dale Dufour, 2011",,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/01/30/travelers-rest/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/01/dale-dufour.jpg,,,Selway-Podcast-ep33,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw314_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw314_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw314_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw314_img_th.jpg,,
sbw331-img1,sbw331,"Bob Marshall, 1920's",,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/01/21/a-lumber-camp-and-bob-marshall/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/01/bob-whiskers-postcard-web1.jpg,,,Selway-Podcast-ep32,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw331_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw331_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw331_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw331_img_th.jpg,,
sbw313-img1,sbw313,Gifford Pinchot,,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/01/21/dear-mother-and-father/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/01/gifford-pinchot.jpg,,,Selway-Podcast-ep31,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw313_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw313_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw313_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw313_img_th.jpg,,
sbw312-img1,sbw312,Nez Perce Woman,,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2013/01/15/wyakin-songs/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2013/01/nez-perce-indian-woman.jpg,,,Selway-Podcast-ep30,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw312_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw312_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw312_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw312_img_th.jpg,,
sbw311-img1,sbw311,Dave Aldrich 2011,,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2012/09/05/paradigm-shift/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2012/09/dave-aldrich-2011.jpg,,,Selway-Podcast-ep29,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw311_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw311_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw311_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw311_img_th.jpg,,
sbw310-img1,sbw310,"Bruce Farling, 2011",,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2012/08/31/rangers-at-moose-creek/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2012/08/bruce-farling-portrait.jpg,,,Selway-Podcast-ep28,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw310_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw310_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw310_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw310_img_th.jpg,,
sbw309-img1,sbw309,Dave Campbell at the West Fork Ranger Station 2011,,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2012/08/20/wild-wolf-howl/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2012/08/dave-campbell-at-the-west-fork-ranger-station-2011.jpg,,,Selway-Podcast-ep27,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw309_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw309_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw309_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw309_img_th.jpg,,
sbw308-img1,sbw308,"Orville Daniels, 2011",,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2012/08/18/the-bad-luck-fire/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2012/08/orville-daniels-portrait.jpg,,,Selway-Podcast-ep26,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw308_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw308_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw308_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw308_img_th.jpg,,
sbw307-img1,sbw307,Josh Dolezal,,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2012/08/09/inspiration/; https://i0.wp.com/selwaybitterrootproject.files.wordpress.com/2017/12/josh-2a.jpg,,,Selway-Podcast-ep25,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw307_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw307_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw307_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw307_img_th.jpg,,
sbw306-img1,sbw306,Mary Erickson,,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2012/07/31/first-trip-in/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2012/07/mary-2.jpg,,,Selway-Podcast-ep24,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw306_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw306_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw306_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw306_img_th.jpg,,
sbw305-img1,sbw305,"Running Creek Ranch, as seen from the air",,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2012/07/06/wilderness-encounter/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2012/07/runningcreekranch7.jpg,,,Selway-Podcast-ep23,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw305_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw305_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw305_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw305_img_th.jpg,,
sbw304-img1,sbw304,"Bill Worf and his daughter, Gloria (Worf) Owen in October, 2011 at a USFS ceremony.",,,,,,,Wilderness Voices,,Selway-Bitterroot Wilderness (Idaho and Mont.),,,"Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html","Wilderness Voices, The Selway-Bitteroot Wilderness History Project, https://selwaybitterrootproject.wordpress.com/",https://selwaybitterrootproject.wordpress.com/2012/07/03/defining-wilderness/; https://selwaybitterrootproject.wordpress.com/wp-content/uploads/2012/07/stelprdb5335508.jpg,,,Selway-Podcast-ep22,"Copyright: The Selway-Bitteroot Wilderness History Project. In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,Image;StillImage,image/jpeg,,,,,,gallery_image,sbw304_img.jpg,https://objects.lib.uidaho.edu/sbw/sbw304_img.jpg,https://objects.lib.uidaho.edu/sbw/small/sbw304_img_sm.jpg,https://objects.lib.uidaho.edu/sbw/thumbs/sbw304_img_th.jpg,,
