"filename","eventdate","person_title","abstract_clean","biography_clean","abstract_html","biography_html"
"adler","Colloquium Talk, November 15, 2011, The Idaho Commons","James A. McClure Professor and Director, McClure Center for Public Policy Research","This subject reflects my research and writing and I hope it will facilitate 
understanding of an ancient theme:  How to govern in accord with 
constitutional and legal principles (considered universal and perennial) while 
addressing emergencies (considered idiosyncratic and immediate) that escape or 
defy law.  It's a problem that gripped the ancient Athenians as well as the 
Romans, and it has been a subject of enduring interest in the Anglo-Saxon world 
of law.  Indeed, it has absorbed the wit and energy of scholars and 
statesmen for centuries.  It is a familiar subject to Americans who, since 
our founding, have faced emergencies that have outrun the law.  It became a 
prominent issue during the Cold War, as presidents and their supporters urged 
unbridled executive power to confront the Soviet bogeyman.  Since 9/11, the 
issue of the scope of presidential power has become the issue of the season, as 
presidents and their champions have urged the removal of restraints from the 
exercise of executive power.  We find the arguments in the Torture Memos 
and in the rationales invoked by the Obama Administration.  So, this is a 
theme that resounds across the centuries and represents philosophical, 
political, legal and constitutional questions of great moment for the republic.  
Among others, we may raise the question:  Is it possible to suspend 
liberties in times of crisis in order to preserve the nation without 
surrendering American Constitutionalism?  Can those liberties, once 
sacrificed, be restored?  Can we save Democracy through un-Democratic 
means?","David Gray Adler became the director of the James A. and Louise McClure Center 
for Public Policy Research in August 2010. Prior to that, he served as director 
of the Center for Constitutional Studies and professor of political science at 
Idaho State University, where he taught courses on the constitution, the 
presidency and the Bill of Rights. A recipient of teaching, civic and writing 
awards, Adler has published in the leading journals of his field, and has 
lectured nationally and internationally on the constitution and presidential 
power, including talks at some 30 colleges and universities. He is the author of 
more than 100 scholarly articles, essays and book chapters. Adler's books 
include: ""American Constitutional Law""; ""The Constitution and the Conduct of 
American Foreign Policy""; ""The Presidency and the Law: The Clinton Legacy""; and 
""The Constitution and the Termination of Treaties."" He also is the author two 
forthcoming books: ""The Steel Seizure Case; Presidential Power and Foreign 
Affairs: The Legacy of Curtiss-Wright"", and ""The Constitution and Presidential 
Power.""Adler's scholarly writings have been widely cited by political scientists, 
historians and law professors, and they have been invoked by Republicans and 
Democrats serving in all three branches of government. He has consulted with 
members of Congress from both parties on a variety of constitutional issues, 
including impeachment. He is currently writing a book on the need to restore a 
constitutional presidency. Adler's lectures have aired on C-Span and he has done 
scores of interviews with news outlets including the New York Times, Washington 
Times, Washington Post, Wall Street Journal, Los Angeles Times, Newsweek, 
National Review, NPR and the BBC. Adler has served as a member of the board of 
directors of various academic and civic organizations. He earned a bachelor's 
degree from Michigan State University and a doctorate from the University of 
Utah.Adler has enjoyed extensive university and public service experience. He served 
by appointment of the State Board of Education as faculty representative to the 
Idaho State University Presidential Search Committee. Adler has lectured widely 
throughout Idaho. He has delivered nearly 500 public lectures on a variety of 
constitutional and governance issues to professional, academic and community 
audiences in the state, and serves as member of the Idaho Humanities Council's 
Speakers Bureau.

For more information:Rodney Frey","<p>This subject reflects my research and writing and I hope it will facilitate 
understanding of an ancient theme:  How to govern in accord with 
constitutional and legal principles (considered universal and perennial) while 
addressing emergencies (considered idiosyncratic and immediate) that escape or 
defy law.  It's a problem that gripped the ancient Athenians as well as the 
Romans, and it has been a subject of enduring interest in the Anglo-Saxon world 
of law.  Indeed, it has absorbed the wit and energy of scholars and 
statesmen for centuries.  It is a familiar subject to Americans who, since 
our founding, have faced emergencies that have outrun the law.  It became a 
prominent issue during the Cold War, as presidents and their supporters urged 
unbridled executive power to confront the Soviet bogeyman.  Since 9/11, the 
issue of the scope of presidential power has become the issue of the season, as 
presidents and their champions have urged the removal of restraints from the 
exercise of executive power.  We find the arguments in the Torture Memos 
and in the rationales invoked by the Obama Administration.  So, this is a 
theme that resounds across the centuries and represents philosophical, 
political, legal and constitutional questions of great moment for the republic.  
Among others, we may raise the question:  Is it possible to suspend 
liberties in times of crisis in order to preserve the nation without 
surrendering American Constitutionalism?  Can those liberties, once 
sacrificed, be restored?  Can we save Democracy through un-Democratic 
means?</p>","<p>David Gray Adler became the director of the James A. and Louise McClure Center 
for Public Policy Research in August 2010. Prior to that, he served as director 
of the Center for Constitutional Studies and professor of political science at 
Idaho State University, where he taught courses on the constitution, the 
presidency and the Bill of Rights. A recipient of teaching, civic and writing 
awards, Adler has published in the leading journals of his field, and has 
lectured nationally and internationally on the constitution and presidential 
power, including talks at some 30 colleges and universities. He is the author of 
more than 100 scholarly articles, essays and book chapters. Adler's books 
include: ""American Constitutional Law""; ""The Constitution and the Conduct of 
American Foreign Policy""; ""The Presidency and the Law: The Clinton Legacy""; and 
""The Constitution and the Termination of Treaties."" He also is the author two 
forthcoming books: ""The Steel Seizure Case; Presidential Power and Foreign 
Affairs: The Legacy of Curtiss-Wright"", and ""The Constitution and Presidential 
Power."" <br>
<br/>
Adler's scholarly writings have been widely cited by political scientists, 
historians and law professors, and they have been invoked by Republicans and 
Democrats serving in all three branches of government. He has consulted with 
members of Congress from both parties on a variety of constitutional issues, 
including impeachment. He is currently writing a book on the need to restore a 
constitutional presidency. Adler's lectures have aired on C-Span and he has done 
scores of interviews with news outlets including the New York Times, Washington 
Times, Washington Post, Wall Street Journal, Los Angeles Times, Newsweek, 
National Review, NPR and the BBC. Adler has served as a member of the board of 
directors of various academic and civic organizations. He earned a bachelor's 
degree from Michigan State University and a doctorate from the University of 
Utah. <br/>
<br/>
Adler has enjoyed extensive university and public service experience. He served 
by appointment of the State Board of Education as faculty representative to the 
Idaho State University Presidential Search Committee. Adler has lectured widely 
throughout Idaho. He has delivered nearly 500 public lectures on a variety of 
constitutional and governance issues to professional, academic and community 
audiences in the state, and serves as member of the Idaho Humanities Council's 
Speakers Bureau. </br></p>
<p class=""moreinfo"">For more information: <a href=""mailto:rfrey@uidaho.edu"">Rodney Frey</a></p>"
"aiken","Colloquium Talk, February 14, 2012, Idaho Commons","Dean, College of Letters, Arts & Social Sciences, and Professor of History.","Full of symbols — giving flowers and candy, sending a ""valentine's card,"" 
hearts, doves and Cupids — full of symbols both unique and universal — 
Valentine's Day has evolved into a very special American holiday.
This talk will examine this celebration of romantic love and affection in 
terms of American culture, with an eye on how the idiosyncratic influences of 
advertising and consumerism have influenced gender roles and the meaning of 
romantic love.","Katherine G. Aiken is Professor of History at the 
University of Idaho, where she served as History department chair from 
2001-2005. She has been Dean of the College of Letters, Arts and 
Social Sciences since 2006. She is the recipient of several 
teaching awards, including the University Award for Teaching Excellence, the 
ASUI Outstanding Faculty Award, and the Phi Kappa Phi Distinguished Faculty 
Award. She is the author of articles dealing with Idaho's first woman member of 
the United States Congress, Gracie Pfost; environmental history; 20th Century 
Idaho history; and the Coeur d'Alene mining district. Her books areHarnessing the Power of Motherhood: The National Florence Crittenton Mission, 
1883-1925(University of Tennessee Press, 1998) andIdaho's Bunker Hill: The Rise and Fall of 
a Great Mining Company, 1885-1981(University of Oklahoma Press, 2005). 
Aiken and Idaho State University colleagues Kevin Marsh and Laura Woodworth-Ney 
co-wrote a short history of Idaho under the auspices of the Idaho State 
Historical Society—Idaho:
The Enduring Promise(Cherbo Press, 2006). She is the 
Idaho Humanities Council Chair-elect and a member of the State Department of 
Education Professional Standards Commission.

For more information:Rodney Frey","<p>Full of symbols — giving flowers and candy, sending a ""valentine's card,"" 
hearts, doves and Cupids — full of symbols both unique and universal — 
Valentine's Day has evolved into a very special American holiday.
This talk will examine this celebration of romantic love and affection in 
terms of American culture, with an eye on how the idiosyncratic influences of 
advertising and consumerism have influenced gender roles and the meaning of 
romantic love.</p>","<p>Katherine G. Aiken is Professor of History at the 
University of Idaho, where she served as History department chair from 
2001-2005. She has been Dean of the College of Letters, Arts and 
Social Sciences since 2006. She is the recipient of several 
teaching awards, including the University Award for Teaching Excellence, the 
ASUI Outstanding Faculty Award, and the Phi Kappa Phi Distinguished Faculty 
Award. She is the author of articles dealing with Idaho's first woman member of 
the United States Congress, Gracie Pfost; environmental history; 20th Century 
Idaho history; and the Coeur d'Alene mining district. Her books are  <i>
Harnessing the Power of Motherhood: The National Florence Crittenton Mission, 
1883-1925  </i>(University of Tennessee Press, 1998) and

<i>Idaho's Bunker Hill: The Rise and Fall of 
a Great Mining Company, 1885-1981  </i>(University of Oklahoma Press, 2005). 
Aiken and Idaho State University colleagues Kevin Marsh and Laura Woodworth-Ney 
co-wrote a short history of Idaho under the auspices of the Idaho State 
Historical Society—<i>Idaho:
The Enduring Promise  </i>
(Cherbo Press, 2006). She is the 
Idaho Humanities Council Chair-elect and a member of the State Department of 
Education Professional Standards Commission. </p>
<p class=""moreinfo"">For more information: <a href=""mailto:rfrey@uidaho.edu"">Rodney Frey</a></p>"
"all","","","","","",""
"bilderback","Workshop and Performance, November 8, 2011, Prichard Gallery","Assistant Professor of Music.Navin Chettri and World Beat were partners for the performance.","This 
workshop, while providing participants with a few of the general principles in 
Ghanaian music and dance, is designed to reveal the context of music in Ghanaian 
society. Like most music making communities throughout the world, Ghanaian music 
is organized as a social event carrying with it both hierarchical and 
egalitarian standards and implications. However, what is found in Ghanaian tradition, perhaps more so than 
standards in Euro-USA traditions, is a much thinner boundary between audience 
and performers. Public performances taking place on social occasions are highly 
participatory with little-to-no passivity on the part of spectators. In the 
Ghanaian spirit ofAkwaaba(English 
translation: ""you're welcome""), when members of a community come together for 
the purposes of festival, ceremony, or recreational activities ethnic group 
members are generally expected to participate (whether it be direct involvement 
with the music or dance). The Ewe 
Name Dance is a fitting example of the participatory nature of Ghanaian music 
and dance. As a recreational activity, this dance takes place under the light 
and coolness of the overhead moon when the community's youth are finished with 
daily chores. In learning this dance, 
participants will quickly experience a number of features that typify West 
African music and dance: call-and-response, bilateral and symmetrical motion, 
and polyrhythm. These elements of 
the practice provide an unceasing natural, contemplative, and entertaining 
groove. It can be noted that while this is a relatively simple dance, it 
contains elements that, when imbued with spiritual and ritualistic practices, 
become the vehicle for the trance and possession found in West African 
traditional religions.

In your 
""welcomed participation"" in the unique and idiosyncratic elements of Ghanaian 
music and dance we will have an opportunity to transcend the differences and 
share in our common humanity.","Barry T. Bilderback is an assistant professor of music history and 
ethnomusicology in the Lionel Hampton School of Music. He has developed a 
faculty-led study abroad course titled,Africa's Calling: Culture in Ghana(IS 370). The interdisciplinary perspective of the course is designed to 
enhance cultural and environmental awareness through the means of Ghanaian 
drumming and dance traditions.Africa's Callingis in keeping with 
current, national academic and curriculum standards and is recognized under the 
University of Idaho's Global Justice Certificate Program. Prior to his 
Lionel Hampton School of Music appointment, Barry taught at Linfield College and 
the University of Oregon. He is the current Vice President of the College Music 
Society/Pacific Northwest Chapter. 
His overseas teaching experience includes a study abroad course in Vienna, 
Salzburg and Prague during the 2006 Mozart Festival. Having recently returned 
from Africa (Ghana) Barry is also researching contemporary Ghanaian institutions 
and the way(s) traditional music is taught. In his research, he is collaborating 
with renowned master drummer Prof. Komla Amoaku (Founder and Director of the 
Institute for Ghanaian Music), Prof. Kofi Anyidoho (University of Ghana), and 
Nii ""Chief"" Tettey Tetteh (Founder and Director of the Kusun Cultural Centre).
He has also taught at the University of 
Ghana through the University Study Abroad Consortium and is currently working on 
two research projects: (1)Ga Ceremonial Rites and Rights: 
Cultural Preservation in the Wake of 21stCentury Afropean Ghanafor the Utah University 
Press, and (2)Service-Learning as the 
Stitching in the Quilt of Interdisciplinary Perspective: An Approach to Student 
Development in Faculty-Led Study Abroad Courses of the 21stCenturyfor the International Educators Journal.

For more information:Rodney Frey","<p>This 
workshop, while providing participants with a few of the general principles in 
Ghanaian music and dance, is designed to reveal the context of music in Ghanaian 
society. Like most music making communities throughout the world, Ghanaian music 
is organized as a social event carrying with it both hierarchical and 
egalitarian standards and implications. However, what is found in Ghanaian tradition, perhaps more so than 
standards in Euro-USA traditions, is a much thinner boundary between audience 
and performers. Public performances taking place on social occasions are highly 
participatory with little-to-no passivity on the part of spectators. In the 
Ghanaian spirit of <i>Akwaaba </i>(English 
translation: ""you're welcome""), when members of a community come together for 
the purposes of festival, ceremony, or recreational activities ethnic group 
members are generally expected to participate (whether it be direct involvement 
with the music or dance). The Ewe 
Name Dance is a fitting example of the participatory nature of Ghanaian music 
and dance. As a recreational activity, this dance takes place under the light 
and coolness of the overhead moon when the community's youth are finished with 
daily chores. In learning this dance, 
participants will quickly experience a number of features that typify West 
African music and dance: call-and-response, bilateral and symmetrical motion, 
and polyrhythm. These elements of 
the practice provide an unceasing natural, contemplative, and entertaining 
groove. It can be noted that while this is a relatively simple dance, it 
contains elements that, when imbued with spiritual and ritualistic practices, 
become the vehicle for the trance and possession found in West African 
traditional religions.</p>
<p>
In your 
""welcomed participation"" in the unique and idiosyncratic elements of Ghanaian 
music and dance we will have an opportunity to transcend the differences and 
share in our common humanity. </p>","<p>Barry T. Bilderback is an assistant professor of music history and 
ethnomusicology in the Lionel Hampton School of Music. He has developed a 
faculty-led study abroad course titled, <i>Africa's Calling: Culture in Ghana</i> 
(IS 370). The interdisciplinary perspective of the course is designed to 
enhance cultural and environmental awareness through the means of Ghanaian 
drumming and dance traditions. <i>Africa's Calling</i> is in keeping with 
current, national academic and curriculum standards and is recognized under the 
University of Idaho's Global Justice Certificate Program. Prior to his 
Lionel Hampton School of Music appointment, Barry taught at Linfield College and 
the University of Oregon. He is the current Vice President of the College Music 
Society/Pacific Northwest Chapter. 
His overseas teaching experience includes a study abroad course in Vienna, 
Salzburg and Prague during the 2006 Mozart Festival. Having recently returned 
from Africa (Ghana) Barry is also researching contemporary Ghanaian institutions 
and the way(s) traditional music is taught. In his research, he is collaborating 
with renowned master drummer Prof. Komla Amoaku (Founder and Director of the 
Institute for Ghanaian Music), Prof. Kofi Anyidoho (University of Ghana), and 
Nii ""Chief"" Tettey Tetteh (Founder and Director of the Kusun Cultural Centre).
He has also taught at the University of 
Ghana through the University Study Abroad Consortium and is currently working on 
two research projects: (1) <i>Ga Ceremonial Rites and Rights: 
Cultural Preservation in the Wake of 21<sup>st</sup> Century Afropean Ghana
</i>
for the Utah University 
Press, and (2) <i>Service-Learning as the 
Stitching in the Quilt of Interdisciplinary Perspective: An Approach to Student 
Development in Faculty-Led Study Abroad Courses of the 21<sup>st</sup> Century</i> 
for the International Educators Journal. </p>
<p class=""moreinfo"">For more information: <a href=""mailto:rfrey@uidaho.edu"">Rodney Frey</a></p>"
"bukvich","Musical Performance, September 21, 2011, Prichard Gallery","Dan Bukvich is Professor of Music. Navin Chettri is Bukvich's student and a musician.","Many cultures in the world have no word for music as 
a separate concept from daily life. When these cultures speak of ""music,"" 
they refer to the entire village singing, drumming, and dancing.  At the University of Idaho, this village is Jazz 
Choir I, directed by Professor Daniel Bukvich. Performing original 
compositions and unique arrangements, Choir I is one of the most unique 
ensembles in the United States.

Tonight's special performance features compositions 
by Bukvich, including ""Spinning Samba,"" composed specifically for this event, an encore performance of 
""Missa Africa,"" and in collaboration Navin Chettri, graduate student in music 
from Nepal, ""Spiritual Mass,"" a fusion of Western and 
Hindu music. Out of 
the diversity, universal access.","","<p>Many cultures in the world have no word for music as 
a separate concept from daily life. When these cultures speak of ""music,"" 
they refer to the entire village singing, drumming, and dancing.  At the University of Idaho, this village is Jazz 
Choir I, directed by Professor Daniel Bukvich. Performing original 
compositions and unique arrangements, Choir I is one of the most unique 
ensembles in the United States. </p>
<p>
</p>
<p>Tonight's special performance features compositions 
by Bukvich, including ""Spinning Samba,"" composed specifically for this event, an encore performance of 
""<a href=""http://www.bukvichmusic.com/comp/missaafrica/index.php"">Missa Africa</a>,"" and in collaboration Navin Chettri, graduate student in music 
from Nepal, ""Spiritual Mass,"" a fusion of Western and 
Hindu music. Out of 
the diversity, universal access.</p>",""
"chaney","Colloquium Talk, April 10, 2012, Idaho Commons","Mayor of Moscow, Idaho","As I contemplated Rodney Frey's tantalizing invitation to join this humanities 
exploration, with its symbolic wheel hub, rim, and spokes symbolism, I got stuck 
on the image of a wheel as a static horizontal shape. Wheels move. They roll. 
They are integral parts of the vehicles that transport us. They are part of the 
momentum of life. From the political perspective, the hub is ""us,"" here and 
now ... ourselves as individuals, the ""we"" of our communities, the factions and 
composite of a nation, a generation of people. The spokes are our experiences 
and connections to each other over generations, spanning disciplines, across 
neighborhoods, countries, and continents, the temporal nature of being ... the 
ultimate of mobile networking. The rim in this model is the wholeness of being, 
the collective impacts of existence, the planetary ecosystem that supports us, 
and the emotional, social, and spiritual blanket that swaddles all.
Accordingly, I will focus on life's 
journeys, incremental destinations, and some of the traveling companions who 
influence policies, places, and our future.","Nancy Chaney was elected Mayor of 
Moscow in 2005, after serving on the City Council for two years. She has an 
eclectic background, with undergraduate degrees in Nursing and Psychology from 
Boise State, and a Masters degree in Environmental Science from the University 
of Idaho. She has worked as a nurse, archaeologist, editorial- and 
administrative assistant and small business owner. She is a partner in 
Veterinary Ophthalmic Specialties, Inc., with worldwide sales of products 
related to animal eyes. She lives in Moscow with her husband, Gary Bryan, 
Professor Emeritus from Washington State University. She has five grown 
stepchildren and ten grandchildren. Elected President of the Association of 
Idaho Cities in 2011. Member of the National League of Cities' Energy, 
Environment and Natural Resources Steering Committee. Chair, NLC University 
Communities Council. Serves on boards of the Latah Trail Foundation; Stepping 
Stones, Inc.; Latah Economic Development Council; Moscow Chamber of Commerce; 
and Vice-Chair for Moscow-Pullman Regional Airport. Serves on Palouse Basin 
Water Summit Planning Committee. Member, North Idaho Mayors Coalition and Moscow 
League of Women Voters, and co-chair for LWV Poverty on the Palouse study group. 
Founding member Palouse Road Runners. In 2010, selected as a CLAIR Fellow to 
Japan.

""In 2002-3, I had the wonderful 
opportunity to serve as the Administrative Assistant/Coordinator for a 
Humanities Fellows Program that addressedSense of Place in the Pacific 
Northwestfrom a variety of cultural & disciplinary perspectives. That 
experience enhanced my appreciation for the cultural, economic, and geographic 
diversity in our region, and solidified lasting friendships with colleagues who 
shared that rare adventure. The multi-faceted demands of my role as Mayor 
regularly draw on knowledge and experience from that eclectic background.""

During her tenure as mayor, Moscow has 
initiated a rewrite of the Comprehensive Plan; implemented a Water Conservation 
Ordinance and tiered rate structure; identified prospective sites for surface 
water retention to compensate for the declining aquifer; launched and branded 
the Knowledge Corridor regional economic engine; expanded support for public 
transit and development of an intermodal transit center; introduced biodiesel to 
the municipal fleet; established the Mayor's Earth Day Awards, Arts Awards, and 
WiseScape water-conserving landscape awards; started an award winning Green 
Building Program; offered insurance benefits to domestic partners of City 
employees; created new positions including an Information Systems Director, a 
Grants Coordinator and a Sustainability Intern, among others; enacted the Large 
Retail Establishment ""Big Box"" Ordinance and Design Manual; instituted a 
Sustainable Purchasing Practices Policy; established baselines and targets for 
greenhouse gas emissions; instituted ""Renewing our focus"" inspirational 
messages　to start each City Council meeting; opened Phase 2 of Alturas Research 
and Technology Park; approved Legacy Crossing Urban Renewal Project between the 
UI campus and downtown; adopted a 1% for the arts funding mechanism for public 
art; and joined the Let's Move! campaign to reduce childhood obesity.

Her hobbies include bicycling, alpine 
skiing, travel, wines, writing, and gardening, and she is a recovering runner.

For more information:Rodney Frey","<p>As I contemplated Rodney Frey's tantalizing invitation to join this humanities 
exploration, with its symbolic wheel hub, rim, and spokes symbolism, I got stuck 
on the image of a wheel as a static horizontal shape. Wheels move. They roll. 
They are integral parts of the vehicles that transport us. They are part of the 
momentum of life. From the political perspective, the hub is ""us,"" here and 
now ... ourselves as individuals, the ""we"" of our communities, the factions and 
composite of a nation, a generation of people. The spokes are our experiences 
and connections to each other over generations, spanning disciplines, across 
neighborhoods, countries, and continents, the temporal nature of being ... the 
ultimate of mobile networking. The rim in this model is the wholeness of being, 
the collective impacts of existence, the planetary ecosystem that supports us, 
and the emotional, social, and spiritual blanket that swaddles all.
Accordingly, I will focus on life's 
journeys, incremental destinations, and some of the traveling companions who 
influence policies, places, and our future.</p>","<p>
Nancy Chaney was elected Mayor of 
Moscow in 2005, after serving on the City Council for two years. She has an 
eclectic background, with undergraduate degrees in Nursing and Psychology from 
Boise State, and a Masters degree in Environmental Science from the University 
of Idaho. She has worked as a nurse, archaeologist, editorial- and 
administrative assistant and small business owner. She is a partner in 
Veterinary Ophthalmic Specialties, Inc., with worldwide sales of products 
related to animal eyes. She lives in Moscow with her husband, Gary Bryan, 
Professor Emeritus from Washington State University. She has five grown 
stepchildren and ten grandchildren. Elected President of the Association of 
Idaho Cities in 2011. Member of the National League of Cities' Energy, 
Environment and Natural Resources Steering Committee. Chair, NLC University 
Communities Council. Serves on boards of the Latah Trail Foundation; Stepping 
Stones, Inc.; Latah Economic Development Council; Moscow Chamber of Commerce; 
and Vice-Chair for Moscow-Pullman Regional Airport. Serves on Palouse Basin 
Water Summit Planning Committee. Member, North Idaho Mayors Coalition and Moscow 
League of Women Voters, and co-chair for LWV Poverty on the Palouse study group. 
Founding member Palouse Road Runners. In 2010, selected as a CLAIR Fellow to 
Japan.</p>
<p>""In 2002-3, I had the wonderful 
opportunity to serve as the Administrative Assistant/Coordinator for a 
Humanities Fellows Program that addressed <i>Sense of Place in the Pacific 
Northwest</i> from a variety of cultural &amp; disciplinary perspectives. That 
experience enhanced my appreciation for the cultural, economic, and geographic 
diversity in our region, and solidified lasting friendships with colleagues who 
shared that rare adventure. The multi-faceted demands of my role as Mayor 
regularly draw on knowledge and experience from that eclectic background.""</p>
<p>During her tenure as mayor, Moscow has 
initiated a rewrite of the Comprehensive Plan; implemented a Water Conservation 
Ordinance and tiered rate structure; identified prospective sites for surface 
water retention to compensate for the declining aquifer; launched and branded 
the Knowledge Corridor regional economic engine; expanded support for public 
transit and development of an intermodal transit center; introduced biodiesel to 
the municipal fleet; established the Mayor's Earth Day Awards, Arts Awards, and 
WiseScape water-conserving landscape awards; started an award winning Green 
Building Program; offered insurance benefits to domestic partners of City 
employees; created new positions including an Information Systems Director, a 
Grants Coordinator and a Sustainability Intern, among others; enacted the Large 
Retail Establishment ""Big Box"" Ordinance and Design Manual; instituted a 
Sustainable Purchasing Practices Policy; established baselines and targets for 
greenhouse gas emissions; instituted ""Renewing our focus"" inspirational 
messages　to start each City Council meeting; opened Phase 2 of Alturas Research 
and Technology Park; approved Legacy Crossing Urban Renewal Project between the 
UI campus and downtown; adopted a 1% for the arts funding mechanism for public 
art; and joined the Let's Move! campaign to reduce childhood obesity. 
</p>
<p>Her hobbies include bicycling, alpine 
skiing, travel, wines, writing, and gardening, and she is a recovering runner.
</p>
<p class=""moreinfo"">For more information: <a href=""mailto:rfrey@uidaho.edu"">Rodney Frey</a></p>"
"credits","","","","","",""
"crusades","","","","","",""
"declaration_of_independence","","","","","",""
"definitions","","","","","",""
"deyasi","Colloquium Talk, October 4, 2011, Idaho Commons","Assistant Professor of Art and Design","In the late nineteenth-century, artists like Paul 
Gauguin famously traveled the globe hoping to find a primitive refuge from the 
modern world. But what was he looking for? What did he think he might find? The 
answers to these questions lie in the rise of Theosophy and other syncretic 
religions around the turn of the twentieth-century. Theosophy, founded in 1875, 
aimed to unite all faiths, all peoples, and all knowledge. Its adherents 
attempted to find aspects of divine truth in all religious traditions, including 
Christianity, Judaism, Buddhism, and Hinduism. Theosophists believed in equality 
irrespective of race, gender, or national origin. In the context of the time, 
this was a radical, ultra-left-wing position and they were virtually alone in 
asserting it. Theosophically-inspired periodicals mixed anti-colonialism and 
anti-racism with their articles on auras, numerology, and traveling on the 
astral plane. As Leela Gandhi argued in her recent book,Affective 
Communities, this position of radical equality relied on the cultural 
politics of empathy, on the assumption that all human life was equal and 
interconnected. As a result, it corresponds to the ""wagon wheel"" model of human 
community proposed by Tom Yellowtail and Rodney Frey. While art historians have 
studied the politically conservative strands of Symbolism, few have explored the 
left-wing cultural politics of Theosophy and its French variant, Martinism, in 
the art of Gauguin and his followers among the Symbolists. In this paper, I 
analyse the art of Gauguin, Paul Ranson, Claude-Emile Schuffenecker and others 
to reveal how their art is steeped in religious and cultural syncretism. I argue 
that their art reveals both a yearning for a pre-modern golden age of human 
connection with nature and the divine, as well as the anti-colonialism and 
anti-racism that were characteristic of Theosophy and Martinism.","Marco Deyasi is the art historian at the University of Idaho. 
He is a graduate of Duke University and has a held a number of awards for his 
research: a Chateaubriand Fellowship, a SSHRC dissertation fellowship, and a 
Kress Travel fellowship, among others. His research focuses on the reception of 
Vietnamese and Cambodian art and culture in France, especially in relation to 
the interplay between politicized modernism and colonial ideology. He is working 
on a book, Modern Primitives and Primitive Moderns: French Visual Culture and 
""Indochina"", 1863-1968.

For more information:Rodney Frey","<p>In the late nineteenth-century, artists like Paul 
Gauguin famously traveled the globe hoping to find a primitive refuge from the 
modern world. But what was he looking for? What did he think he might find? The 
answers to these questions lie in the rise of Theosophy and other syncretic 
religions around the turn of the twentieth-century. Theosophy, founded in 1875, 
aimed to unite all faiths, all peoples, and all knowledge. Its adherents 
attempted to find aspects of divine truth in all religious traditions, including 
Christianity, Judaism, Buddhism, and Hinduism. Theosophists believed in equality 
irrespective of race, gender, or national origin. In the context of the time, 
this was a radical, ultra-left-wing position and they were virtually alone in 
asserting it. Theosophically-inspired periodicals mixed anti-colonialism and 
anti-racism with their articles on auras, numerology, and traveling on the 
astral plane. As Leela Gandhi argued in her recent book, <u>Affective 
Communities</u>, this position of radical equality relied on the cultural 
politics of empathy, on the assumption that all human life was equal and 
interconnected. As a result, it corresponds to the ""wagon wheel"" model of human 
community proposed by Tom Yellowtail and Rodney Frey. While art historians have 
studied the politically conservative strands of Symbolism, few have explored the 
left-wing cultural politics of Theosophy and its French variant, Martinism, in 
the art of Gauguin and his followers among the Symbolists. In this paper, I 
analyse the art of Gauguin, Paul Ranson, Claude-Emile Schuffenecker and others 
to reveal how their art is steeped in religious and cultural syncretism. I argue 
that their art reveals both a yearning for a pre-modern golden age of human 
connection with nature and the divine, as well as the anti-colonialism and 
anti-racism that were characteristic of Theosophy and Martinism.</p>","<p>Marco Deyasi is the art historian at the University of Idaho. 
He is a graduate of Duke University and has a held a number of awards for his 
research: a Chateaubriand Fellowship, a SSHRC dissertation fellowship, and a 
Kress Travel fellowship, among others. His research focuses on the reception of 
Vietnamese and Cambodian art and culture in France, especially in relation to 
the interplay between politicized modernism and colonial ideology. He is working 
on a book, Modern Primitives and Primitive Moderns: French Visual Culture and 
""Indochina"", 1863-1968.</p>
<p class=""moreinfo"">For more information: <a href=""mailto:rfrey@uidaho.edu"">Rodney Frey</a></p>"
"doctor","","","","","",""
